Implementation smell,Namespace,Class,File,Method,Description
Magic Number,BingTests,MainActivity,D:\research\architectureSmells\repos1\sami1971_SimplyMobile\Android\Tests\BingTests\MainActivity.cs,OnCreate,The following statement contains a magic number: button.Click += async delegate              {                  var bingClient = new BingClient(                      "Apcl0Dzk-uwuqlIpDPjGLaA0oHXERDiGBuE3Vzxx3peRCr8gmSRPr-J6cij7U1pZ"'                      DependencyResolver.Current.GetService<IRestClient>()                  );                    var response = await bingClient.Get(47.64054'-122.12934);                    if (response.StatusCode == System.Net.HttpStatusCode.OK)                  {                      System.Diagnostics.Debug.WriteLine(response.Value.Copyright);                      CreateIntent(response.Value);                  }                  else                  {                      System.Diagnostics.Debug.WriteLine(response.Error.Message);                  }              };
Magic Number,BingTests,MainActivity,D:\research\architectureSmells\repos1\sami1971_SimplyMobile\Android\Tests\BingTests\MainActivity.cs,OnCreate,The following statement contains a magic number: button.Click += async delegate              {                  var bingClient = new BingClient(                      "Apcl0Dzk-uwuqlIpDPjGLaA0oHXERDiGBuE3Vzxx3peRCr8gmSRPr-J6cij7U1pZ"'                      DependencyResolver.Current.GetService<IRestClient>()                  );                    var response = await bingClient.Get(47.64054'-122.12934);                    if (response.StatusCode == System.Net.HttpStatusCode.OK)                  {                      System.Diagnostics.Debug.WriteLine(response.Value.Copyright);                      CreateIntent(response.Value);                  }                  else                  {                      System.Diagnostics.Debug.WriteLine(response.Error.Message);                  }              };
