Implementation smell,Namespace,Class,File,Method,Description
Long Statement,NagiosPluginsNT,Plugin<PluginOptionsType>,C:\repos\mconigliaro_NagiosPluginsNT\NagiosPluginsNT\Plugin.cs,AppendValue,The length of the statement  "            PerfValue += "'" + label.Replace("'"' "''") + "'=" + value + units + ";" + warning + ";" + critical + ";" /* + min + Options.units */ + ";" /* +max + Options.units */; " is 167.
Long Statement,NagiosPluginsNT,Plugin<PluginOptionsType>,C:\repos\mconigliaro_NagiosPluginsNT\NagiosPluginsNT\Plugin.cs,AppendValue,The length of the statement  "            PerfValue += "'" + Options.label.Replace("'"' "''") + "'=" + value + units + ";" + warning + ";" + critical + ";" /* + min + Options.units */ + ";" /* +max + Options.units */;             " is 175.
Long Statement,NagiosPluginsNT,Plugin<PluginOptionsType>,C:\repos\mconigliaro_NagiosPluginsNT\NagiosPluginsNT\Plugin.cs,GetStatus,The length of the statement  "                        Verbose(VerbosityLevel.Debug' statusCode + " if " + numValue + " OUTSIDE range " + thresholdStart + " - " + thresholdEnd); " is 122.
Long Statement,NagiosPluginsNT,Plugin<PluginOptionsType>,C:\repos\mconigliaro_NagiosPluginsNT\NagiosPluginsNT\Plugin.cs,GetStatus,The length of the statement  "                        Verbose(VerbosityLevel.Debug' statusCode + " if " + numValue + " WITHIN range " + thresholdStart + " - " + thresholdEnd); " is 121.
Long Statement,NagiosPluginsNT,WmiPlugin,C:\repos\mconigliaro_NagiosPluginsNT\NagiosPluginsNT\WMIPlugin.cs,Connect,The length of the statement  "                Verbose(VerbosityLevel.Debug' "[WMI] No netbios domain specified in login name (using local domain " + System.Environment.UserDomainName.ToString() + ")"); " is 155.
Long Statement,NagiosPluginsNT,WmiPlugin,C:\repos\mconigliaro_NagiosPluginsNT\NagiosPluginsNT\WMIPlugin.cs,Connect,The length of the statement  "            Verbose(VerbosityLevel.Info' @"[WMI] Connecting to: \\" + Options.hostname + connectNamespace + " (Username=" + Options.logname + "' Password=" + Options.authentication + "' Timeout=" + Options.timeout + ")"); " is 209.
Long Statement,check_uptime,check_uptime,C:\repos\mconigliaro_NagiosPluginsNT\check_uptime\check_uptime.cs,Main,The length of the statement  "                plugin.FatalError(NagiosPluginsNT.Plugin<WmiPluginOptions>.StatusCode.Critical' ""' "Win32_OperatingSystem.LastBootUpTime was null (maybe unsupported by OS)"); " is 159.
Magic Number,NagiosPluginsNT,Plugin<PluginOptionsType>,C:\repos\mconigliaro_NagiosPluginsNT\NagiosPluginsNT\Plugin.cs,Plugin,The following statement contains a magic number: precision = 2;
Magic Number,NagiosPluginsNT,WmiPluginOptions,C:\repos\mconigliaro_NagiosPluginsNT\NagiosPluginsNT\WMIPlugin.cs,WmiPluginOptions,The following statement contains a magic number: timeout = 10;
Magic Number,check_uptime,check_uptime,C:\repos\mconigliaro_NagiosPluginsNT\check_uptime\check_uptime.cs,Main,The following statement contains a magic number: foreach (ManagementObject mgtObject in plugin.ResultCollection)              {                  lastBootUpTime = mgtObject["LastBootUpTime"].ToString();                  lastBootUpTime = lastBootUpTime.Substring(4' 2)                   + "/" + lastBootUpTime.Substring(6' 2)                   + "/" + lastBootUpTime.Substring(0' 4)                   + " " + lastBootUpTime.Substring(8' 2)                   + ":" + lastBootUpTime.Substring(10' 2)                   + ":" + lastBootUpTime.Substring(12' 2);              }
Magic Number,check_uptime,check_uptime,C:\repos\mconigliaro_NagiosPluginsNT\check_uptime\check_uptime.cs,Main,The following statement contains a magic number: foreach (ManagementObject mgtObject in plugin.ResultCollection)              {                  lastBootUpTime = mgtObject["LastBootUpTime"].ToString();                  lastBootUpTime = lastBootUpTime.Substring(4' 2)                   + "/" + lastBootUpTime.Substring(6' 2)                   + "/" + lastBootUpTime.Substring(0' 4)                   + " " + lastBootUpTime.Substring(8' 2)                   + ":" + lastBootUpTime.Substring(10' 2)                   + ":" + lastBootUpTime.Substring(12' 2);              }
Magic Number,check_uptime,check_uptime,C:\repos\mconigliaro_NagiosPluginsNT\check_uptime\check_uptime.cs,Main,The following statement contains a magic number: foreach (ManagementObject mgtObject in plugin.ResultCollection)              {                  lastBootUpTime = mgtObject["LastBootUpTime"].ToString();                  lastBootUpTime = lastBootUpTime.Substring(4' 2)                   + "/" + lastBootUpTime.Substring(6' 2)                   + "/" + lastBootUpTime.Substring(0' 4)                   + " " + lastBootUpTime.Substring(8' 2)                   + ":" + lastBootUpTime.Substring(10' 2)                   + ":" + lastBootUpTime.Substring(12' 2);              }
Magic Number,check_uptime,check_uptime,C:\repos\mconigliaro_NagiosPluginsNT\check_uptime\check_uptime.cs,Main,The following statement contains a magic number: foreach (ManagementObject mgtObject in plugin.ResultCollection)              {                  lastBootUpTime = mgtObject["LastBootUpTime"].ToString();                  lastBootUpTime = lastBootUpTime.Substring(4' 2)                   + "/" + lastBootUpTime.Substring(6' 2)                   + "/" + lastBootUpTime.Substring(0' 4)                   + " " + lastBootUpTime.Substring(8' 2)                   + ":" + lastBootUpTime.Substring(10' 2)                   + ":" + lastBootUpTime.Substring(12' 2);              }
