Type,NOF,NOM,NOP,NOPF,NOPM,LOC,WMC,NC,DIT,LCOM,Fan-Out,Fan-In
CustomEventArgs,1,1,1,0,1,16,1,0,0,0,0,2
Execute,0,1,0,0,0,12,1,0,0,0,2,0
Subscriber,1,2,0,0,1,13,2,0,0,0,2,1
Timer,1,2,0,0,1,25,5,0,0,0,1,2
