Implementation smell,Namespace,Class,File,Method,Description
Long Statement,Hello_Mac,ViewController,D:\research\architectureSmells\repos\xamarin_mac-samples\Hello_Mac\Hello_Mac\ViewController.cs,ClickedButton,The length of the statement  "			ClickedLabel.StringValue = string.Format("The button has been clicked {0} time{1}."'++numberOfTimesClicked' (numberOfTimesClicked < 2) ? "" : "s"); " is 147.
Magic Number,Hello_Mac,ViewController,D:\research\architectureSmells\repos\xamarin_mac-samples\Hello_Mac\Hello_Mac\ViewController.cs,ClickedButton,The following statement contains a magic number: ClickedLabel.StringValue = string.Format("The button has been clicked {0} time{1}."'++numberOfTimesClicked' (numberOfTimesClicked < 2) ? "" : "s");
