Implementation smell,Namespace,Class,File,Method,Description
Missing Default,MacInspector,MainWindowController,D:\research\architectureSmells\repos\xamarin_mac-samples\MacInspector\MacInspector\MainWindowController.cs,FormatSelected,The following switch statement is missing a default case: switch (FormatSegment.SelectedSegment) {  			case 0:  				// Display the general format inspector  				FormatItem.Label = "Format";  				SplitViewController.ClearInspector ();  				break;  			case 1:  				// Display the document format inspector  				FormatItem.Label = "Document";  				SplitViewController.ShowDocumentInspector ();  				break;  			}
Missing Default,MacInspector,InspectorViewController,D:\research\architectureSmells\repos\xamarin_mac-samples\MacInspector\MacInspector\InspectorViewController.cs,PrepareForSegue,The following switch statement is missing a default case: switch (segue.Identifier) {  			case "DocPrefsSegue":  				// Configure the Document Preferences Inspector Panel  				var docController = segue.DestinationController as DocPrefsViewController;  				docController.Properties = InspectedProperties as DocumentProperties;  				break;  			case "BoxPrefsSegue":  				// Configure the Box Preferences Inspector Panel  				var boxController = segue.DestinationController as BoxPrefsViewController;  				boxController.Box = InspectedProperties as CustomBox;  				break;  			}
