Implementation smell,Namespace,Class,File,Method,Description
Long Statement,MacXibless,MainWindow,D:\research\architectureSmells\repos\xamarin_mac-samples\MacXibless\MacXibless\MainWindow.cs,AwakeFromNib,The length of the statement  "				ClickMeLabel.StringValue = (++NumberOfTimesClicked == 1) ? "Button clicked one time." : string.Format("Button clicked {0} times."'NumberOfTimesClicked); " is 152.
Magic Number,MacXibless,MainWindow,D:\research\architectureSmells\repos\xamarin_mac-samples\MacXibless\MacXibless\MainWindow.cs,MainWindow,The following statement contains a magic number: ClickMeButton = new NSButton (new CGRect (10' Frame.Height-70' 100' 30)){  				AutoresizingMask = NSViewResizingMask.MinYMargin  			};
Magic Number,MacXibless,MainWindow,D:\research\architectureSmells\repos\xamarin_mac-samples\MacXibless\MacXibless\MainWindow.cs,MainWindow,The following statement contains a magic number: ClickMeButton = new NSButton (new CGRect (10' Frame.Height-70' 100' 30)){  				AutoresizingMask = NSViewResizingMask.MinYMargin  			};
Magic Number,MacXibless,MainWindow,D:\research\architectureSmells\repos\xamarin_mac-samples\MacXibless\MacXibless\MainWindow.cs,MainWindow,The following statement contains a magic number: ClickMeButton = new NSButton (new CGRect (10' Frame.Height-70' 100' 30)){  				AutoresizingMask = NSViewResizingMask.MinYMargin  			};
Magic Number,MacXibless,MainWindow,D:\research\architectureSmells\repos\xamarin_mac-samples\MacXibless\MacXibless\MainWindow.cs,MainWindow,The following statement contains a magic number: ClickMeButton = new NSButton (new CGRect (10' Frame.Height-70' 100' 30)){  				AutoresizingMask = NSViewResizingMask.MinYMargin  			};
Magic Number,MacXibless,MainWindow,D:\research\architectureSmells\repos\xamarin_mac-samples\MacXibless\MacXibless\MainWindow.cs,MainWindow,The following statement contains a magic number: ClickMeLabel = new NSTextField (new CGRect (120' Frame.Height - 65' Frame.Width - 130' 20)) {  				BackgroundColor = NSColor.Clear'  				TextColor = NSColor.Black'  				Editable = false'  				Bezeled = false'  				AutoresizingMask = NSViewResizingMask.WidthSizable | NSViewResizingMask.MinYMargin'  				StringValue = "Button has not been clicked yet."  			};
Magic Number,MacXibless,MainWindow,D:\research\architectureSmells\repos\xamarin_mac-samples\MacXibless\MacXibless\MainWindow.cs,MainWindow,The following statement contains a magic number: ClickMeLabel = new NSTextField (new CGRect (120' Frame.Height - 65' Frame.Width - 130' 20)) {  				BackgroundColor = NSColor.Clear'  				TextColor = NSColor.Black'  				Editable = false'  				Bezeled = false'  				AutoresizingMask = NSViewResizingMask.WidthSizable | NSViewResizingMask.MinYMargin'  				StringValue = "Button has not been clicked yet."  			};
Magic Number,MacXibless,MainWindow,D:\research\architectureSmells\repos\xamarin_mac-samples\MacXibless\MacXibless\MainWindow.cs,MainWindow,The following statement contains a magic number: ClickMeLabel = new NSTextField (new CGRect (120' Frame.Height - 65' Frame.Width - 130' 20)) {  				BackgroundColor = NSColor.Clear'  				TextColor = NSColor.Black'  				Editable = false'  				Bezeled = false'  				AutoresizingMask = NSViewResizingMask.WidthSizable | NSViewResizingMask.MinYMargin'  				StringValue = "Button has not been clicked yet."  			};
Magic Number,MacXibless,MainWindow,D:\research\architectureSmells\repos\xamarin_mac-samples\MacXibless\MacXibless\MainWindow.cs,MainWindow,The following statement contains a magic number: ClickMeLabel = new NSTextField (new CGRect (120' Frame.Height - 65' Frame.Width - 130' 20)) {  				BackgroundColor = NSColor.Clear'  				TextColor = NSColor.Black'  				Editable = false'  				Bezeled = false'  				AutoresizingMask = NSViewResizingMask.WidthSizable | NSViewResizingMask.MinYMargin'  				StringValue = "Button has not been clicked yet."  			};
Magic Number,MacXibless,MainWindowController,D:\research\architectureSmells\repos\xamarin_mac-samples\MacXibless\MacXibless\MainWindowController.cs,MainWindowController,The following statement contains a magic number: CGRect contentRect = new CGRect (0' 0' 1000' 500);
Magic Number,MacXibless,MainWindowController,D:\research\architectureSmells\repos\xamarin_mac-samples\MacXibless\MacXibless\MainWindowController.cs,MainWindowController,The following statement contains a magic number: CGRect contentRect = new CGRect (0' 0' 1000' 500);
