Implementation smell,Namespace,Class,File,Method,Description
Magic Number,FSEventWatcher,MainWindowController,D:\research\architectureSmells\repos\xamarin_mac-samples\FSEvents\MainWindowController.cs,AwakeFromNib,The following statement contains a magic number: UpdateLatency (5' reinitializeEventStream: false);
Magic Number,FSEventWatcher,FSEventDataSource,D:\research\architectureSmells\repos\xamarin_mac-samples\FSEvents\FSEventDataSource.cs,GetObjectValue,The following statement contains a magic number: switch (tableColumn.DataCell.Tag) {  			case 0:  				return new NSString (row.Group.ToString ());  			case 1:  				return new NSString (row.Event.Id.ToString ());  			case 2:  				return new NSString (row.Event.Flags.ToString ());  			case 3:  				return new NSString (row.Event.Path);  			}
Magic Number,FSEventWatcher,FSEventDataSource,D:\research\architectureSmells\repos\xamarin_mac-samples\FSEvents\FSEventDataSource.cs,GetObjectValue,The following statement contains a magic number: switch (tableColumn.DataCell.Tag) {  			case 0:  				return new NSString (row.Group.ToString ());  			case 1:  				return new NSString (row.Event.Id.ToString ());  			case 2:  				return new NSString (row.Event.Flags.ToString ());  			case 3:  				return new NSString (row.Event.Path);  			}
Missing Default,FSEventWatcher,FSEventDataSource,D:\research\architectureSmells\repos\xamarin_mac-samples\FSEvents\FSEventDataSource.cs,GetObjectValue,The following switch statement is missing a default case: switch (tableColumn.DataCell.Tag) {  			case 0:  				return new NSString (row.Group.ToString ());  			case 1:  				return new NSString (row.Event.Id.ToString ());  			case 2:  				return new NSString (row.Event.Flags.ToString ());  			case 3:  				return new NSString (row.Event.Path);  			}
