Implementation smell,Namespace,Class,File,Method,Description
Magic Number,TestFont,AppDelegate,D:\research\architectureSmells\repos\xamarin_mac-samples\CustomFont\CustomFont\AppDelegate.cs,DidFinishLaunching,The following statement contains a magic number: var lab1 = new NSTextField (new CGRect (0.0' 0.0' 300.0' 100.0)) {  				StringValue = "This is some sample text"'  				Editable = false'  				Font = NSFont.FromFontName ("Lobster-Regular"' 20f)  			};
Magic Number,TestFont,AppDelegate,D:\research\architectureSmells\repos\xamarin_mac-samples\CustomFont\CustomFont\AppDelegate.cs,DidFinishLaunching,The following statement contains a magic number: var lab1 = new NSTextField (new CGRect (0.0' 0.0' 300.0' 100.0)) {  				StringValue = "This is some sample text"'  				Editable = false'  				Font = NSFont.FromFontName ("Lobster-Regular"' 20f)  			};
Magic Number,TestFont,AppDelegate,D:\research\architectureSmells\repos\xamarin_mac-samples\CustomFont\CustomFont\AppDelegate.cs,DidFinishLaunching,The following statement contains a magic number: var lab1 = new NSTextField (new CGRect (0.0' 0.0' 300.0' 100.0)) {  				StringValue = "This is some sample text"'  				Editable = false'  				Font = NSFont.FromFontName ("Lobster-Regular"' 20f)  			};
