Implementation smell,Namespace,Class,File,Method,Description
Long Statement,ImageProtocolSample,ViewController,D:\research\architectureSmells\repos\xamarin_mac-samples\ImageProtocolSample\ImageProtocolSample\ViewController.cs,ViewDidLoad,The length of the statement  "			web.MainFrame.LoadRequest (NSUrlRequest.FromUrl (NSUrl.FromFilename (NSBundle.MainBundle.PathForResource ("test"' "html")))); " is 125.
Long Statement,ImageProtocolSample,ImageProtocol,D:\research\architectureSmells\repos\xamarin_mac-samples\ImageProtocolSample\ImageProtocolSample\ImageProtocol.cs,ImageAsJPEG,The length of the statement  "			return rep.RepresentationUsingTypeProperties (NSBitmapImageFileType.Jpeg' NSDictionary.FromObjectAndKey (NSNumber.FromInt32 (1)' NSBitmapImageRep.CompressionFactor)); " is 166.
Long Statement,ImageProtocolSample,ImageProtocol,D:\research\architectureSmells\repos\xamarin_mac-samples\ImageProtocolSample\ImageProtocolSample\ImageProtocol.cs,Render,The length of the statement  "				var fontDictionary = NSDictionary.FromObjectsAndKeys (new NSObject[] { font' NSColor.Red }' new NSObject[] { NSStringAttributeKey.Font' NSStringAttributeKey.ForegroundColor }); " is 176.
Magic Number,ImageProtocolSample,ImageProtocol,D:\research\architectureSmells\repos\xamarin_mac-samples\ImageProtocolSample\ImageProtocolSample\ImageProtocol.cs,Render,The following statement contains a magic number: NSApplication.SharedApplication.InvokeOnMainThread (() =>  			{  				NSString text = new NSString (string.IsNullOrEmpty (value) ? " " : value);  				NSFont font = NSFont.FromFontName ("Arial"' 20);  				var fontDictionary = NSDictionary.FromObjectsAndKeys (new NSObject[] { font' NSColor.Red }' new NSObject[] { NSStringAttributeKey.Font' NSStringAttributeKey.ForegroundColor });  				CGSize size = text.StringSize (fontDictionary);    				image = new NSImage (new CGSize (size));    				image.LockFocus ();  				text.DrawString (new CGPoint (0' 0)' fontDictionary);  				image.UnlockFocus ();  			});
