Type,NOF,NOM,NOP,NOPF,NOPM,LOC,WMC,NC,DIT,LCOM,Fan-Out,Fan-In
AttributeList,1,11,2,0,9,77,14,0,0,0.45,0,3
DictionaryExtensions,0,4,0,0,3,91,17,0,0,0,0,0
ListWrapperCollection,1,2,1,0,0,19,2,0,0,0.5,0,0
PrefixContainer,2,6,0,0,0,164,40,0,0,0.67,0,2
TaskHelpers,2,15,0,0,0,239,31,0,0,0,0,2
TaskHelpersExtensions,2,33,0,0,0,602,72,0,0,0,2,0
CatchInfoBase,2,2,1,0,1,43,2,1,0,0.25,0,0
CatchInfo,1,4,0,0,4,40,4,0,1,0,1,1
AlphaRouteConstraint,0,1,0,0,1,12,1,0,1,0,0,1
BoolRouteConstraint,0,1,0,0,1,35,5,0,0,0,1,1
CompoundRouteConstraint,0,2,1,0,2,57,5,0,0,0,1,1
DateTimeRouteConstraint,0,1,0,0,1,35,5,0,0,0,1,1
DecimalRouteConstraint,0,1,0,0,1,35,5,0,0,0,1,1
DoubleRouteConstraint,0,1,0,0,1,35,5,0,0,0,1,1
FloatRouteConstraint,0,1,0,0,1,35,5,0,0,0,1,1
GuidRouteConstraint,0,1,0,0,1,35,5,0,0,0,1,1
IntRouteConstraint,0,1,0,0,1,35,5,0,0,0,1,1
LengthRouteConstraint,0,3,3,0,3,82,10,0,0,0,1,1
LongRouteConstraint,0,1,0,0,1,35,5,0,0,0,1,1
MaxLengthRouteConstraint,0,2,1,0,2,45,6,0,0,0,1,1
MaxRouteConstraint,0,2,1,0,2,49,7,0,0,0,1,1
MinLengthRouteConstraint,0,2,1,0,2,45,6,0,0,0,1,1
MinRouteConstraint,0,2,1,0,2,49,7,0,0,0,1,1
RangeRouteConstraint,0,2,2,0,2,57,7,0,0,0,1,1
RegexRouteConstraint,1,2,1,0,2,44,5,1,0,0,1,1
OptionalRouteConstraint,0,2,1,0,2,73,8,0,0,0,2,1
DefaultInlineConstraintResolver,1,4,1,0,1,175,13,0,1,0.75,17,1
InlineRouteTemplateParser,4,3,0,0,1,100,13,0,0,1,5,1
RouteEntry,0,3,5,0,1,138,13,0,0,0,5,2
RouteParser,0,11,0,0,1,257,51,0,0,0,8,1
ParsedRoute,0,1,1,0,1,14,2,0,0,0,1,3
PathContentSegment,0,1,2,0,1,52,1,0,1,0,1,2
PathLiteralSubsegment,0,1,1,0,1,25,1,0,1,0,0,2
PathParameterSubsegment,0,1,2,0,1,35,2,0,1,0,0,2
PathSegment,0,0,0,0,0,9,0,2,0,0,0,2
PathSeparatorSegment,0,0,0,0,0,17,0,0,1,0,0,1
PathSubsegment,0,0,0,0,0,9,0,2,0,0,0,3
AttributeRoutingMapper,1,13,0,0,1,148,31,0,0,0.85,13,1
DirectRouteExtensions,1,3,0,0,2,44,9,0,0,0.33,1,0
IDirectRouteInfoProvider,0,0,4,0,0,30,0,3,0,0,0,1
RouteBuilder,0,4,1,0,4,96,11,0,0,0,5,2
IInlineConstraintResolver,0,1,0,0,0,12,1,1,0,0,0,3
RouteDataTokenKeys,3,0,0,3,0,6,0,0,0,0,0,5
AdditionalMetadataAttribute,1,2,3,0,2,33,4,0,1,1,1,0
AllowAnonymousAttribute,0,0,0,0,0,8,0,0,0,0,0,1
ActionDescriptorHelper,0,6,0,0,5,41,6,0,0,0,5,3
AcceptAttributeAdapter,1,2,0,0,2,17,2,0,1,0,4,1
BuildManagerCompiledView,3,5,2,0,1,55,10,2,1,0.73,7,0
