Implementation smell,Namespace,Class,File,Method,Description
Magic Number,Microsoft.Azure.HDInsight.Job,HDInsightJobManagementClient,D:\research\architectureSmells\repos\Azure_azure-sdk-for-net\sdk\hdinsight\Microsoft.Azure.HDInsight.Job\src\Customizations\HDInsightJobManagementClient.Config.cs,CustomInitialize,The following statement contains a magic number: this.HttpClient.Timeout = MaxBackOff.Add(TimeSpan.FromMinutes(3));
Magic Number,Microsoft.Azure.HDInsight.Job,HDInsightJobManagementClient,D:\research\architectureSmells\repos\Azure_azure-sdk-for-net\sdk\hdinsight\Microsoft.Azure.HDInsight.Job\src\Customizations\HDInsightJobManagementClient.Config.cs,Initialize,The following statement contains a magic number: LongRunningOperationRetryTimeout = 30;
Magic Number,Microsoft.Azure.HDInsight.Job,JobOperations,D:\research\architectureSmells\repos\Azure_azure-sdk-for-net\sdk\hdinsight\Microsoft.Azure.HDInsight.Job\src\Customizations\JobOperations.Customizations.cs,GetWithHttpMessagesAsync,The following statement contains a magic number: (int)_statusCode != 200
Magic Number,Microsoft.Azure.HDInsight.Job,JobOperations,D:\research\architectureSmells\repos\Azure_azure-sdk-for-net\sdk\hdinsight\Microsoft.Azure.HDInsight.Job\src\Customizations\JobOperations.Customizations.cs,GetWithHttpMessagesAsync,The following statement contains a magic number: (int)_statusCode == 200
Magic Number,Microsoft.Azure.HDInsight.Job,JobOperations,D:\research\architectureSmells\repos\Azure_azure-sdk-for-net\sdk\hdinsight\Microsoft.Azure.HDInsight.Job\src\Customizations\JobOperations.Customizations.cs,KillWithHttpMessagesAsync,The following statement contains a magic number: (int)_statusCode != 200
Magic Number,Microsoft.Azure.HDInsight.Job,JobOperations,D:\research\architectureSmells\repos\Azure_azure-sdk-for-net\sdk\hdinsight\Microsoft.Azure.HDInsight.Job\src\Customizations\JobOperations.Customizations.cs,KillWithHttpMessagesAsync,The following statement contains a magic number: (int)_statusCode == 200
Magic Number,Microsoft.Azure.HDInsight.Job,JobOperations,D:\research\architectureSmells\repos\Azure_azure-sdk-for-net\sdk\hdinsight\Microsoft.Azure.HDInsight.Job\src\Customizations\JobOperations.Customizations.cs,ListWithHttpMessagesAsync,The following statement contains a magic number: (int)_statusCode != 200
Magic Number,Microsoft.Azure.HDInsight.Job,JobOperations,D:\research\architectureSmells\repos\Azure_azure-sdk-for-net\sdk\hdinsight\Microsoft.Azure.HDInsight.Job\src\Customizations\JobOperations.Customizations.cs,ListWithHttpMessagesAsync,The following statement contains a magic number: (int)_statusCode == 200
Magic Number,Microsoft.Azure.HDInsight.Job,JobOperations,D:\research\architectureSmells\repos\Azure_azure-sdk-for-net\sdk\hdinsight\Microsoft.Azure.HDInsight.Job\src\Customizations\JobOperations.Customizations.cs,ListAfterJobIdWithHttpMessagesAsync,The following statement contains a magic number: (int)_statusCode != 200
Magic Number,Microsoft.Azure.HDInsight.Job,JobOperations,D:\research\architectureSmells\repos\Azure_azure-sdk-for-net\sdk\hdinsight\Microsoft.Azure.HDInsight.Job\src\Customizations\JobOperations.Customizations.cs,ListAfterJobIdWithHttpMessagesAsync,The following statement contains a magic number: (int)_statusCode == 200
Magic Number,Microsoft.Azure.HDInsight.Job,JobOperations,D:\research\architectureSmells\repos\Azure_azure-sdk-for-net\sdk\hdinsight\Microsoft.Azure.HDInsight.Job\src\Customizations\JobOperations.Customizations.cs,SubmitHiveJobWithHttpMessagesAsync,The following statement contains a magic number: (int)_statusCode != 200
Magic Number,Microsoft.Azure.HDInsight.Job,JobOperations,D:\research\architectureSmells\repos\Azure_azure-sdk-for-net\sdk\hdinsight\Microsoft.Azure.HDInsight.Job\src\Customizations\JobOperations.Customizations.cs,SubmitHiveJobWithHttpMessagesAsync,The following statement contains a magic number: (int)_statusCode == 200
Magic Number,Microsoft.Azure.HDInsight.Job,JobOperations,D:\research\architectureSmells\repos\Azure_azure-sdk-for-net\sdk\hdinsight\Microsoft.Azure.HDInsight.Job\src\Customizations\JobOperations.Customizations.cs,SubmitMapReduceJobWithHttpMessagesAsync,The following statement contains a magic number: (int)_statusCode != 200
Magic Number,Microsoft.Azure.HDInsight.Job,JobOperations,D:\research\architectureSmells\repos\Azure_azure-sdk-for-net\sdk\hdinsight\Microsoft.Azure.HDInsight.Job\src\Customizations\JobOperations.Customizations.cs,SubmitMapReduceJobWithHttpMessagesAsync,The following statement contains a magic number: (int)_statusCode == 200
Magic Number,Microsoft.Azure.HDInsight.Job,JobOperations,D:\research\architectureSmells\repos\Azure_azure-sdk-for-net\sdk\hdinsight\Microsoft.Azure.HDInsight.Job\src\Customizations\JobOperations.Customizations.cs,SubmitMapReduceStreamingJobWithHttpMessagesAsync,The following statement contains a magic number: (int)_statusCode != 200
Magic Number,Microsoft.Azure.HDInsight.Job,JobOperations,D:\research\architectureSmells\repos\Azure_azure-sdk-for-net\sdk\hdinsight\Microsoft.Azure.HDInsight.Job\src\Customizations\JobOperations.Customizations.cs,SubmitMapReduceStreamingJobWithHttpMessagesAsync,The following statement contains a magic number: (int)_statusCode == 200
Magic Number,Microsoft.Azure.HDInsight.Job,JobOperations,D:\research\architectureSmells\repos\Azure_azure-sdk-for-net\sdk\hdinsight\Microsoft.Azure.HDInsight.Job\src\Customizations\JobOperations.Customizations.cs,SubmitPigJobWithHttpMessagesAsync,The following statement contains a magic number: (int)_statusCode != 200
Magic Number,Microsoft.Azure.HDInsight.Job,JobOperations,D:\research\architectureSmells\repos\Azure_azure-sdk-for-net\sdk\hdinsight\Microsoft.Azure.HDInsight.Job\src\Customizations\JobOperations.Customizations.cs,SubmitPigJobWithHttpMessagesAsync,The following statement contains a magic number: (int)_statusCode == 200
Magic Number,Microsoft.Azure.HDInsight.Job,JobOperations,D:\research\architectureSmells\repos\Azure_azure-sdk-for-net\sdk\hdinsight\Microsoft.Azure.HDInsight.Job\src\Customizations\JobOperations.Customizations.cs,SubmitSqoopJobWithHttpMessagesAsync,The following statement contains a magic number: (int)_statusCode != 200
Magic Number,Microsoft.Azure.HDInsight.Job,JobOperations,D:\research\architectureSmells\repos\Azure_azure-sdk-for-net\sdk\hdinsight\Microsoft.Azure.HDInsight.Job\src\Customizations\JobOperations.Customizations.cs,SubmitSqoopJobWithHttpMessagesAsync,The following statement contains a magic number: (int)_statusCode == 200
Magic Number,Microsoft.Azure.HDInsight.Job,JobOperations,D:\research\architectureSmells\repos\Azure_azure-sdk-for-net\sdk\hdinsight\Microsoft.Azure.HDInsight.Job\src\Customizations\JobOperations.Customizations.cs,GetAppStateWithHttpMessagesAsync,The following statement contains a magic number: (int)_statusCode != 200
Magic Number,Microsoft.Azure.HDInsight.Job,JobOperations,D:\research\architectureSmells\repos\Azure_azure-sdk-for-net\sdk\hdinsight\Microsoft.Azure.HDInsight.Job\src\Customizations\JobOperations.Customizations.cs,GetAppStateWithHttpMessagesAsync,The following statement contains a magic number: (int)_statusCode == 200
Missing Default,Microsoft.Azure.HDInsight.Job.Models,ApplicationStateEnumExtension,D:\research\architectureSmells\repos\Azure_azure-sdk-for-net\sdk\hdinsight\Microsoft.Azure.HDInsight.Job\src\Generated\Models\ApplicationState.cs,ToSerializedValue,The following switch statement is missing a default case: switch( value )              {                  case ApplicationState.NEW:                      return "NEW";                  case ApplicationState.NEWSAVING:                      return "NEW_SAVING";                  case ApplicationState.SUBMITTED:                      return "SUBMITTED";                  case ApplicationState.ACCEPTED:                      return "ACCEPTED";                  case ApplicationState.RUNNING:                      return "RUNNING";                  case ApplicationState.FINISHED:                      return "FINISHED";                  case ApplicationState.FINISHING:                      return "FINISHING";                  case ApplicationState.FAILED:                      return "FAILED";                  case ApplicationState.KILLED:                      return "KILLED";              }
Missing Default,Microsoft.Azure.HDInsight.Job.Models,ApplicationStateEnumExtension,D:\research\architectureSmells\repos\Azure_azure-sdk-for-net\sdk\hdinsight\Microsoft.Azure.HDInsight.Job\src\Generated\Models\ApplicationState.cs,ParseApplicationState,The following switch statement is missing a default case: switch( value )              {                  case "NEW":                      return ApplicationState.NEW;                  case "NEW_SAVING":                      return ApplicationState.NEWSAVING;                  case "SUBMITTED":                      return ApplicationState.SUBMITTED;                  case "ACCEPTED":                      return ApplicationState.ACCEPTED;                  case "RUNNING":                      return ApplicationState.RUNNING;                  case "FINISHED":                      return ApplicationState.FINISHED;                  case "FINISHING":                      return ApplicationState.FINISHING;                  case "FAILED":                      return ApplicationState.FAILED;                  case "KILLED":                      return ApplicationState.KILLED;              }
