Implementation smell,Namespace,Class,File,Method,Description
Long Statement,StructureMap.SolrNetIntegration.Tests,StructureMapFixture,D:\research\architectureSmells\repos\mausch_SolrNet\StructureMap.SolrNetIntegration.Tests\StructureMapFixture.cs,CheckParseAppConfig,The length of the statement  "            Assert.Equal("StructureMap.SolrNetIntegration.Tests.Entity' StructureMap.SolrNetIntegration.Tests"' servers.First().DocumentType); " is 130.
Long Statement,StructureMap.SolrNetIntegration.Tests,StructureMapFixture,D:\research\architectureSmells\repos\mausch_SolrNet\StructureMap.SolrNetIntegration.Tests\StructureMapFixture.cs,CheckParseAppConfig,The length of the statement  "            Assert.Equal("StructureMap.SolrNetIntegration.Tests.Entity2' StructureMap.SolrNetIntegration.Tests"' servers.Last().DocumentType); " is 130.
Long Statement,StructureMap.SolrNetIntegration.Tests,StructureMapFixture,D:\research\architectureSmells\repos\mausch_SolrNet\StructureMap.SolrNetIntegration.Tests\StructureMapFixture.cs,CheckParseJsonConfiguration,The length of the statement  "            Assert.Equal("StructureMap.SolrNetIntegration.Tests.Entity' StructureMap.SolrNetIntegration.Tests"' servers.First().DocumentType); " is 130.
Long Statement,StructureMap.SolrNetIntegration.Tests,StructureMapFixture,D:\research\architectureSmells\repos\mausch_SolrNet\StructureMap.SolrNetIntegration.Tests\StructureMapFixture.cs,CheckParseJsonConfiguration,The length of the statement  "            Assert.Equal("StructureMap.SolrNetIntegration.Tests.Entity2' StructureMap.SolrNetIntegration.Tests"' servers.Last().DocumentType); " is 130.
Magic Number,StructureMap.SolrNetIntegration.Tests,StructureMapFixture,D:\research\architectureSmells\repos\mausch_SolrNet\StructureMap.SolrNetIntegration.Tests\StructureMapFixture.cs,CheckParseAppConfig,The following statement contains a magic number: Assert.Equal(3' servers.Count);
Magic Number,StructureMap.SolrNetIntegration.Tests,StructureMapFixture,D:\research\architectureSmells\repos\mausch_SolrNet\StructureMap.SolrNetIntegration.Tests\StructureMapFixture.cs,CheckParseJsonConfiguration,The following statement contains a magic number: Assert.Equal(3' servers.Count);
Magic Number,StructureMap.SolrNetIntegration.Tests,StructureMapIntegrationFixture,D:\research\architectureSmells\repos\mausch_SolrNet\StructureMap.SolrNetIntegration.Tests\StructureMapIntegrationFixture.cs,DictionaryDocument_add,The following statement contains a magic number: solr.Add(new Dictionary<string' object>               {                  {"id"' "ababa"}'                  {"manu"' "who knows"}'                  {"popularity"' 55}'                  {"timestamp"' DateTime.UtcNow}'              });
