Implementation smell,Namespace,Class,File,Method,Description
Long Identifier,Unity.SolrNetCloudIntegration.Collections,CollectionResolutionStrategy,D:\research\architectureSmells\repos\mausch_SolrNet\Unity.SolrNetCloudIntegration\Collections\CollectionResolutionStrategy.cs,,The length of the parameter genericResolveCollectionMethod is 30.
Long Statement,Unity.SolrNetCloudIntegration,SolrNetContainerConfiguration,D:\research\architectureSmells\repos\mausch_SolrNet\Unity.SolrNetCloudIntegration\SolrNetContainerConfiguration.cs,RegisterCollection,The length of the statement  "            container.RegisterType(typeof(ISolrBasicReadOnlyOperations<>)' typeof(SolrCloudBasicOperations<>)' collection' injection); " is 122.
