Implementation smell,Namespace,Class,File,Method,Description
Long Parameter List,Columns_TemplateColumnSortDescriptor,AgeToStringConverter,D:\newReposJune17\telerik_win8-xaml-sdk\Grid\Columns-TemplateColumnSortDescriptor\AgeToStringConverter.cs,Convert,The method has 4 parameters.
Long Parameter List,Columns_TemplateColumnSortDescriptor,AgeToStringConverter,D:\newReposJune17\telerik_win8-xaml-sdk\Grid\Columns-TemplateColumnSortDescriptor\AgeToStringConverter.cs,ConvertBack,The method has 4 parameters.
Long Parameter List,Columns_TemplateColumnSortDescriptor,ItemToNameConverter,D:\newReposJune17\telerik_win8-xaml-sdk\Grid\Columns-TemplateColumnSortDescriptor\ItemToNameConverter.cs,Convert,The method has 4 parameters.
Long Parameter List,Columns_TemplateColumnSortDescriptor,ItemToNameConverter,D:\newReposJune17\telerik_win8-xaml-sdk\Grid\Columns-TemplateColumnSortDescriptor\ItemToNameConverter.cs,ConvertBack,The method has 4 parameters.
Magic Number,Columns_TemplateColumnSortDescriptor,ViewModel,D:\newReposJune17\telerik_win8-xaml-sdk\Grid\Columns-TemplateColumnSortDescriptor\ViewModel.cs,FillData,The following statement contains a magic number: this.Collection = new ObservableCollection<Data> () {  	new Data () {  		FirstName = "Peter"'  		LastName = "Hillam"'  		Age = 22  	}'  	new Data () {  		FirstName = "Erik"'  		LastName = "Smith"'  		Age = 23  	}'  	new Data () {  		FirstName = "Rayan"'  		LastName = "Simpson"'  		Age = 21  	}'  	new Data () {  		FirstName = "Stephen"'  		LastName = "Bramson"'  		Age = 22  	}'  	new Data () {  		FirstName = "Samuel"'  		LastName = "Perry"'  		Age = 25  	}  };  
Magic Number,Columns_TemplateColumnSortDescriptor,ViewModel,D:\newReposJune17\telerik_win8-xaml-sdk\Grid\Columns-TemplateColumnSortDescriptor\ViewModel.cs,FillData,The following statement contains a magic number: this.Collection = new ObservableCollection<Data> () {  	new Data () {  		FirstName = "Peter"'  		LastName = "Hillam"'  		Age = 22  	}'  	new Data () {  		FirstName = "Erik"'  		LastName = "Smith"'  		Age = 23  	}'  	new Data () {  		FirstName = "Rayan"'  		LastName = "Simpson"'  		Age = 21  	}'  	new Data () {  		FirstName = "Stephen"'  		LastName = "Bramson"'  		Age = 22  	}'  	new Data () {  		FirstName = "Samuel"'  		LastName = "Perry"'  		Age = 25  	}  };  
Magic Number,Columns_TemplateColumnSortDescriptor,ViewModel,D:\newReposJune17\telerik_win8-xaml-sdk\Grid\Columns-TemplateColumnSortDescriptor\ViewModel.cs,FillData,The following statement contains a magic number: this.Collection = new ObservableCollection<Data> () {  	new Data () {  		FirstName = "Peter"'  		LastName = "Hillam"'  		Age = 22  	}'  	new Data () {  		FirstName = "Erik"'  		LastName = "Smith"'  		Age = 23  	}'  	new Data () {  		FirstName = "Rayan"'  		LastName = "Simpson"'  		Age = 21  	}'  	new Data () {  		FirstName = "Stephen"'  		LastName = "Bramson"'  		Age = 22  	}'  	new Data () {  		FirstName = "Samuel"'  		LastName = "Perry"'  		Age = 25  	}  };  
Magic Number,Columns_TemplateColumnSortDescriptor,ViewModel,D:\newReposJune17\telerik_win8-xaml-sdk\Grid\Columns-TemplateColumnSortDescriptor\ViewModel.cs,FillData,The following statement contains a magic number: this.Collection = new ObservableCollection<Data> () {  	new Data () {  		FirstName = "Peter"'  		LastName = "Hillam"'  		Age = 22  	}'  	new Data () {  		FirstName = "Erik"'  		LastName = "Smith"'  		Age = 23  	}'  	new Data () {  		FirstName = "Rayan"'  		LastName = "Simpson"'  		Age = 21  	}'  	new Data () {  		FirstName = "Stephen"'  		LastName = "Bramson"'  		Age = 22  	}'  	new Data () {  		FirstName = "Samuel"'  		LastName = "Perry"'  		Age = 25  	}  };  
Magic Number,Columns_TemplateColumnSortDescriptor,ViewModel,D:\newReposJune17\telerik_win8-xaml-sdk\Grid\Columns-TemplateColumnSortDescriptor\ViewModel.cs,FillData,The following statement contains a magic number: this.Collection = new ObservableCollection<Data> () {  	new Data () {  		FirstName = "Peter"'  		LastName = "Hillam"'  		Age = 22  	}'  	new Data () {  		FirstName = "Erik"'  		LastName = "Smith"'  		Age = 23  	}'  	new Data () {  		FirstName = "Rayan"'  		LastName = "Simpson"'  		Age = 21  	}'  	new Data () {  		FirstName = "Stephen"'  		LastName = "Bramson"'  		Age = 22  	}'  	new Data () {  		FirstName = "Samuel"'  		LastName = "Perry"'  		Age = 25  	}  };  
