Implementation smell,Namespace,Class,File,Method,Description
Magic Number,ChartPalette_HowTo_DefineInXAMLandCSharp,ViewModel,D:\newReposJune17\telerik_win8-xaml-sdk\Chart\ChartPalette-HowTo-DefineInXAMLandCSharp\ViewModel.cs,ViewModel,The following statement contains a magic number: this.SeriesData = new List<CustomPoint> () {  	new CustomPoint {  		Category = "first"'  		Value = 1  	}'  	new CustomPoint {  		Category = "second"'  		Value = 2  	}'  	new CustomPoint {  		Category = "third"'  		Value = 3  	}'  };  
Magic Number,ChartPalette_HowTo_DefineInXAMLandCSharp,ViewModel,D:\newReposJune17\telerik_win8-xaml-sdk\Chart\ChartPalette-HowTo-DefineInXAMLandCSharp\ViewModel.cs,ViewModel,The following statement contains a magic number: this.SeriesData = new List<CustomPoint> () {  	new CustomPoint {  		Category = "first"'  		Value = 1  	}'  	new CustomPoint {  		Category = "second"'  		Value = 2  	}'  	new CustomPoint {  		Category = "third"'  		Value = 3  	}'  };  
