Implementation smell,Namespace,Class,File,Method,Description
Magic Number,SeriesLabels_LabelDefinitions,ViewModel,D:\newReposJune17\telerik_win8-xaml-sdk\Chart\SeriesLabels-LabelDefinitions\ViewModel.cs,ViewModel,The following statement contains a magic number: collection.Add (new CustomPoint {  	Category = "Apples"'  	Value = 10'  	LabelProperty = "First Point"  });  
Magic Number,SeriesLabels_LabelDefinitions,ViewModel,D:\newReposJune17\telerik_win8-xaml-sdk\Chart\SeriesLabels-LabelDefinitions\ViewModel.cs,ViewModel,The following statement contains a magic number: collection.Add (new CustomPoint {  	Category = "Oranges"'  	Value = 8'  	LabelProperty = "Second Point"  });  
Magic Number,SeriesLabels_LabelDefinitions,ViewModel,D:\newReposJune17\telerik_win8-xaml-sdk\Chart\SeriesLabels-LabelDefinitions\ViewModel.cs,ViewModel,The following statement contains a magic number: collection.Add (new CustomPoint {  	Category = "Pineapples"'  	Value = 21'  	LabelProperty = "Third Point"  });  
