Implementation smell,Namespace,Class,File,Method,Description
Magic Number,PanAndZoomBehavior_GettingStarted,ViewModel,D:\newReposJune17\telerik_win8-xaml-sdk\Chart\PanAndZoomBehavior-GettingStarted\ViewModel.cs,ViewModel,The following statement contains a magic number: this.SeriesData = new List<CustomPoint> () {  	new CustomPoint {  		Category = "first"'  		Value = 10  	}'  	new CustomPoint {  		Category = "second"'  		Value = 32  	}'  	new CustomPoint {  		Category = "third"'  		Value = 15  	}'  };  
Magic Number,PanAndZoomBehavior_GettingStarted,ViewModel,D:\newReposJune17\telerik_win8-xaml-sdk\Chart\PanAndZoomBehavior-GettingStarted\ViewModel.cs,ViewModel,The following statement contains a magic number: this.SeriesData = new List<CustomPoint> () {  	new CustomPoint {  		Category = "first"'  		Value = 10  	}'  	new CustomPoint {  		Category = "second"'  		Value = 32  	}'  	new CustomPoint {  		Category = "third"'  		Value = 15  	}'  };  
Magic Number,PanAndZoomBehavior_GettingStarted,ViewModel,D:\newReposJune17\telerik_win8-xaml-sdk\Chart\PanAndZoomBehavior-GettingStarted\ViewModel.cs,ViewModel,The following statement contains a magic number: this.SeriesData = new List<CustomPoint> () {  	new CustomPoint {  		Category = "first"'  		Value = 10  	}'  	new CustomPoint {  		Category = "second"'  		Value = 32  	}'  	new CustomPoint {  		Category = "third"'  		Value = 15  	}'  };  
