Implementation smell,Namespace,Class,File,Method,Description
Long Statement,SelectionBehavior_GettingStarted,MainPage,D:\newReposJune17\telerik_win8-xaml-sdk\Chart\SelectionBehavior-GettingStarted\MainPage.xaml.cs,DataPointSelectionChanged,The length of the statement  "		CategoricalDataPoint selectedPoint = (sender as ChartSelectionBehavior).SelectedPoints.First () as CategoricalDataPoint; " is 120.
Long Statement,SelectionBehavior_GettingStarted,MainPage,D:\newReposJune17\telerik_win8-xaml-sdk\Chart\SelectionBehavior-GettingStarted\MainPage.xaml.cs,DataPointSelectionChanged,The length of the statement  "		textblock3.Text = String.Format ("Show information stored in a property from our model : {0}"' (selectedPoint.DataItem as CustomPoint).CustomProperty); " is 151.
Magic Number,SelectionBehavior_GettingStarted,ViewModel,D:\newReposJune17\telerik_win8-xaml-sdk\Chart\SelectionBehavior-GettingStarted\ViewModel.cs,ViewModel,The following statement contains a magic number: this.SeriesData = new List<CustomPoint> () {  	new CustomPoint {  		Category = "Apples"'  		Value = 10'  		CustomProperty = "This is the first point"  	}'  	new CustomPoint {  		Category = "Oranges"'  		Value = 32'  		CustomProperty = "This is the second point"  	}'  	new CustomPoint {  		Category = "Pears"'  		Value = 15'  		CustomProperty = "This is the third point"  	}'  };  
Magic Number,SelectionBehavior_GettingStarted,ViewModel,D:\newReposJune17\telerik_win8-xaml-sdk\Chart\SelectionBehavior-GettingStarted\ViewModel.cs,ViewModel,The following statement contains a magic number: this.SeriesData = new List<CustomPoint> () {  	new CustomPoint {  		Category = "Apples"'  		Value = 10'  		CustomProperty = "This is the first point"  	}'  	new CustomPoint {  		Category = "Oranges"'  		Value = 32'  		CustomProperty = "This is the second point"  	}'  	new CustomPoint {  		Category = "Pears"'  		Value = 15'  		CustomProperty = "This is the third point"  	}'  };  
Magic Number,SelectionBehavior_GettingStarted,ViewModel,D:\newReposJune17\telerik_win8-xaml-sdk\Chart\SelectionBehavior-GettingStarted\ViewModel.cs,ViewModel,The following statement contains a magic number: this.SeriesData = new List<CustomPoint> () {  	new CustomPoint {  		Category = "Apples"'  		Value = 10'  		CustomProperty = "This is the first point"  	}'  	new CustomPoint {  		Category = "Oranges"'  		Value = 32'  		CustomProperty = "This is the second point"  	}'  	new CustomPoint {  		Category = "Pears"'  		Value = 15'  		CustomProperty = "This is the third point"  	}'  };  
