Architecture smell,Project,Namespace,Cause
Cyclic Dependency,Orleans,Orleans.Runtime,The tool detected the smell in this component because this component participates in a cyclic dependency. The participating components in the cycle are: Orleans.Runtime' Orleans.Serialization
Cyclic Dependency,Orleans,Orleans.Runtime,The tool detected the smell in this component because this component participates in a cyclic dependency. The participating components in the cycle are: Orleans.Runtime' Orleans
Cyclic Dependency,Orleans,Orleans.Runtime,The tool detected the smell in this component because this component participates in a cyclic dependency. The participating components in the cycle are: Orleans.Runtime' Orleans.Runtime.Messaging
Cyclic Dependency,Orleans,Orleans.Runtime,The tool detected the smell in this component because this component participates in a cyclic dependency. The participating components in the cycle are: Orleans.Runtime' Orleans.Runtime.GrainDirectory
Cyclic Dependency,Orleans,Orleans.GrainDirectory,The tool detected the smell in this component because this component participates in a cyclic dependency. The participating components in the cycle are: Orleans.GrainDirectory' Orleans.Runtime.GrainDirectory' Orleans.Runtime
Cyclic Dependency,Orleans,Orleans.Serialization,The tool detected the smell in this component because this component participates in a cyclic dependency. The participating components in the cycle are: Orleans.Serialization' Orleans.Runtime' Orleans.Runtime.Messaging
Cyclic Dependency,Orleans,Orleans.SystemTargetInterfaces,The tool detected the smell in this component because this component participates in a cyclic dependency. The participating components in the cycle are: Orleans.SystemTargetInterfaces' Orleans.Runtime.GrainDirectory' Orleans.Runtime
Unstable Dependency,Orleans,Orleans.Runtime,The tool detected the smell in this component because this component depends on other components that are less stable than itself. This component depends on following less stable component(s): Orleans.CodeGeneration' Orleans.Serialization' Orleans' Orleans.Core' Orleans.Streams' Orleans.Providers' Orleans.Messaging' Orleans.Runtime
Unstable Dependency,Orleans,Orleans,The tool detected the smell in this component because this component depends on other components that are less stable than itself. This component depends on following less stable component(s): Orleans.Messaging
Unstable Dependency,Orleans,Orleans.CodeGeneration,The tool detected the smell in this component because this component depends on other components that are less stable than itself. This component depends on following less stable component(s): Orleans.Serialization' Orleans
Unstable Dependency,Orleans,Orleans.Runtime.Configuration,The tool detected the smell in this component because this component depends on other components that are less stable than itself. This component depends on following less stable component(s): Orleans.Streams' Orleans.Providers.Streams.SimpleMessageStream' Orleans.Runtime' Orleans.Providers' Orleans' Orleans.Versions.Selector
Unstable Dependency,Orleans,Orleans.LogConsistency,The tool detected the smell in this component because this component depends on other components that are less stable than itself. This component depends on following less stable component(s): Orleans.Serialization
Unstable Dependency,Orleans,Orleans.GrainDirectory,The tool detected the smell in this component because this component depends on other components that are less stable than itself. This component depends on following less stable component(s): Orleans.Runtime.Configuration' MultiCluster' Orleans.Runtime
Unstable Dependency,Orleans,Orleans.Runtime.Placement,The tool detected the smell in this component because this component depends on other components that are less stable than itself. This component depends on following less stable component(s): Orleans.Runtime' Orleans.Core
Unstable Dependency,Orleans,Orleans.Providers,The tool detected the smell in this component because this component depends on other components that are less stable than itself. This component depends on following less stable component(s): Orleans' Orleans.Streams
Unstable Dependency,Orleans,Orleans.Serialization,The tool detected the smell in this component because this component depends on other components that are less stable than itself. This component depends on following less stable component(s): Orleans
Unstable Dependency,Orleans,Orleans.Core,The tool detected the smell in this component because this component depends on other components that are less stable than itself. This component depends on following less stable component(s): Orleans
Unstable Dependency,Orleans,Orleans.Messaging,The tool detected the smell in this component because this component depends on other components that are less stable than itself. This component depends on following less stable component(s): Orleans.Runtime
Unstable Dependency,Orleans,Orleans.Storage,The tool detected the smell in this component because this component depends on other components that are less stable than itself. This component depends on following less stable component(s): Orleans.Runtime
Unstable Dependency,Orleans,Orleans.Streams,The tool detected the smell in this component because this component depends on other components that are less stable than itself. This component depends on following less stable component(s): Orleans' Orleans.Streams.Core' Orleans.Serialization' Orleans.Providers.Streams.Common
God Component,Orleans,Orleans.Runtime,The tool detected the smell in this component because the component contains high number of classes. Number of classes in the component are: 186
God Component,Orleans,Orleans,The tool detected the smell in this component because the component contains high number of classes. Number of classes in the component are: 68
God Component,Orleans,Orleans.Serialization,The tool detected the smell in this component because the component contains high number of classes. Number of classes in the component are: 33
God Component,Orleans,Orleans.Streams,The tool detected the smell in this component because the component contains high number of classes. Number of classes in the component are: 94
Feature Concentration,Orleans,Orleans,The tool detected the smell in this component because the component realizes more than one architectural concern/feature. Independent sets of related classes within this component are: [AsyncBatchedContinuationQueue]' [BatchWorker' BatchWorkerFromDelegate]' [MultiTaskCompletionSource]' [AsyncSerialExecutor]' [AsyncExecutorWithRetries' IBackoffProvider' FixedBackoff' ExponentialBackoff]' [AsyncLock' ClusterClient' IGrainFactory' GrainExtensions' GrainClient' OutsideRuntimeClient' IGrainObserver' IGrain' IGrainWithGuidKey' IGrainWithIntegerKey' IGrainWithStringKey' IGrainWithGuidCompoundKey' IGrainWithIntegerCompoundKey' Grain' GrainCancellationToken' OrleansTaskExtentions' GrainCancellationTokenSource' ErrorCode' Interner' UnobservedExceptionsHandlerClass' ClientBuilder' IClientBuilder' IClusterClient' ClientBuilderExtensions' GrainCasterFactory' GrainFactory' ISystemTarget' IClusterConnectionStatusListener' IInternalGrainFactory' IInternalClusterClient' GrainState' IGrainState' IStatefulGrain' IMembershipTable' IMembershipTableGrain' IReminderTable' IReminderTableGrain' ReminderEntry' ReminderData' ReminderTableData' ISiloControl' IRemindable' InternerConstants]' [PublicOrleansTaskExtensions]' [TaskDone]' [IGrainInvokeInterceptor' InterceptedMethodInvoker' InterceptedMethodInvokerCache]' [ReferenceEqualsComparer]' [SetExtensions]' [JenkinsHash]' [TableVersion]' [MembershipTableData]' [MembershipEntry]' [IReminderService]' [ISystemTargetBase]' [ImplicitStreamSubscriptionAttribute' RegexImplicitStreamSubscriptionAttribute]' [ObserverSubscriptionManager]. LCC (Lack of Component Cohesion) = 0.28
Feature Concentration,Orleans,Orleans.CodeGeneration,The tool detected the smell in this component because the component realizes more than one architectural concern/feature. Independent sets of related classes within this component are: [GeneratedAssembly' CodeGeneratorManager' ICodeGeneratorCache' IRuntimeCodeGenerator]' [GenericMethodInvoker]' [IGrainMethodInvoker' IGrainExtensionMethodInvoker' InvokeMethodRequest]' [IGrainExtensionMap]' [ISourceCodeGenerator]' [KnownAssemblyAttribute]' [OrleansCodeGenerationTargetAttribute]' [ConsiderForCodeGenerationAttribute' KnownTypeAttribute' GenerateSerializerAttribute]' [SkipCodeGenerationAttribute]' [GrainFactoryBase]' [GeneratedAttribute' MethodInvokerAttribute' GrainReferenceAttribute' SerializerAttribute]' [GrainInterfaceUtils]' [InvokeMethodOptions]. LCC (Lack of Component Cohesion) = 0.57
Feature Concentration,Orleans,Orleans.LogConsistency,The tool detected the smell in this component because the component realizes more than one architectural concern/feature. Independent sets of related classes within this component are: [ILogConsistencyDiagnostics' ConnectionIssue' NotificationFailed' IConnectionIssueListener' ILogViewAdaptorHost' ILogViewAdaptor' ILogViewRead' ILogViewUpdate' ILogViewAdaptorFactory' ILogConsistencyProtocolServices' ILogConsistentGrain' ILogConsistencyProvider]' [LogConsistencyStatistics]' [LogConsistentGrainBase]' [ProtocolTransportException]. LCC (Lack of Component Cohesion) = 0.27
