Implementation smell,Namespace,Class,File,Method,Description
Long Parameter List,OneBoxDeployment.Utilities,PlatformUtilities,D:\research\architectureSmells\repos\dotnet_orleans\Samples\OneBoxDeployment\src\OneBoxDeployment.Utilities\PlatformUtilities.cs,CreateProcessStartInfo,The method has 5 parameters. Parameters: pathAndFilename' arguments' encoding' workingDirectory' environmentVariables
Long Statement,OneBoxDeployment.Utilities,PlatformUtilities,D:\research\architectureSmells\repos\dotnet_orleans\Samples\OneBoxDeployment\src\OneBoxDeployment.Utilities\PlatformUtilities.cs,GetRunningProcessHandles,The length of the statement  "            return processNames.Select(Process.GetProcessesByName).Where(processes => processes.Length > 0).SelectMany(processes => processes).ToList();" is 140.
Long Statement,OneBoxDeployment.Utilities,PlatformUtilities,D:\research\architectureSmells\repos\dotnet_orleans\Samples\OneBoxDeployment\src\OneBoxDeployment.Utilities\PlatformUtilities.cs,GetRunningProcessHandles,The length of the statement  "            return processNames.Select(i => Process.GetProcessesByName(i.Item1).Where(j => j.MainModule.FileName == i.Item2)).Where(procs => procs.Any()).SelectMany(procs => procs).ToList();" is 178.
Long Statement,OneBoxDeployment.Utilities,PlatformUtilities,D:\research\architectureSmells\repos\dotnet_orleans\Samples\OneBoxDeployment\src\OneBoxDeployment.Utilities\PlatformUtilities.cs,StartProcessWithLogging,The length of the statement  "            var outputData = Observable.FromEventPattern<DataReceivedEventHandler' DataReceivedEventArgs>(h => process.OutputDataReceived += h' h => process.OutputDataReceived -= h).Select(ep => ep.EventArgs.Data).Publish().RefCount();" is 223.
Long Statement,OneBoxDeployment.Utilities,PlatformUtilities,D:\research\architectureSmells\repos\dotnet_orleans\Samples\OneBoxDeployment\src\OneBoxDeployment.Utilities\PlatformUtilities.cs,StartProcessWithLogging,The length of the statement  "            var errorData = Observable.FromEventPattern<DataReceivedEventHandler' DataReceivedEventArgs>(h => process.ErrorDataReceived += h' h => process.ErrorDataReceived -= h).Select(ep => ep.EventArgs.Data).Publish().RefCount();" is 220.
Long Statement,OneBoxDeployment.Utilities,PlatformUtilities,D:\research\architectureSmells\repos\dotnet_orleans\Samples\OneBoxDeployment\src\OneBoxDeployment.Utilities\PlatformUtilities.cs,GetDefaultSystemInstallationBasePath,The length of the statement  "                return RuntimeInformation.OSArchitecture == Architecture.X86 ? Environment.GetEnvironmentVariable("ProgramFiles(x86)") : Environment.GetEnvironmentVariable("ProgramFiles(x64)");" is 177.
