Architecture smell,Project,Namespace,Cause,Responsible Classes
Cyclic Dependency,Naiad-dist,Microsoft.Research.Naiad.Serialization,The tool detected the smell in this component because this component participates in a cyclic dependency. The participating components in the cycle are: Microsoft.Research.Naiad.Serialization' Microsoft.Research.Naiad.Dataflow,Microsoft.Research.Naiad.Serialization.BufferPage' Microsoft.Research.Naiad.Serialization.SendBufferPage' Microsoft.Research.Naiad.Serialization.AutoSerializedMessageDecoder<S'T>' Microsoft.Research.Naiad.Dataflow.PostOfficeChannel<S'T>' Microsoft.Research.Naiad.Dataflow.BufferingPostbox<S'T>' Microsoft.Research.Naiad.Dataflow.Mailbox' Microsoft.Research.Naiad.Dataflow.Channel
Cyclic Dependency,Naiad-dist,Microsoft.Research.Naiad.Serialization,The tool detected the smell in this component because this component participates in a cyclic dependency. The participating components in the cycle are: Microsoft.Research.Naiad.Serialization' Microsoft.Research.Naiad.Dataflow.Channels' Microsoft.Research.Naiad.Dataflow,Microsoft.Research.Naiad.Serialization.BufferPage' Microsoft.Research.Naiad.Serialization.SendBufferPage' Microsoft.Research.Naiad.Serialization.AutoSerializedMessageDecoder<S'T>' Microsoft.Research.Naiad.Dataflow.Channels.ReturnAddress' Microsoft.Research.Naiad.Dataflow.Channels.BufferingPostbox<S'T>' Microsoft.Research.Naiad.Dataflow.Channels.Mailbox' Microsoft.Research.Naiad.Dataflow.Channels.Channel' Microsoft.Research.Naiad.Dataflow.PostOfficeChannel<S'T>' Microsoft.Research.Naiad.Dataflow.BufferingPostbox<S'T>' Microsoft.Research.Naiad.Dataflow.Mailbox' Microsoft.Research.Naiad.Dataflow.Channel
Cyclic Dependency,Naiad-dist,Microsoft.Research.Naiad.Serialization,The tool detected the smell in this component because this component participates in a cyclic dependency. The participating components in the cycle are: Microsoft.Research.Naiad.Serialization' Microsoft.Research.Naiad.Dataflow' Microsoft.Research.Naiad.Dataflow.Channels' Microsoft.Research.Naiad.Dataflow,Microsoft.Research.Naiad.Serialization.BufferPage' Microsoft.Research.Naiad.Serialization.SendBufferPage' Microsoft.Research.Naiad.Serialization.AutoSerializedMessageDecoder<S'T>' Microsoft.Research.Naiad.Dataflow.PostOfficeChannel<S'T>' Microsoft.Research.Naiad.Dataflow.BufferingPostbox<S'T>' Microsoft.Research.Naiad.Dataflow.Mailbox' Microsoft.Research.Naiad.Dataflow.Channel' Microsoft.Research.Naiad.Dataflow.Channels.ReturnAddress' Microsoft.Research.Naiad.Dataflow.Channels.BufferingPostbox<S'T>' Microsoft.Research.Naiad.Dataflow.Channels.Mailbox' Microsoft.Research.Naiad.Dataflow.Channels.Channel
Cyclic Dependency,Naiad-dist,Microsoft.Research.Naiad.Serialization,The tool detected the smell in this component because this component participates in a cyclic dependency. The participating components in the cycle are: Microsoft.Research.Naiad.Serialization' Microsoft.Research.Naiad.Dataflow.Channels' Microsoft.Research.Naiad.Dataflow' Microsoft.Research.Naiad.Dataflow.Channels' Microsoft.Research.Naiad.Dataflow,Microsoft.Research.Naiad.Serialization.BufferPage' Microsoft.Research.Naiad.Serialization.SendBufferPage' Microsoft.Research.Naiad.Serialization.AutoSerializedMessageDecoder<S'T>' Microsoft.Research.Naiad.Dataflow.Channels.ReturnAddress' Microsoft.Research.Naiad.Dataflow.Channels.BufferingPostbox<S'T>' Microsoft.Research.Naiad.Dataflow.Channels.Mailbox' Microsoft.Research.Naiad.Dataflow.Channels.Channel' Microsoft.Research.Naiad.Dataflow.PostOfficeChannel<S'T>' Microsoft.Research.Naiad.Dataflow.BufferingPostbox<S'T>' Microsoft.Research.Naiad.Dataflow.Mailbox' Microsoft.Research.Naiad.Dataflow.Channel
Cyclic Dependency,Naiad-dist,Microsoft.Research.Naiad.Dataflow,The tool detected the smell in this component because this component participates in a cyclic dependency. The participating components in the cycle are: Microsoft.Research.Naiad.Dataflow' Microsoft.Research.Naiad.Dataflow.Channels,Microsoft.Research.Naiad.Dataflow.PostOfficeChannel<S'T>' Microsoft.Research.Naiad.Dataflow.BufferingPostbox<S'T>' Microsoft.Research.Naiad.Dataflow.Mailbox' Microsoft.Research.Naiad.Dataflow.Channel' Microsoft.Research.Naiad.Dataflow.Channels.ReturnAddress' Microsoft.Research.Naiad.Dataflow.Channels.BufferingPostbox<S'T>' Microsoft.Research.Naiad.Dataflow.Channels.Mailbox' Microsoft.Research.Naiad.Dataflow.Channels.Channel
Unstable Dependency,Naiad-dist,Microsoft.Research.Naiad.Dataflow,The tool detected the smell in this component because this component depends on other components that are less stable than itself. This component depends on following less stable component(s): Microsoft.Research.Naiad.Dataflow.Channels' Microsoft.Research.Naiad.Serialization,Microsoft.Research.Naiad.Dataflow.Mailbox' Microsoft.Research.Naiad.Dataflow.Flags' Microsoft.Research.Naiad.Dataflow.Channel' Microsoft.Research.Naiad.Dataflow.PostOffice' Microsoft.Research.Naiad.Dataflow.LocalMailbox' Microsoft.Research.Naiad.Dataflow.SerializedMessage' Microsoft.Research.Naiad.Dataflow.SerializedMessageType' Microsoft.Research.Naiad.Dataflow.CompletedMessageArgs
God Component,Naiad-dist,Microsoft.Research.Naiad.Serialization,The tool detected the smell in this component because the component contains high number of classes. Number of classes in the component are: 39,Microsoft.Research.Naiad.Serialization.TryConsumeResult' Microsoft.Research.Naiad.Serialization.SerializedMessageType' Microsoft.Research.Naiad.Serialization.NaiadSerializationConstants' Microsoft.Research.Naiad.Serialization.IFlushable' Microsoft.Research.Naiad.Serialization.CompletedMessageArgs' Microsoft.Research.Naiad.Serialization.SerializationFactory' Microsoft.Research.Naiad.Serialization.LegacySerializationCodeGenerator' Microsoft.Research.Naiad.Serialization.RecvBuffer' Microsoft.Research.Naiad.Serialization.Serializer' Microsoft.Research.Naiad.Serialization.InlineSerializationCodeGenerator
Feature Concentration,Naiad-dist,Microsoft.Research.Naiad.Diagnostics,The tool detected the smell in this component because the component realizes more than one architectural concern/feature. Independent sets of related classes within this component are: [NaiadTracingRegion' NaiadTracing]' [KernelLoggerTracing]' [LoggingLevel' Logging' LoggingStyle]' [LogInfo]. LCC (Lack of Component Cohesion) = 0.57,Microsoft.Research.Naiad.Diagnostics.NaiadTracingRegion' Microsoft.Research.Naiad.Diagnostics.NaiadTracing' Microsoft.Research.Naiad.Diagnostics.KernelLoggerTracing' Microsoft.Research.Naiad.Diagnostics.LogInfo
Feature Concentration,Naiad-dist,Microsoft.Research.Naiad.Dataflow,The tool detected the smell in this component because the component realizes more than one architectural concern/feature. Independent sets of related classes within this component are: [ReturnAddress' Postbox<S'T>' Mailbox' LocalMailbox<S'T>' RemoteMailbox<S'T>' Message' SendChannel' BufferingPostbox<S'T>' NoHashCodePostbox<S'T>]' [PostOfficeChannel<S'T>]' [PostOffice]' [LocalMailbox]' [Channel]' [Flags]' [Cable]. LCC (Lack of Component Cohesion) = 0.47,Microsoft.Research.Naiad.Dataflow.PostOfficeChannel<S'T>' Microsoft.Research.Naiad.Dataflow.PostOffice' Microsoft.Research.Naiad.Dataflow.LocalMailbox' Microsoft.Research.Naiad.Dataflow.Channel' Microsoft.Research.Naiad.Dataflow.Flags' Microsoft.Research.Naiad.Dataflow.Cable
Feature Concentration,Naiad-dist,Microsoft.Research.Naiad.Dataflow.Channels,The tool detected the smell in this component because the component realizes more than one architectural concern/feature. Independent sets of related classes within this component are: [ReturnAddress]' [PostOfficeChannel<S'T>' Mailbox' LocalMailbox' LocalMailbox<S'T>' RemoteMailbox<S'T>' Channel' Flags' Cable' Postbox<S'T>' BufferingPostbox<S'T>' NoHashCodePostbox<S'T>' PostOffice' PipelineChannel<S'T>' Fiber]' [Message]' [SendChannel]. LCC (Lack of Component Cohesion) = 0.24,Microsoft.Research.Naiad.Dataflow.Channels.SendChannel
Feature Concentration,Naiad-dist,Microsoft.Research.Naiad,The tool detected the smell in this component because the component realizes more than one architectural concern/feature. Independent sets of related classes within this component are: [CircularLogBuffer<T>]' [ThreadLocalBufferPools<T>]' [ThreadLocalMessageBufferPools<T>]' [AllocationReason' ThreadLocalAllocationCounters<T>' Pair' PairExtensionMethods]' [BufferPoolUtils' ThreadLocalBufferPool<T>' BufferPool' NonblockingBufferPool' DummyBufferPool<T>' ThreadLocalMessageBufferPool<T>' LockedBufferPool<T>' BoundedBufferPool2<T>' Waiter' ObjectSize]' [GlobalBufferPool<T>]. LCC (Lack of Component Cohesion) = 0.33,Microsoft.Research.Naiad.CircularLogBuffer<T>' Microsoft.Research.Naiad.ThreadLocalBufferPools<T>' Microsoft.Research.Naiad.ThreadLocalMessageBufferPools<T>' Microsoft.Research.Naiad.GlobalBufferPool<T>
