Implementation smell,Namespace,Class,File,Method,Description
Long Parameter List,Appccelerate.MappingEventBroker.Internals,MissingMappingContext,D:\research\architectureSmells\repos\appccelerate_appccelerate\source\Appccelerate.MappingEventBroker\Internals\MissingMappingContext.cs,MissingMappingContext,The method has 6 parameters. Parameters: eventTopic' destinationTopic' publication' sender' eventArgs' exception
Long Statement,Appccelerate.MappingEventBroker,MappingEventBrokerExtension,D:\research\architectureSmells\repos\appccelerate_appccelerate\source\Appccelerate.MappingEventBroker\MappingEventBrokerExtension.cs,FiringEvent,The length of the statement  "                Type destinationEventArgsType = this.TypeProvider.GetDestinationEventArgsType(destinationTopicUri' sourceEventArgsType); " is 120.
Long Statement,Appccelerate.MappingEventBroker,MappingEventBrokerExtension,D:\research\architectureSmells\repos\appccelerate_appccelerate\source\Appccelerate.MappingEventBroker\MappingEventBrokerExtension.cs,FiringEvent,The length of the statement  "                        throw new ArgumentException("Destination event argument type provider was unable to determine destination event argument type."); " is 129.
Long Statement,Appccelerate.MappingEventBroker,MappingEventBrokerExtension,D:\research\architectureSmells\repos\appccelerate_appccelerate\source\Appccelerate.MappingEventBroker\MappingEventBrokerExtension.cs,FiringEvent,The length of the statement  "                    this.HostedEventBroker.Fire(destinationTopicUri' publication.Publisher' publication.HandlerRestriction' sender' mappedEventArgs); " is 129.
Long Statement,Appccelerate.MappingEventBroker,MappingEventBrokerExtension,D:\research\architectureSmells\repos\appccelerate_appccelerate\source\Appccelerate.MappingEventBroker\MappingEventBrokerExtension.cs,AssertEventBrokerManaged,The length of the statement  "                throw new InvalidOperationException("The extension does not manage an event broker. Please call Manage() before executing any action on the extension!"); " is 153.
