Implementation smell,Namespace,Class,File,Method,Description
Long Parameter List,Votations.NSurvey.Web.Security,NSurveyFormIdentity,C:\repos\berniegao_projects\Source_Survey_2.2_Final\Reflector\Nsurvey_UserProvider\Votations.NSurvey.Web.Security\NSurveyFormIdentity.cs,NSurveyFormIdentity,The method has 8 parameters.
Long Statement,Votations.NSurvey.UserProvider,FormUserProvider,C:\repos\berniegao_projects\Source_Survey_2.2_Final\Reflector\Nsurvey_UserProvider\Votations.NSurvey.UserProvider\FormUserProvider.cs,CreatePrincipal,The length of the statement  "		return new NSurveyFormPrincipal (new NSurveyFormIdentity ("nsurvey_admin"' 0' null' null' null' true' true' false)' null); " is 122.
Long Statement,Votations.NSurvey.UserProvider,FormUserProvider,C:\repos\berniegao_projects\Source_Survey_2.2_Final\Reflector\Nsurvey_UserProvider\Votations.NSurvey.UserProvider\FormUserProvider.cs,CreatePrincipal,The length of the statement  "		return new NSurveyFormPrincipal (new NSurveyFormIdentity ("anonymous"' -1' null' null' null' false' false' false)' null); " is 121.
Long Statement,Votations.NSurvey.UserProvider,FormUserProvider,C:\repos\berniegao_projects\Source_Survey_2.2_Final\Reflector\Nsurvey_UserProvider\Votations.NSurvey.UserProvider\FormUserProvider.cs,CreatePrincipal,The length of the statement  "		return new NSurveyFormPrincipal (new NSurveyFormIdentity ("anonymous"' -1' null' null' null' false' false' false)' null); " is 121.
Long Statement,Votations.NSurvey.UserProvider,FormUserProvider,C:\repos\berniegao_projects\Source_Survey_2.2_Final\Reflector\Nsurvey_UserProvider\Votations.NSurvey.UserProvider\FormUserProvider.cs,CreatePrincipal,The length of the statement  "		return new NSurveyFormPrincipal (new NSurveyFormIdentity ("anonymous"' -1' null' null' null' false' false' false)' null); " is 121.
Long Statement,Votations.NSurvey.UserProvider,FormUserProvider,C:\repos\berniegao_projects\Source_Survey_2.2_Final\Reflector\Nsurvey_UserProvider\Votations.NSurvey.UserProvider\FormUserProvider.cs,CreatePrincipal,The length of the statement  "	return new NSurveyFormPrincipal (new NSurveyFormIdentity (strArray [0]' int.Parse (strArray [1])' strArray [2]' strArray [3]' strArray [4]' bool.Parse (strArray [5])' bool.Parse (strArray [6])' true)' userName.Substring (index + 1).Split (new char[] { " is 251.
Magic Number,Votations.NSurvey.UserProvider,FormUserProvider,C:\repos\berniegao_projects\Source_Survey_2.2_Final\Reflector\Nsurvey_UserProvider\Votations.NSurvey.UserProvider\FormUserProvider.cs,CreatePrincipal,The following statement contains a magic number: if (strArray.Length < 6) {  	return new NSurveyFormPrincipal (new NSurveyFormIdentity ("anonymous"' -1' null' null' null' false' false' false)' null);  }  
Magic Number,Votations.NSurvey.UserProvider,FormUserProvider,C:\repos\berniegao_projects\Source_Survey_2.2_Final\Reflector\Nsurvey_UserProvider\Votations.NSurvey.UserProvider\FormUserProvider.cs,CreatePrincipal,The following statement contains a magic number: return new NSurveyFormPrincipal (new NSurveyFormIdentity (strArray [0]' int.Parse (strArray [1])' strArray [2]' strArray [3]' strArray [4]' bool.Parse (strArray [5])' bool.Parse (strArray [6])' true)' userName.Substring (index + 1).Split (new char[] {  	'''  }));  
Magic Number,Votations.NSurvey.UserProvider,FormUserProvider,C:\repos\berniegao_projects\Source_Survey_2.2_Final\Reflector\Nsurvey_UserProvider\Votations.NSurvey.UserProvider\FormUserProvider.cs,CreatePrincipal,The following statement contains a magic number: return new NSurveyFormPrincipal (new NSurveyFormIdentity (strArray [0]' int.Parse (strArray [1])' strArray [2]' strArray [3]' strArray [4]' bool.Parse (strArray [5])' bool.Parse (strArray [6])' true)' userName.Substring (index + 1).Split (new char[] {  	'''  }));  
Magic Number,Votations.NSurvey.UserProvider,FormUserProvider,C:\repos\berniegao_projects\Source_Survey_2.2_Final\Reflector\Nsurvey_UserProvider\Votations.NSurvey.UserProvider\FormUserProvider.cs,CreatePrincipal,The following statement contains a magic number: return new NSurveyFormPrincipal (new NSurveyFormIdentity (strArray [0]' int.Parse (strArray [1])' strArray [2]' strArray [3]' strArray [4]' bool.Parse (strArray [5])' bool.Parse (strArray [6])' true)' userName.Substring (index + 1).Split (new char[] {  	'''  }));  
Magic Number,Votations.NSurvey.UserProvider,FormUserProvider,C:\repos\berniegao_projects\Source_Survey_2.2_Final\Reflector\Nsurvey_UserProvider\Votations.NSurvey.UserProvider\FormUserProvider.cs,CreatePrincipal,The following statement contains a magic number: return new NSurveyFormPrincipal (new NSurveyFormIdentity (strArray [0]' int.Parse (strArray [1])' strArray [2]' strArray [3]' strArray [4]' bool.Parse (strArray [5])' bool.Parse (strArray [6])' true)' userName.Substring (index + 1).Split (new char[] {  	'''  }));  
Magic Number,Votations.NSurvey.UserProvider,FormUserProvider,C:\repos\berniegao_projects\Source_Survey_2.2_Final\Reflector\Nsurvey_UserProvider\Votations.NSurvey.UserProvider\FormUserProvider.cs,CreatePrincipal,The following statement contains a magic number: return new NSurveyFormPrincipal (new NSurveyFormIdentity (strArray [0]' int.Parse (strArray [1])' strArray [2]' strArray [3]' strArray [4]' bool.Parse (strArray [5])' bool.Parse (strArray [6])' true)' userName.Substring (index + 1).Split (new char[] {  	'''  }));  
