Architecture smell,Project,Namespace,Cause,Responsible Classes
Cyclic Dependency,Rebel.Framework.Persistence,Rebel.Framework.Persistence.Model.Attribution.MetaData,The tool detected the smell in this component because this component participates in a cyclic dependency. The participating components in the cycle are: Rebel.Framework.Persistence.Model.Attribution.MetaData' Rebel.Framework.Persistence.Model,Rebel.Framework.Persistence.Model.Attribution.MetaData.CompositeEntitySchema' Rebel.Framework.Persistence.Model.Attribution.MetaData.AttributeDefinition' Rebel.Framework.Persistence.Model.Attribution.MetaData.AttributeGroup' Rebel.Framework.Persistence.Model.Attribution.MetaData.AttributeType' Rebel.Framework.Persistence.Model.Attribution.MetaData.EntitySchema' Rebel.Framework.Persistence.Model.AbstractSchemaPart<T>' Rebel.Framework.Persistence.Model.CompositeTypedEntity' Rebel.Framework.Persistence.Model.TypedEntity
Cyclic Dependency,Rebel.Framework.Persistence,Rebel.Framework.Persistence.Model.Attribution.MetaData,The tool detected the smell in this component because this component participates in a cyclic dependency. The participating components in the cycle are: Rebel.Framework.Persistence.Model.Attribution.MetaData' Rebel.Framework.Persistence.Model' Rebel.Framework.Persistence.Model.Associations._Revised,Rebel.Framework.Persistence.Model.Attribution.MetaData.CompositeEntitySchema' Rebel.Framework.Persistence.Model.Attribution.MetaData.AttributeDefinition' Rebel.Framework.Persistence.Model.Attribution.MetaData.AttributeGroup' Rebel.Framework.Persistence.Model.Attribution.MetaData.AttributeType' Rebel.Framework.Persistence.Model.Attribution.MetaData.EntitySchema' Rebel.Framework.Persistence.Model.AbstractSchemaPart<T>' Rebel.Framework.Persistence.Model.CompositeTypedEntity' Rebel.Framework.Persistence.Model.TypedEntity' Rebel.Framework.Persistence.Model.Associations._Revised.RelationById' Rebel.Framework.Persistence.Model.Associations._Revised.RelationProxyCollection
Cyclic Dependency,Rebel.Framework.Persistence,Rebel.Framework.Persistence.Model.Constants,The tool detected the smell in this component because this component participates in a cyclic dependency. The participating components in the cycle are: Rebel.Framework.Persistence.Model.Constants' Rebel.Framework.Persistence.Model.Attribution.MetaData,Rebel.Framework.Persistence.Model.Constants.FixedHiveIds' Rebel.Framework.Persistence.Model.Constants.FixedGroupDefinitions' Rebel.Framework.Persistence.Model.Constants.FixedRelationTypes' Rebel.Framework.Persistence.Model.Attribution.MetaData.CompositeEntitySchema' Rebel.Framework.Persistence.Model.Attribution.MetaData.AttributeDefinition' Rebel.Framework.Persistence.Model.Attribution.MetaData.AttributeGroup' Rebel.Framework.Persistence.Model.Attribution.MetaData.AttributeType' Rebel.Framework.Persistence.Model.Attribution.MetaData.EntitySchema
Cyclic Dependency,Rebel.Framework.Persistence,Rebel.Framework.Persistence.Model.Constants,The tool detected the smell in this component because this component participates in a cyclic dependency. The participating components in the cycle are: Rebel.Framework.Persistence.Model.Constants' Rebel.Framework.Persistence.Model.Attribution.MetaData' Rebel.Framework.Persistence.Model' Rebel.Framework.Persistence.Model.Attribution.MetaData,Rebel.Framework.Persistence.Model.Constants.FixedHiveIds' Rebel.Framework.Persistence.Model.Constants.FixedGroupDefinitions' Rebel.Framework.Persistence.Model.Constants.FixedRelationTypes' Rebel.Framework.Persistence.Model.Attribution.MetaData.CompositeEntitySchema' Rebel.Framework.Persistence.Model.Attribution.MetaData.AttributeDefinition' Rebel.Framework.Persistence.Model.Attribution.MetaData.AttributeGroup' Rebel.Framework.Persistence.Model.Attribution.MetaData.AttributeType' Rebel.Framework.Persistence.Model.Attribution.MetaData.EntitySchema' Rebel.Framework.Persistence.Model.AbstractSchemaPart<T>' Rebel.Framework.Persistence.Model.CompositeTypedEntity' Rebel.Framework.Persistence.Model.TypedEntity
Cyclic Dependency,Rebel.Framework.Persistence,Rebel.Framework.Persistence.Model.Constants,The tool detected the smell in this component because this component participates in a cyclic dependency. The participating components in the cycle are: Rebel.Framework.Persistence.Model.Constants' Rebel.Framework.Persistence.Model.Attribution.MetaData' Rebel.Framework.Persistence.Model' Rebel.Framework.Persistence.Model.Associations._Revised' Rebel.Framework.Persistence.Model.Attribution.MetaData,Rebel.Framework.Persistence.Model.Constants.FixedHiveIds' Rebel.Framework.Persistence.Model.Constants.FixedGroupDefinitions' Rebel.Framework.Persistence.Model.Constants.FixedRelationTypes' Rebel.Framework.Persistence.Model.Attribution.MetaData.CompositeEntitySchema' Rebel.Framework.Persistence.Model.Attribution.MetaData.AttributeDefinition' Rebel.Framework.Persistence.Model.Attribution.MetaData.AttributeGroup' Rebel.Framework.Persistence.Model.Attribution.MetaData.AttributeType' Rebel.Framework.Persistence.Model.Attribution.MetaData.EntitySchema' Rebel.Framework.Persistence.Model.AbstractSchemaPart<T>' Rebel.Framework.Persistence.Model.CompositeTypedEntity' Rebel.Framework.Persistence.Model.TypedEntity' Rebel.Framework.Persistence.Model.Associations._Revised.RelationById' Rebel.Framework.Persistence.Model.Associations._Revised.RelationProxyCollection
Unstable Dependency,Rebel.Framework.Persistence,Rebel.Framework.Persistence.Model,The tool detected the smell in this component because this component depends on other components that are less stable than itself. This component depends on following less stable component(s): Rebel.Framework.Persistence.Model.Associations._Revised' Rebel.Framework.Persistence.Model.Attribution.MetaData,Rebel.Framework.Persistence.Model.RelationProxyCollection' Rebel.Framework.Persistence.Model.EntitySchema' Rebel.Framework.Persistence.Model.CompositeEntitySchema' Rebel.Framework.Persistence.Model.InheritedAttributeDefinition' Rebel.Framework.Persistence.Model.AttributeDefinition
Unstable Dependency,Rebel.Framework.Persistence,Rebel.Framework.Persistence.Model.Associations,The tool detected the smell in this component because this component depends on other components that are less stable than itself. This component depends on following less stable component(s): Rebel.Framework.Persistence.Model' Rebel.Framework' Rebel.Framework.Persistence.Model.Associations._Revised,Rebel.Framework.Persistence.Model.Associations.IRelatableEntity' Rebel.Framework.Persistence.Model.Associations.HiveId' Rebel.Framework.Persistence.Model.Associations.IReferenceByHiveId' Rebel.Framework.Persistence.Model.Associations.RelationById
Unstable Dependency,Rebel.Framework.Persistence,Rebel.Framework.Persistence.Model.Attribution.MetaData,The tool detected the smell in this component because this component depends on other components that are less stable than itself. This component depends on following less stable component(s): Rebel.Framework.Persistence.Model.Associations._Revised,Rebel.Framework.Persistence.Model.Attribution.MetaData.RelationProxyCollection' Rebel.Framework.Persistence.Model.Attribution.MetaData.RelationProxy
Unstable Dependency,Rebel.Framework.Persistence,Rebel.Framework.Persistence.Model.Constants,The tool detected the smell in this component because this component depends on other components that are less stable than itself. This component depends on following less stable component(s): Rebel.Framework' Rebel.Framework.Persistence.Model.Attribution.MetaData' Rebel.Framework.Persistence.Model.Associations,Rebel.Framework.Persistence.Model.Constants.HiveId' Rebel.Framework.Persistence.Model.Constants.AttributeGroup' Rebel.Framework.Persistence.Model.Constants.RelationType' Rebel.Framework.Persistence.Model.Constants.RevisionStatusType
Unstable Dependency,Rebel.Framework.Persistence,Rebel.Framework.Persistence.Model.Constants.AttributeDefinitions,The tool detected the smell in this component because this component depends on other components that are less stable than itself. This component depends on following less stable component(s): Rebel.Framework.Persistence,Rebel.Framework.Persistence.Model.Constants.AttributeDefinitions.AttributeTypeRegistry' Rebel.Framework.Persistence.Model.Constants.AttributeDefinitions.IAttributeTypeRegistry
