Implementation smell,Namespace,Class,File,Method,Description
Long Statement,SupremeFiction.UI.SupremeRulerModdingTool.Wpf,WpfInstaller,C:\repos\Blind-Striker_supremefiction\SupremeRulerModdingTool\UI\SupremeRulerModdingTool.Wpf\WpfInstaller.cs,Install,The length of the statement  "	container.Register (Component.For<IMainView> ().ImplementedBy<MainWindow> ().LifestyleTransient ()' Component.For<IMessageService> ().ImplementedBy<MessageService> ().LifestyleTransient ()' Component.For<IDialogService> ().ImplementedBy<WpfFormDialogService> ().LifestyleTransient ()); " is 285.
Long Statement,SupremeFiction.UI.SupremeRulerModdingTool.Wpf,App,C:\repos\Blind-Striker_supremefiction\SupremeRulerModdingTool\UI\SupremeRulerModdingTool.Wpf\App.xaml.cs,OnStartup,The length of the statement  "	Bootstrapper registerInstaller = Bootstrapper.Create ().RegisterInstaller (new WpfInstaller ()).RegisterInstaller (new CoreInstaller ()); " is 137.
