Implementation smell,Namespace,Class,File,Method,Description
Long Statement,LucasJsonPlugins,DoSomething,D:\research\architectureSmells\repos\lucasalexander_Crm-Sample-Code\CrmJsonProcessing\LucasJsonPlugins\DoSomething.cs,Execute,The length of the statement  "                System.Runtime.Serialization.Json.DataContractJsonSerializer serializer = new System.Runtime.Serialization.Json.DataContractJsonSerializer(myRequest.GetType()); " is 160.
Long Statement,LucasJsonPlugins,DoSomething,D:\research\architectureSmells\repos\lucasalexander_Crm-Sample-Code\CrmJsonProcessing\LucasJsonPlugins\DoSomething.cs,Execute,The length of the statement  "                System.Runtime.Serialization.Json.DataContractJsonSerializer deserializer = new System.Runtime.Serialization.Json.DataContractJsonSerializer(myResponse.GetType()); " is 163.
