Implementation smell,Namespace,Class,File,Method,Description
Complex Method,CrmAzureTextAnalysis,AnalyzeSentiment,F:\newReposMay17\lucasalexander_Crm-Sample-Code\CrmAzureTextAnalysis\CrmAzureTextAnalysis\AnalyzeSentiment.cs,Execute,Cyclomatic complexity of the method is 8
Long Statement,CrmAzureTextAnalysis,AnalyzeSentiment,F:\newReposMay17\lucasalexander_Crm-Sample-Code\CrmAzureTextAnalysis\CrmAzureTextAnalysis\AnalyzeSentiment.cs,Execute,The length of the statement  "	tracingService.Trace ("Entered " + _activityName + ".Execute()' Activity Instance Id: {0}' Workflow Instance Id: {1}"' executionContext.ActivityInstanceId' executionContext.WorkflowInstanceId); " is 193.
Long Statement,CrmAzureTextAnalysis,AnalyzeSentiment,F:\newReposMay17\lucasalexander_Crm-Sample-Code\CrmAzureTextAnalysis\CrmAzureTextAnalysis\AnalyzeSentiment.cs,Execute,The length of the statement  "	tracingService.Trace (_activityName + ".Execute()' Correlation Id: {0}' Initiating User: {1}"' context.CorrelationId' context.InitiatingUserId); " is 144.
Long Statement,CrmAzureTextAnalysis,AnalyzeSentiment,F:\newReposMay17\lucasalexander_Crm-Sample-Code\CrmAzureTextAnalysis\CrmAzureTextAnalysis\AnalyzeSentiment.cs,Execute,The length of the statement  "			System.Runtime.Serialization.Json.DataContractJsonSerializer deserializer = new System.Runtime.Serialization.Json.DataContractJsonSerializer (sentimentResult.GetType ()); " is 170.
Long Statement,CrmAzureTextAnalysis,AnalyzeSentiment,F:\newReposMay17\lucasalexander_Crm-Sample-Code\CrmAzureTextAnalysis\CrmAzureTextAnalysis\AnalyzeSentiment.cs,Execute,The length of the statement  "				throw new InvalidPluginExecutionException (String.Format ("Sentiment analyis error: {0)"' sentimentResult.Errors [0].Message)); " is 127.
Long Statement,CrmAzureTextAnalysis,AnalyzeSentiment,F:\newReposMay17\lucasalexander_Crm-Sample-Code\CrmAzureTextAnalysis\CrmAzureTextAnalysis\AnalyzeSentiment.cs,Execute,The length of the statement  "		throw new InvalidPluginExecutionException (String.Format (CultureInfo.InvariantCulture' "A Web exception ocurred while attempting to issue the request. {0}: {1}"' exception.Message' str)' exception); " is 199.
Long Statement,CrmAzureTextAnalysis,HtmlTools,F:\newReposMay17\lucasalexander_Crm-Sample-Code\CrmAzureTextAnalysis\CrmAzureTextAnalysis\HtmlTools.cs,StripHTML,The length of the statement  "		result = System.Text.RegularExpressions.Regex.Replace (result' @"<( )*head([^>])*>"' "<head>"' System.Text.RegularExpressions.RegexOptions.IgnoreCase); " is 151.
Long Statement,CrmAzureTextAnalysis,HtmlTools,F:\newReposMay17\lucasalexander_Crm-Sample-Code\CrmAzureTextAnalysis\CrmAzureTextAnalysis\HtmlTools.cs,StripHTML,The length of the statement  "		result = System.Text.RegularExpressions.Regex.Replace (result' @"(<( )*(/)( )*head( )*>)"' "</head>"' System.Text.RegularExpressions.RegexOptions.IgnoreCase); " is 158.
Long Statement,CrmAzureTextAnalysis,HtmlTools,F:\newReposMay17\lucasalexander_Crm-Sample-Code\CrmAzureTextAnalysis\CrmAzureTextAnalysis\HtmlTools.cs,StripHTML,The length of the statement  "		result = System.Text.RegularExpressions.Regex.Replace (result' "(<head>).*(</head>)"' string.Empty' System.Text.RegularExpressions.RegexOptions.IgnoreCase); " is 156.
Long Statement,CrmAzureTextAnalysis,HtmlTools,F:\newReposMay17\lucasalexander_Crm-Sample-Code\CrmAzureTextAnalysis\CrmAzureTextAnalysis\HtmlTools.cs,StripHTML,The length of the statement  "		result = System.Text.RegularExpressions.Regex.Replace (result' @"<( )*script([^>])*>"' "<script>"' System.Text.RegularExpressions.RegexOptions.IgnoreCase); " is 155.
Long Statement,CrmAzureTextAnalysis,HtmlTools,F:\newReposMay17\lucasalexander_Crm-Sample-Code\CrmAzureTextAnalysis\CrmAzureTextAnalysis\HtmlTools.cs,StripHTML,The length of the statement  "		result = System.Text.RegularExpressions.Regex.Replace (result' @"(<( )*(/)( )*script( )*>)"' "</script>"' System.Text.RegularExpressions.RegexOptions.IgnoreCase); " is 162.
Long Statement,CrmAzureTextAnalysis,HtmlTools,F:\newReposMay17\lucasalexander_Crm-Sample-Code\CrmAzureTextAnalysis\CrmAzureTextAnalysis\HtmlTools.cs,StripHTML,The length of the statement  "		result = System.Text.RegularExpressions.Regex.Replace (result' @"(<script>).*(</script>)"' string.Empty' System.Text.RegularExpressions.RegexOptions.IgnoreCase); " is 161.
Long Statement,CrmAzureTextAnalysis,HtmlTools,F:\newReposMay17\lucasalexander_Crm-Sample-Code\CrmAzureTextAnalysis\CrmAzureTextAnalysis\HtmlTools.cs,StripHTML,The length of the statement  "		result = System.Text.RegularExpressions.Regex.Replace (result' @"<( )*style([^>])*>"' "<style>"' System.Text.RegularExpressions.RegexOptions.IgnoreCase); " is 153.
Long Statement,CrmAzureTextAnalysis,HtmlTools,F:\newReposMay17\lucasalexander_Crm-Sample-Code\CrmAzureTextAnalysis\CrmAzureTextAnalysis\HtmlTools.cs,StripHTML,The length of the statement  "		result = System.Text.RegularExpressions.Regex.Replace (result' @"(<( )*(/)( )*style( )*>)"' "</style>"' System.Text.RegularExpressions.RegexOptions.IgnoreCase); " is 160.
Long Statement,CrmAzureTextAnalysis,HtmlTools,F:\newReposMay17\lucasalexander_Crm-Sample-Code\CrmAzureTextAnalysis\CrmAzureTextAnalysis\HtmlTools.cs,StripHTML,The length of the statement  "		result = System.Text.RegularExpressions.Regex.Replace (result' "(<style>).*(</style>)"' string.Empty' System.Text.RegularExpressions.RegexOptions.IgnoreCase); " is 158.
Long Statement,CrmAzureTextAnalysis,HtmlTools,F:\newReposMay17\lucasalexander_Crm-Sample-Code\CrmAzureTextAnalysis\CrmAzureTextAnalysis\HtmlTools.cs,StripHTML,The length of the statement  "		result = System.Text.RegularExpressions.Regex.Replace (result' @"<( )*td([^>])*>"' "\t"' System.Text.RegularExpressions.RegexOptions.IgnoreCase); " is 145.
Long Statement,CrmAzureTextAnalysis,HtmlTools,F:\newReposMay17\lucasalexander_Crm-Sample-Code\CrmAzureTextAnalysis\CrmAzureTextAnalysis\HtmlTools.cs,StripHTML,The length of the statement  "		result = System.Text.RegularExpressions.Regex.Replace (result' @"<( )*br( )*>"' "\r"' System.Text.RegularExpressions.RegexOptions.IgnoreCase); " is 142.
Long Statement,CrmAzureTextAnalysis,HtmlTools,F:\newReposMay17\lucasalexander_Crm-Sample-Code\CrmAzureTextAnalysis\CrmAzureTextAnalysis\HtmlTools.cs,StripHTML,The length of the statement  "		result = System.Text.RegularExpressions.Regex.Replace (result' @"<( )*li( )*>"' "\r"' System.Text.RegularExpressions.RegexOptions.IgnoreCase); " is 142.
Long Statement,CrmAzureTextAnalysis,HtmlTools,F:\newReposMay17\lucasalexander_Crm-Sample-Code\CrmAzureTextAnalysis\CrmAzureTextAnalysis\HtmlTools.cs,StripHTML,The length of the statement  "		result = System.Text.RegularExpressions.Regex.Replace (result' @"<( )*div([^>])*>"' "\r\r"' System.Text.RegularExpressions.RegexOptions.IgnoreCase); " is 148.
Long Statement,CrmAzureTextAnalysis,HtmlTools,F:\newReposMay17\lucasalexander_Crm-Sample-Code\CrmAzureTextAnalysis\CrmAzureTextAnalysis\HtmlTools.cs,StripHTML,The length of the statement  "		result = System.Text.RegularExpressions.Regex.Replace (result' @"<( )*tr([^>])*>"' "\r\r"' System.Text.RegularExpressions.RegexOptions.IgnoreCase); " is 147.
Long Statement,CrmAzureTextAnalysis,HtmlTools,F:\newReposMay17\lucasalexander_Crm-Sample-Code\CrmAzureTextAnalysis\CrmAzureTextAnalysis\HtmlTools.cs,StripHTML,The length of the statement  "		result = System.Text.RegularExpressions.Regex.Replace (result' @"<( )*p([^>])*>"' "\r\r"' System.Text.RegularExpressions.RegexOptions.IgnoreCase); " is 146.
