Implementation smell,Namespace,Class,File,Method,Description
Long Parameter List,CadEditor,EditHexEditor,D:\research\architectureSmells\repos1\spiiin_CadEditor\PluginHexEditor\EditHexEditor.cs,highlightLine,The method has 5 parameters. Parameters: g' lineNo' firstChar' length' withSep
Long Statement,CadEditor,EditHexEditor,D:\research\architectureSmells\repos1\spiiin_CadEditor\PluginHexEditor\EditHexEditor.cs,highlightLine,The length of the statement  "            g.FillRectangle(highlightBrush' new Rectangle(firstCoord.X + firstCharOfs' firstCoord.Y + yOfs' byteSize.X * length + sepSize.X * (length - 1)' byteSize.Y + (withSep ? sepSize.Y : 0))); " is 185.
Long Statement,CadEditor,EditHexEditor,D:\research\architectureSmells\repos1\spiiin_CadEditor\PluginHexEditor\EditHexEditor.cs,InitializeComponent,The length of the statement  "            System.ComponentModel.ComponentResourceManager resources = new System.ComponentModel.ComponentResourceManager(typeof(EditHexEditor)); " is 133.
Magic Number,CadEditor,EditHexEditor,D:\research\architectureSmells\repos1\spiiin_CadEditor\PluginHexEditor\EditHexEditor.cs,highlightZone,The following statement contains a magic number: int lastLineIndex = (firstByte + byteCount) / 16;
Magic Number,CadEditor,EditHexEditor,D:\research\architectureSmells\repos1\spiiin_CadEditor\PluginHexEditor\EditHexEditor.cs,highlightZone,The following statement contains a magic number: int firstByteIndex = firstByte % 16;
Magic Number,CadEditor,EditHexEditor,D:\research\architectureSmells\repos1\spiiin_CadEditor\PluginHexEditor\EditHexEditor.cs,highlightZone,The following statement contains a magic number: int lastByteIndex = (firstByte + byteCount) % 16;
Magic Number,CadEditor,EditHexEditor,D:\research\architectureSmells\repos1\spiiin_CadEditor\PluginHexEditor\EditHexEditor.cs,highlightZone,The following statement contains a magic number: highlightLine(g' firstLineIndex + screenOffset' firstByteIndex' 16 - firstByteIndex' true);
Magic Number,CadEditor,EditHexEditor,D:\research\architectureSmells\repos1\spiiin_CadEditor\PluginHexEditor\EditHexEditor.cs,highlightZone,The following statement contains a magic number: highlightLine(g' screenOffset + i' 0' 16' true);
Magic Number,CadEditor,EditHexEditor,D:\research\architectureSmells\repos1\spiiin_CadEditor\PluginHexEditor\EditHexEditor.cs,InitializeComponent,The following statement contains a magic number: this.AutoScaleDimensions = new System.Drawing.SizeF(6F' 13F);
Magic Number,CadEditor,EditHexEditor,D:\research\architectureSmells\repos1\spiiin_CadEditor\PluginHexEditor\EditHexEditor.cs,InitializeComponent,The following statement contains a magic number: this.AutoScaleDimensions = new System.Drawing.SizeF(6F' 13F);
Magic Number,CadEditor,EditHexEditor,D:\research\architectureSmells\repos1\spiiin_CadEditor\PluginHexEditor\EditHexEditor.cs,InitializeComponent,The following statement contains a magic number: this.ClientSize = new System.Drawing.Size(627' 261);
Magic Number,CadEditor,EditHexEditor,D:\research\architectureSmells\repos1\spiiin_CadEditor\PluginHexEditor\EditHexEditor.cs,InitializeComponent,The following statement contains a magic number: this.ClientSize = new System.Drawing.Size(627' 261);
