Implementation smell,Namespace,Class,File,Method,Description
Long Statement,SpectralSpring.Sample.Module1,SampleModuleOne,C:\repos\bcostea_spectral-spring\Source\SpectralSpring\SpectralSpring.Sample.Module1\SampleModuleOne.cs,Initialize,The length of the statement  "	InitializeModuleContext ("assembly://SpectralSpring.Sample.Module1/SpectralSpring.Sample.Module1.Config/SampleModuleOne.config"); " is 129.
Magic Number,SpectralSpring.Sample.Module1,SampleModuleOne,C:\repos\bcostea_spectral-spring\Source\SpectralSpring\SpectralSpring.Sample.Module1\SampleModuleOne.cs,Initialize,The following statement contains a magic number: MainMenuManager.AddMenuItem ("general"' 1000' menuItem);  
