Implementation smell,Namespace,Class,File,Method,Description
Long Statement,DevCore.TfsNotificationRelay.Smtp,SmtpNotifier,D:\research\architectureSmells\repos\kria_Tfs2Slack\src\TfsNotificationRelay.Smtp\SmtpNotifier.cs,NotifyAsync,The length of the statement  "                    string.Format("Sending {0} email notification to: {1}."' notification.GetType()' string.Join("' "' message.To.Select(m => m.Address)))); " is 136.
Magic Number,DevCore.TfsNotificationRelay.Smtp,SmtpNotifier,D:\research\architectureSmells\repos\kria_Tfs2Slack\src\TfsNotificationRelay.Smtp\SmtpNotifier.cs,NotifyAsync,The following statement contains a magic number: int port = bot.GetIntSetting("port"' 25);
