Implementation smell,Namespace,Class,File,Method,Description
Long Statement,ENode.EventStorePerfTests,Program,D:\research\architectureSmells\repos1\tangxuehua_enode\src\PerformanceTests\ENode.EventStorePerfTests\Program.cs,BatchAppendAsyncTest,The length of the statement  "                var eventStream = new DomainEventStream(ObjectId.GenerateNewStringId()' aggregateRootId' "SampleAggregateRootTypeName"' DateTime.Now' new IDomainEvent[] { evnt }); " is 163.
Long Statement,ENode.EventStorePerfTests,Program,D:\research\architectureSmells\repos1\tangxuehua_enode\src\PerformanceTests\ENode.EventStorePerfTests\Program.cs,DoBatchAppendAsync,The length of the statement  "            Console.WriteLine("batch append throughput: {0} events/s"' 1000 * context.FinishedCount / context.Watch.ElapsedMilliseconds); " is 125.
Magic Number,ENode.EventStorePerfTests,Program,D:\research\architectureSmells\repos1\tangxuehua_enode\src\PerformanceTests\ENode.EventStorePerfTests\Program.cs,BatchAppendAsyncTest,The following statement contains a magic number: var printSize = count / 10;
Magic Number,ENode.EventStorePerfTests,Program,D:\research\architectureSmells\repos1\tangxuehua_enode\src\PerformanceTests\ENode.EventStorePerfTests\Program.cs,BatchAppendAsyncTest,The following statement contains a magic number: var aggregateRootId = i % 2 == 0 ? aggreagateRootId1 : aggreagateRootId2;
Magic Number,ENode.EventStorePerfTests,Program,D:\research\architectureSmells\repos1\tangxuehua_enode\src\PerformanceTests\ENode.EventStorePerfTests\Program.cs,DoBatchAppendAsync,The following statement contains a magic number: Console.WriteLine("batch append throughput: {0} events/s"' 1000 * context.FinishedCount / context.Watch.ElapsedMilliseconds);
