Implementation smell,Namespace,Class,File,Method,Description
Long Statement,Rest4Net.IronMq,IronMqProvider,C:\repos\acropolium_Rest4Net\src\Rest4Net.IronMq\IronMqProvider.cs,Queues,The length of the statement  "	return BuildWithPath ("").WithParameter ("page"' page.ToString (CultureInfo.InvariantCulture)).Execute ().To<DataImpl<IQueue' QueueImpl>> (JsonPreparer).Data; " is 158.
Long Statement,Rest4Net.IronMq,IronMqProvider,C:\repos\acropolium_Rest4Net\src\Rest4Net.IronMq\IronMqProvider.cs,AddMessages,The length of the statement  "	var r = BuildWithPath ("/" + queueName + "/messages"' RequestType.Post).WithBody (MessagesToJson (messages)).Execute ().To<InfoMsgImpl> (JsonPreparer); " is 151.
Long Statement,Rest4Net.IronMq,IronMqProvider,C:\repos\acropolium_Rest4Net\src\Rest4Net.IronMq\IronMqProvider.cs,GetMessages,The length of the statement  "	foreach (var message in BuildWithPath ("/" + queueName + "/messages").WithParameter ("n"' countToTake).Execute ().To<MessagesImpl> (JsonPreparer).messages) " is 155.
Long Statement,Rest4Net.IronMq,Message,C:\repos\acropolium_Rest4Net\src\Rest4Net.IronMq\Message.cs,ToJson,The length of the statement  "	sb.Append ('"').Append ("body").Append ('"').Append (':').Append ('"').Append (PrepareJson (body)).Append ('"').Append ('''); " is 125.
