Implementation smell,Namespace,Class,File,Method,Description
Long Parameter List,Rest4Net.IronCache,IronCacheProvider,C:\repos\acropolium_Rest4Net\src\Rest4Net.IronCache\IronCacheProvider.cs,Put,The method has 6 parameters.
Long Parameter List,Rest4Net.IronCache,IronCacheProvider,C:\repos\acropolium_Rest4Net\src\Rest4Net.IronCache\IronCacheProvider.cs,Put,The method has 6 parameters.
Long Statement,Rest4Net.IronCache,IronCacheProvider,C:\repos\acropolium_Rest4Net\src\Rest4Net.IronCache\IronCacheProvider.cs,Caches,The length of the statement  "	return BuildWithPath ("").WithParameter ("page"' page.ToString (CultureInfo.InvariantCulture)).Execute ().To<DataImpl<ICache' CacheImpl>> (JsonPreparer).Data; " is 158.
Magic Number,Rest4Net.IronCache,IronCacheProvider,C:\repos\acropolium_Rest4Net\src\Rest4Net.IronCache\IronCacheProvider.cs,Put,The following statement contains a magic number: if (expiresIn != 604800)  	json.Add ("expires_in"' expiresIn);  
Magic Number,Rest4Net.IronCache,IronCacheProvider,C:\repos\acropolium_Rest4Net\src\Rest4Net.IronCache\IronCacheProvider.cs,Put,The following statement contains a magic number: if (expiresIn != 604800)  	json.Add ("expires_in"' expiresIn);  
