Architecture smell,Project,Namespace,Cause
Cyclic Dependency,Passenger,Passenger.CommandHandlers,The tool detected the smell in this component because this component participates in a cyclic dependency. The participating components in the cycle are: Passenger.CommandHandlers' Passenger.ModelInterception
Cyclic Dependency,Passenger,Passenger.CommandHandlers,The tool detected the smell in this component because this component participates in a cyclic dependency. The participating components in the cycle are: Passenger.CommandHandlers' Passenger.ModelInterception' Passenger
Cyclic Dependency,Passenger,Passenger,The tool detected the smell in this component because this component participates in a cyclic dependency. The participating components in the cycle are: Passenger' Passenger.PageObjectInspections.UrlDiscovery
Cyclic Dependency,Passenger,Passenger,The tool detected the smell in this component because this component participates in a cyclic dependency. The participating components in the cycle are: Passenger' Passenger.ModelInterception
Cyclic Dependency,Passenger,Passenger,The tool detected the smell in this component because this component participates in a cyclic dependency. The participating components in the cycle are: Passenger' Passenger.PageObjectInspections.UrlDiscovery' Passenger.ModelInterception
Unstable Dependency,Passenger,Passenger,The tool detected the smell in this component because this component depends on other components that are less stable than itself. This component depends on following less stable component(s): Passenger.PageObjectInspections.UrlVerification' Passenger.ModelInterception
Unstable Dependency,Passenger,Passenger.ModelInterception,The tool detected the smell in this component because this component depends on other components that are less stable than itself. This component depends on following less stable component(s): Passenger.CommandHandlers
Unstable Dependency,Passenger,Passenger.PageObjectInspections.UrlDiscovery,The tool detected the smell in this component because this component depends on other components that are less stable than itself. This component depends on following less stable component(s): Passenger
Ambiguous Interface,Passenger,Passenger.Attributes,The tool detected the smell in this component because the component provides only a single' general entry-point via the following class: NavigationAttributeBase
Feature Concentration,Passenger,Passenger.Attributes,The tool detected the smell in this component because the component realizes more than one architectural concern/feature. Independent sets of related classes within this component are: [IPassengerElement]' [NavigationAttributeBase' XPathAttribute' TagNameAttribute' ClassNameAttribute' NameAttribute' IdAttribute' CssSelectorAttribute' LinkTextAttribute' PartialLinkTextAttribute]' [PageComponentAttribute]' [UriAttribute]. LCC (Lack of Component Cohesion) = 0.33
Feature Concentration,Passenger,Passenger,The tool detected the smell in this component because the component realizes more than one architectural concern/feature. Independent sets of related classes within this component are: [Arrives' PageTransitionObject' PassengerConfiguration' PageObject' UriExtensions]' [ReflectionExtensions]. LCC (Lack of Component Cohesion) = 0.33
Feature Concentration,Passenger,Passenger.ModelInterception,The tool detected the smell in this component because the component realizes more than one architectural concern/feature. Independent sets of related classes within this component are: [PropertySelectionContext' ReturnValuePostProcessor' ProxyGenerator' PageObjectProxy' InvocationExtensions]' [NavigationObjectExtensions]. LCC (Lack of Component Cohesion) = 0.33
