Architecture smell,Project,Namespace,Cause,Responsible Classes
Feature Concentration,Collaboration,SaaSOvation.Collaboration.Application.Forums.Data,The tool detected the smell in this component because the component realizes more than one architectural concern/feature. Independent sets of related classes within this component are: [DiscussionData]' [DiscussionPostsData]' [ForumData]' [ForumDiscussionsData]' [IDiscussionCommandResult]' [IForumCommandResult]' [PostData]. LCC (Lack of Component Cohesion) = 1,SaaSOvation.Collaboration.Application.Forums.Data.DiscussionPostsData' SaaSOvation.Collaboration.Application.Forums.Data.ForumData' SaaSOvation.Collaboration.Application.Forums.Data.ForumDiscussionsData' SaaSOvation.Collaboration.Application.Forums.Data.IDiscussionCommandResult' SaaSOvation.Collaboration.Application.Forums.Data.IForumCommandResult' SaaSOvation.Collaboration.Application.Forums.Data.PostData
Feature Concentration,Collaboration,SaaSOvation.Collaboration.Application.Forums,The tool detected the smell in this component because the component realizes more than one architectural concern/feature. Independent sets of related classes within this component are: [DiscussionApplicationService]' [DiscussionQueryService' ForumApplicationService' ForumQueryService]' [PostApplicationService]' [PostQueryService]. LCC (Lack of Component Cohesion) = 0.67,SaaSOvation.Collaboration.Application.Forums.DiscussionApplicationService' SaaSOvation.Collaboration.Application.Forums.PostApplicationService' SaaSOvation.Collaboration.Application.Forums.PostQueryService
Feature Concentration,Collaboration,SaaSOvation.Collaboration.Domain.Model.Collaborators,The tool detected the smell in this component because the component realizes more than one architectural concern/feature. Independent sets of related classes within this component are: [Author' Collaborator' Creator' Moderator' Owner' Participant]' [ICollaboratorService]. LCC (Lack of Component Cohesion) = 0.29,SaaSOvation.Collaboration.Domain.Model.Collaborators.ICollaboratorService
Scattered Functionality,Collaboration,SaaSOvation.Collaboration.Application.Calendars,The tool detected the smell in this component because a set of two or more components realizes the same high-level architectural concern. Following components realize the same concern: SaaSOvation.Collaboration.Domain.Model.Collaborators' SaaSOvation.Collaboration.Domain.Model.Calendars' SaaSOvation.Collaboration.Application.Calendars.Data,SaaSOvation.Collaboration.Domain.Model.Collaborators.ICollaboratorService' SaaSOvation.Collaboration.Domain.Model.Calendars.ICalendarRepository' SaaSOvation.Collaboration.Application.Calendars.Data.ICalendarCommandResult' SaaSOvation.Collaboration.Domain.Model.Calendars.ICalendarEntryRepository
Scattered Functionality,Collaboration,SaaSOvation.Collaboration.Application.Forums,The tool detected the smell in this component because a set of two or more components realizes the same high-level architectural concern. Following components realize the same concern: SaaSOvation.Collaboration.Domain.Model.Forums' SaaSOvation.Collaboration.Domain.Model.Collaborators' SaaSOvation.Collaboration.Application.Forums.Data,SaaSOvation.Collaboration.Domain.Model.Forums.IDiscussionRepository' SaaSOvation.Collaboration.Domain.Model.Collaborators.ICollaboratorService' SaaSOvation.Collaboration.Domain.Model.Forums.Discussion' SaaSOvation.Collaboration.Domain.Model.Forums.IPostRepository' SaaSOvation.Collaboration.Application.Forums.Data.IDiscussionCommandResult' SaaSOvation.Collaboration.Domain.Model.Forums.IForumRepository' SaaSOvation.Collaboration.Domain.Model.Forums.Forum' SaaSOvation.Collaboration.Application.Forums.Data.IForumCommandResult
Scattered Functionality,Collaboration,SaaSOvation.Collaboration.Application.Forums,The tool detected the smell in this component because a set of two or more components realizes the same high-level architectural concern. Following components realize the same concern: SaaSOvation.Collaboration.Domain.Model.Forums' SaaSOvation.Collaboration.Domain.Model.Collaborators,SaaSOvation.Collaboration.Domain.Model.Forums.IForumRepository' SaaSOvation.Collaboration.Domain.Model.Collaborators.ICollaboratorService' SaaSOvation.Collaboration.Domain.Model.Forums.Forum' SaaSOvation.Collaboration.Domain.Model.Forums.IPostRepository
