Architecture smell,Project,Namespace,Cause
Cyclic Dependency,Lucene.Net,Lucene.Net.Codecs,The tool detected the smell in this component because this component participates in a cyclic dependency. The participating components in the cycle are: Lucene.Net.Codecs' Lucene.Net.Index
Cyclic Dependency,Lucene.Net,Lucene.Net.Index,The tool detected the smell in this component because this component participates in a cyclic dependency. The participating components in the cycle are: Lucene.Net.Index' Lucene.Net.Util.Automaton
Cyclic Dependency,Lucene.Net,Lucene.Net.Index,The tool detected the smell in this component because this component participates in a cyclic dependency. The participating components in the cycle are: Lucene.Net.Index' Lucene.Net.Search
Cyclic Dependency,Lucene.Net,Lucene.Net.Index,The tool detected the smell in this component because this component participates in a cyclic dependency. The participating components in the cycle are: Lucene.Net.Index' Lucene.Net.Codecs.Lucene3x
Cyclic Dependency,Lucene.Net,Lucene.Net.Index,The tool detected the smell in this component because this component participates in a cyclic dependency. The participating components in the cycle are: Lucene.Net.Index' Lucene.Net.Search.Similarities
Cyclic Dependency,Lucene.Net,Lucene.Net.Store,The tool detected the smell in this component because this component participates in a cyclic dependency. The participating components in the cycle are: Lucene.Net.Store' Lucene.Net.Util
Cyclic Dependency,Lucene.Net,Lucene.Net.Support,The tool detected the smell in this component because this component participates in a cyclic dependency. The participating components in the cycle are: Lucene.Net.Support' Lucene.Net.Util
Unstable Dependency,Lucene.Net,Lucene.Net.Analysis,The tool detected the smell in this component because this component depends on other components that are less stable than itself. This component depends on following less stable component(s): Lucene.Net.Util' Lucene.Net.Util.Automaton' Lucene.Net.Support
Unstable Dependency,Lucene.Net,Lucene.Net.Analysis.TokenAttributes,The tool detected the smell in this component because this component depends on other components that are less stable than itself. This component depends on following less stable component(s): Lucene.Net.Support' Lucene.Net.Util
Unstable Dependency,Lucene.Net,Lucene.Net.Codecs,The tool detected the smell in this component because this component depends on other components that are less stable than itself. This component depends on following less stable component(s): Lucene.Net.Util.Fst
Unstable Dependency,Lucene.Net,Lucene.Net.Codecs.Lucene46,The tool detected the smell in this component because this component depends on other components that are less stable than itself. This component depends on following less stable component(s): Lucene.Net.Codecs.Lucene41' Lucene.Net.Codecs.Lucene42
Unstable Dependency,Lucene.Net,Lucene.Net.Documents,The tool detected the smell in this component because this component depends on other components that are less stable than itself. This component depends on following less stable component(s): Lucene.Net.Index' Lucene.Net.Codecs.Compressing
Unstable Dependency,Lucene.Net,Lucene.Net.Index,The tool detected the smell in this component because this component depends on other components that are less stable than itself. This component depends on following less stable component(s): Lucene.Net.Util.Automaton' Lucene.Net.Util.Packed' Lucene.Net.Codecs' Lucene.Net.Support.IO' Lucene.Net.Codecs.Lucene3x' Lucene.Net.Search.Similarities' Lucene.Net.Util.Fst
Unstable Dependency,Lucene.Net,Lucene.Net.Search,The tool detected the smell in this component because this component depends on other components that are less stable than itself. This component depends on following less stable component(s): Lucene.Net.Util.Automaton' Lucene.Net.Index' Lucene.Net.Search.Similarities' Lucene.Net.Support.IO' Lucene.Net.Util.Packed
Unstable Dependency,Lucene.Net,Lucene.Net.Store,The tool detected the smell in this component because this component depends on other components that are less stable than itself. This component depends on following less stable component(s): Lucene.Net.Support.IO' Lucene.Net.Codecs' Lucene.Net.Index
Unstable Dependency,Lucene.Net,Lucene.Net.Support,The tool detected the smell in this component because this component depends on other components that are less stable than itself. This component depends on following less stable component(s): Lucene.Net.Index' Lucene.Net.Search.Similarities' Lucene.Net.Codecs' Lucene.Net.Util.Fst' Lucene.Net.Analysis.Hunspell
Unstable Dependency,Lucene.Net,Lucene.Net,The tool detected the smell in this component because this component depends on other components that are less stable than itself. This component depends on following less stable component(s): Lucene.Net.Support
Unstable Dependency,Lucene.Net,Lucene.Net.Util,The tool detected the smell in this component because this component depends on other components that are less stable than itself. This component depends on following less stable component(s): Lucene.Net.Index' Lucene.Net.Support' Lucene.Net.Util.Automaton' Lucene.Net.Store' Lucene.Net.Search' Lucene.Net.Support.IO' Lucene.Net.Util.Packed
Unstable Dependency,Lucene.Net,Lucene.Net.Util.Fst,The tool detected the smell in this component because this component depends on other components that are less stable than itself. This component depends on following less stable component(s): Lucene.Net.Util.Packed
God Component,Lucene.Net,Lucene.Net.Codecs,The tool detected the smell in this component because the component contains high number of classes. Number of classes in the component are: 48
God Component,Lucene.Net,Lucene.Net.Index,The tool detected the smell in this component because the component contains high number of classes. Number of classes in the component are: 160
God Component,Lucene.Net,Lucene.Net.Search,The tool detected the smell in this component because the component contains high number of classes. Number of classes in the component are: 110
God Component,Lucene.Net,Lucene.Net.Search.Similarities,The tool detected the smell in this component because the component contains high number of classes. Number of classes in the component are: 35
God Component,Lucene.Net,Lucene.Net.Store,The tool detected the smell in this component because the component contains high number of classes. Number of classes in the component are: 52
God Component,Lucene.Net,Lucene.Net.Support,The tool detected the smell in this component because the component contains high number of classes. Number of classes in the component are: 64
God Component,Lucene.Net,Lucene.Net.Support.C5,The tool detected the smell in this component because the component contains high number of classes. Number of classes in the component are: 70
God Component,Lucene.Net,Lucene.Net.Util,The tool detected the smell in this component because the component contains high number of classes. Number of classes in the component are: 81
God Component,Lucene.Net,Lucene.Net.Util.Packed,The tool detected the smell in this component because the component contains high number of classes. Number of classes in the component are: 59
Feature Concentration,Lucene.Net,Lucene.Net.Analysis.TokenAttributes,The tool detected the smell in this component because the component realizes more than one architectural concern/feature. Independent sets of related classes within this component are: [ICharTermAttribute' CharTermAttribute' ITermToBytesRefAttribute]' [FlagsAttribute' IFlagsAttribute]' [IKeywordAttribute' KeywordAttribute]' [IOffsetAttribute' OffsetAttribute]' [IPayloadAttribute' PayloadAttribute]' [IPositionIncrementAttribute' PositionIncrementAttribute]' [IPositionLengthAttribute' PositionLengthAttribute]' [ITypeAttribute' TypeAttribute]. LCC (Lack of Component Cohesion) = 0.47
Feature Concentration,Lucene.Net,Lucene.Net.Codecs,The tool detected the smell in this component because the component realizes more than one architectural concern/feature. Independent sets of related classes within this component are: [BlockTermState' PostingsReaderBase' PostingsWriterBase' BlockTreeTermsReader' BlockTreeTermsWriter' CodecUtil' FieldsConsumer' FieldsProducer' TermsConsumer' TermStats' MappingMultiDocsAndPositionsEnum' MappingMultiDocsEnum' PostingsConsumer]' [Codec' DocValuesFormat' FieldInfosFormat' FieldInfosReader' FieldInfosWriter' FilterCodec' LiveDocsFormat' NormsFormat' PostingsFormat' SegmentInfoFormat' SegmentInfoReader' SegmentInfoWriter' StoredFieldsFormat' TermVectorsFormat' DefaultDocValuesFormatFactory' DefaultPostingsFormatFactory' ICodecFactory' IDocValuesFormatFactory' IPostingsFormatFactory' DefaultCodecFactory]' [DocValuesConsumer]' [DocValuesProducer]' [MultiLevelSkipListReader]' [MultiLevelSkipListWriter]' [PostingsBaseFormat]' [StoredFieldsReader]' [StoredFieldsWriter]' [TermVectorsReader]' [TermVectorsWriter]' [CodecNameAttribute]' [DocValuesFormatNameAttribute]' [ExcludeCodecFromScanAttribute]' [ExcludeDocValuesFormatFromScanAttribute]' [ExcludePostingsFormatFromScanAttribute]' [PostingsFormatNameAttribute]. LCC (Lack of Component Cohesion) = 0.35
Feature Concentration,Lucene.Net,Lucene.Net.Codecs.Lucene41,The tool detected the smell in this component because the component realizes more than one architectural concern/feature. Independent sets of related classes within this component are: [ForUtil' Lucene41PostingsFormat' Lucene41PostingsReader' Lucene41PostingsWriter' Lucene41SkipWriter' Lucene41PostingsBaseFormat]' [Lucene41Codec]' [Lucene41SkipReader]' [Lucene41StoredFieldsFormat]. LCC (Lack of Component Cohesion) = 0.44
Feature Concentration,Lucene.Net,Lucene.Net.Codecs.Lucene42,The tool detected the smell in this component because the component realizes more than one architectural concern/feature. Independent sets of related classes within this component are: [Lucene42Codec' Lucene42FieldInfosFormat' Lucene42FieldInfosReader' Lucene42TermVectorsFormat]' [Lucene42DocValuesFormat' Lucene42DocValuesProducer' Lucene42NormsConsumer' Lucene42NormsFormat]. LCC (Lack of Component Cohesion) = 0.25
Feature Concentration,Lucene.Net,Lucene.Net.Search.Payloads,The tool detected the smell in this component because the component realizes more than one architectural concern/feature. Independent sets of related classes within this component are: [AveragePayloadFunction' PayloadFunction' PayloadNearQuery' PayloadTermQuery' MaxPayloadFunction' MinPayloadFunction]' [PayloadSpanUtil]. LCC (Lack of Component Cohesion) = 0.29
Feature Concentration,Lucene.Net,Lucene.Net.Support,The tool detected the smell in this component because the component realizes more than one architectural concern/feature. Independent sets of related classes within this component are: [AssemblyExtensions]' [AtomicBoolean]' [AtomicInt32]' [AtomicInt64]' [AtomicObject]' [AtomicReferenceArray]' [AttributeItem]' [BitArrayExtensions]' [BundleResourceManagerFactory' IResourceManagerFactory]' [Character' ICharSequence' StringBuilderExtensions' StringCharSequenceWrapper' StringExtensions]' [Arrays' PriorityQueue]' [ConcurrentHashMapWrapper]' [ConcurrentHashSet]' [CultureContext]' [Equatable' EquatableSet' EquatableList]' [ExceptionExtensions]' [ExceptionToClassNameConventionAttribute]' [ExceptionToNullableEnumConvention]' [ICallable]' [RectangularArrays]' [IdentityComparer]' [IdentityHashMap' HashMap' WeakDictionary' LinkedHashMap]' [IdentityHashSet]' [IdentityWeakReference]' [DictionaryExtensions]' [ExceptionToNetNumericConventionAttribute]' [IndexWriterConfigExtensions]' [ListExtensions' SubList]' [LurchTableOrder' LurchTable' HashUtilities]' [LurchTableCorruptionException]' [ICreateValue' ICreateOrUpdateValue' IUpdateValue]' [IRemoveValue]' [MathExtension]' [NumberFormat]' [SetExtensions]' [SignedZeroComparer]' [StringTokenizer]' [Time]' [TreeDictionary]' [TreeSet]' [CRC32' IChecksum]' [GeneralKeyedCollection]' [Number]' [OS]' [WritableArrayAttribute]' [SimpleStringInterner' StringInterner]. LCC (Lack of Component Cohesion) = 0.72
Feature Concentration,Lucene.Net,Lucene.Net.Support.IO,The tool detected the smell in this component because the component realizes more than one architectural concern/feature. Independent sets of related classes within this component are: [ByteArrayOutputStream]' [BinaryReaderDataInput]' [BinaryWriterDataOutput]' [DataInputStream' IDataInput]' [DataOutputStream' IDataOutput]' [FileStreamExtensions' ByteBuffer' ByteOrder' Endianness' HeapByteBuffer' Int64ArrayBuffer' Int64Buffer' Int64ToByteBufferAdapter' ReadOnlyHeapByteBuffer' ReadWriteHeapByteBuffer' ReadWriteInt64ArrayBuffer' MemoryMappedFileByteBuffer' Buffer' ReadOnlyBufferException]' [BufferUnderflowException]' [BufferOverflowException]' [InvalidMarkException]' [SafeTextWriterWrapper]' [StreamUtils]' [FileSupport]. LCC (Lack of Component Cohesion) = 0.44
Feature Concentration,Lucene.Net,Lucene.Net.Support.C5,The tool detected the smell in this component because the component realizes more than one architectural concern/feature. Independent sets of related classes within this component are: [CollectionValueBase' DictionaryBase' SortedDictionaryBase' CollectionBase' DirectedCollectionBase' HashDictionary' HashSet' EventBlock' ProxyEventBlock' KeyValuePair' EqualityComparer' SequencedCollectionEqualityComparer' UnsequencedCollectionEqualityComparer' EnumerableBase' DirectedCollectionValueBase' MappedCollectionValue' MultiplicityOne' Debug' Showing' Logger' IDictionary' ISortedDictionary' ICollection' IDirectedCollectionValue' ICollectionValue' IShowable' ISorted' ISequenced' IIndexed' IReadOnlyList' IReadOnlyCollection' IStack' IQueue' IList' Speed' EnumerationDirection' MemoryType' EventTypeEnum' SequencedBase' CircularQueue' KeyValuePairEqualityComparer' MemorySafeEnumerator' MappedDirectedEnumerable' IDirectedEnumerable' MappedDirectedCollectionValue' IIndexedSorted' IPersistentSorted' IExtensible' IPriorityQueue' IPriorityQueueHandle]' [ItemCountEventArgs]' [ItemAtEventArgs]' [ClearedEventArgs' ClearedRangeEventArgs]' [KeyValuePairComparer]' [ComparerZeroHashCodeEqualityComparer]' [InternalException]' [ReadOnlyCollectionException]' [FixedSizeCollectionException]' [UnlistenableEventException]' [ConcurrentEnumerationException]' [MultipleEnumerationException]' [CollectionModifiedException]' [ViewDisposedException]' [NoSuchItemException]' [NotAViewException]' [DuplicateNotAllowedException]' [InvalidPriorityQueueHandleException]' [NotComparableException]' [IncompatibleViewException]. LCC (Lack of Component Cohesion) = 0.29
Feature Concentration,Lucene.Net,Lucene.Net.Support.Threading,The tool detected the smell in this component because the component realizes more than one architectural concern/feature. Independent sets of related classes within this component are: [ICompletionService' TaskSchedulerCompletionService]' [LimitedConcurrencyLevelTaskScheduler]' [ReaderWriterLockSlimExtensions]' [ReentrantLock]' [DisposableThreadLocalProfiler]' [IThreadRunnable' ThreadClass]' [ThreadLock]. LCC (Lack of Component Cohesion) = 0.78
Feature Concentration,Lucene.Net,Lucene.Net.Util,The tool detected the smell in this component because the component realizes more than one architectural concern/feature. Independent sets of related classes within this component are: [ExcludeServiceAttribute' NamedServiceFactory' ServiceNameAttribute]' [IServiceListable]' [IAccountable]' [ArrayInPlaceMergeSorter' ArrayUtil' ByteBlockPool' BytesRef' Utf8SortedAsUnicodeComparer' Utf8SortedAsUtf16Comparer' BytesRefArray' BytesRefHash' IBytesRefIterator' BytesRefIterator' CharsRef' CollectionUtil' Constants' Counter' FixedBitSet' GrowableByteArrayDataOutput' InPlaceMergeSorter' Int32sRef' Int64BitSet' Int64sRef' NumericUtils' OfflineSorter' OpenBitSet' OpenBitSetDISI' OpenBitSetIterator' PagedBytes' PriorityQueue' QueryBuilder' RamUsageEstimator' RecyclingByteBlockAllocator' RecyclingInt32BlockAllocator' RollingBuffer' Sorter' StringHelper' TimSorter' UnicodeUtil' WAH8DocIdSet' ArrayIntroSorter' IntroSorter' ArrayTimSorter' IBits' Bits' DocIdBitSet' IMutableBits' BitUtil' IOUtils' PForDeltaDocIdSet]' [IAttribute' Attribute' AttributeSource' IAttributeReflector' WeakIdentityMap]' [BroadWord]' [DisposableThreadLocal]' [CommandLineUtil]' [DoubleBarrelLRUCache]' [FieldCacheSanityChecker' MapOfSets]' [FilterIterator]' [IndexableBinaryStringTools]' [InfoStream' PrintStreamInfoStream]' [Int32BlockPool]' [Int64Values]' [MathUtil]' [MergedIterator]' [RefCount]' [SentinelInt32Set]' [SetOnce]' [AlreadySetException]' [SloppyMath]' [SmallSingle]' [SPIClassIterator]' [ToStringUtils]' [LuceneVersion' LuceneVersionExtensions]. LCC (Lack of Component Cohesion) = 0.32
Feature Concentration,Lucene.Net,Lucene.Net.Util.Automaton,The tool detected the smell in this component because the component realizes more than one architectural concern/feature. Independent sets of related classes within this component are: [Automaton' BasicAutomata' BasicOperations' ByteRunAutomaton' CharacterRunAutomaton' CompiledAutomaton' DaciukMihovAutomatonBuilder' LevenshteinAutomata' MinimizationOperations' RegExp' RunAutomaton' SortedInt32Set' SpecialOperations' State' StatePair' Transition' UTF32ToUTF8' IAutomatonProvider' RegExpSyntax]' [Lev1ParametricDescription]' [Lev1TParametricDescription]' [Lev2ParametricDescription]' [Lev2TParametricDescription]. LCC (Lack of Component Cohesion) = 0.22
Scattered Functionality,Lucene.Net,Lucene.Net.Codecs,The tool detected the smell in this component because a set of two or more components realizes the same high-level architectural concern. Following components realize the same concern: Lucene.Net.Store' Lucene.Net.Index
Scattered Functionality,Lucene.Net,Lucene.Net.Codecs.Compressing,The tool detected the smell in this component because a set of two or more components realizes the same high-level architectural concern. Following components realize the same concern: Lucene.Net.Index' Lucene.Net.Store
Scattered Functionality,Lucene.Net,Lucene.Net.Codecs.Compressing,The tool detected the smell in this component because a set of two or more components realizes the same high-level architectural concern. Following components realize the same concern: Lucene.Net.Store' Lucene.Net.Support
