Implementation smell,Namespace,Class,File,Method,Description
Long Statement,Client,Program,C:\repos\CasparCG_Tools\csharp\OSC\trunk\Source Code\Samples\OscDemo\Client\Program.cs,sOscServer_BundleReceived,The length of the statement  "            Console.WriteLine(string.Format("\nBundle Received [{0}]: {1} Message Count: {2}"' e.Bundle.SourceEndPoint.Address' e.Bundle.Address' e.Bundle.Messages.Length)); " is 161.
Magic Number,Client,Program,C:\repos\CasparCG_Tools\csharp\OSC\trunk\Source Code\Samples\OscDemo\Client\Program.cs,Main,The following statement contains a magic number: sOscServer = new OscServer(TransportType.Udp' IPAddress.Parse("127.0.0.1")' 6250);
