Implementation smell,Namespace,Class,File,Method,Description
Long Statement,XCore,IncludeXmlTests,D:\research\architectureSmells\repos1\sillsdev_FieldWorks\Src\XCore\xCoreTests\IncludeXmlTests.cs,ExplicitThisDocInclusionBase,The length of the statement  "			doc.LoadXml(@"<blah><ack><include path='$this' query='blah/drinks'/></ack><drinks><soda><name txt='pepsi'/><name txt='coke'/></soda></drinks></blah>"); " is 151.
Long Statement,XCore,IncludeXmlTests,D:\research\architectureSmells\repos1\sillsdev_FieldWorks\Src\XCore\xCoreTests\IncludeXmlTests.cs,TwoLevelThisDocInclusion,The length of the statement  "			doc.LoadXml(@"<blah><ack><includeBase path='$this'/><include query='blah/drinks'/></ack><drinks><soda><name txt='pepsi'/><name txt='coke'/></soda></drinks></blah>"); " is 165.
Long Statement,XCore,InventoryTests,D:\research\architectureSmells\repos1\sillsdev_FieldWorks\Src\XCore\xCoreTests\InventoryTests.cs,GetUnified_SkipsShouldNotMerge,The length of the statement  "				new string[] { "MoAffixProcess"' "detail"' null' "TestGetUnify3" }); // TestGetUnify3 data has shouldNotMerge="true" on its child. " is 130.
Magic Number,XCore,IncludeXmlTests,D:\research\architectureSmells\repos1\sillsdev_FieldWorks\Src\XCore\xCoreTests\IncludeXmlTests.cs,ReplaceNode,The following statement contains a magic number: Assert.AreEqual(2' doc.SelectNodes("blah/name").Count);
Magic Number,XCore,IncludeXmlTests,D:\research\architectureSmells\repos1\sillsdev_FieldWorks\Src\XCore\xCoreTests\IncludeXmlTests.cs,ProcessDomExplicit,The following statement contains a magic number: Assert.AreEqual(2' doc.SelectNodes("blah/name").Count);
Magic Number,XCore,IncludeXmlTests,D:\research\architectureSmells\repos1\sillsdev_FieldWorks\Src\XCore\xCoreTests\IncludeXmlTests.cs,ExplicitThisDocInclusionBase,The following statement contains a magic number: Assert.AreEqual(2' doc.SelectNodes("blah/drinks/soda/name").Count);
Magic Number,XCore,IncludeXmlTests,D:\research\architectureSmells\repos1\sillsdev_FieldWorks\Src\XCore\xCoreTests\IncludeXmlTests.cs,TwoLevelThisDocInclusion,The following statement contains a magic number: Assert.AreEqual(2' doc.SelectNodes("blah/drinks/soda/name").Count);
Magic Number,XCore,IncludeXmlTests,D:\research\architectureSmells\repos1\sillsdev_FieldWorks\Src\XCore\xCoreTests\IncludeXmlTests.cs,InclusionOverrides,The following statement contains a magic number: Assert.AreEqual(3' doc.SelectNodes("blah/meats/name").Count);
Magic Number,XCore,IncludeXmlTests,D:\research\architectureSmells\repos1\sillsdev_FieldWorks\Src\XCore\xCoreTests\IncludeXmlTests.cs,InclusionOverrides,The following statement contains a magic number: Assert.AreEqual(3' doc.SelectSingleNode("blah/meats/name[@txt='pork']").Attributes.Count);
Magic Number,XCore,IncludeXmlTests,D:\research\architectureSmells\repos1\sillsdev_FieldWorks\Src\XCore\xCoreTests\IncludeXmlTests.cs,InclusionOverrides,The following statement contains a magic number: Assert.AreEqual(2' doc.SelectSingleNode("blah/meats/name[@txt='chicken']").Attributes.Count);
Magic Number,XCore,IncludeXmlTests,D:\research\architectureSmells\repos1\sillsdev_FieldWorks\Src\XCore\xCoreTests\IncludeXmlTests.cs,InclusionOverrides,The following statement contains a magic number: Assert.AreEqual(2' doc.SelectSingleNode("blah/meats/name[@txt='chicken']").ChildNodes[0].ChildNodes.Count);
