Implementation smell,Namespace,Class,File,Method,Description
Long Statement,Microsoft.Extensions.DependencyInjection,AuthenticationCoreServiceCollectionExtensions,D:\research\architectureSmells\repos\aspnet_HttpAbstractions\src\Microsoft.AspNetCore.Authentication.Core\AuthenticationCoreServiceCollectionExtensions.cs,AddAuthenticationCore,The length of the statement  "            services.TryAddSingleton<IClaimsTransformation' NoopClaimsTransformation>(); // Can be replaced with scoped ones that use DbContext " is 131.
Long Statement,Microsoft.AspNetCore.Authentication,AuthenticationService,D:\research\architectureSmells\repos\aspnet_HttpAbstractions\src\Microsoft.AspNetCore.Authentication.Core\AuthenticationService.cs,AuthenticateAsync,The length of the statement  "                    throw new InvalidOperationException($"No authenticationScheme was specified' and there was no DefaultAuthenticateScheme found."); " is 129.
Long Statement,Microsoft.AspNetCore.Authentication,AuthenticationService,D:\research\architectureSmells\repos\aspnet_HttpAbstractions\src\Microsoft.AspNetCore.Authentication.Core\AuthenticationService.cs,AuthenticateAsync,The length of the statement  "                return AuthenticateResult.Success(new AuthenticationTicket(transformed' result.Properties' result.Ticket.AuthenticationScheme)); " is 128.
Long Statement,Microsoft.AspNetCore.Authentication,AuthenticationService,D:\research\architectureSmells\repos\aspnet_HttpAbstractions\src\Microsoft.AspNetCore.Authentication.Core\AuthenticationService.cs,ChallengeAsync,The length of the statement  "                    throw new InvalidOperationException($"No authenticationScheme was specified' and there was no DefaultChallengeScheme found."); " is 126.
Long Statement,Microsoft.AspNetCore.Authentication,AuthenticationService,D:\research\architectureSmells\repos\aspnet_HttpAbstractions\src\Microsoft.AspNetCore.Authentication.Core\AuthenticationService.cs,ForbidAsync,The length of the statement  "                    throw new InvalidOperationException($"No authenticationScheme was specified' and there was no DefaultForbidScheme found."); " is 123.
Long Statement,Microsoft.AspNetCore.Authentication,AuthenticationService,D:\research\architectureSmells\repos\aspnet_HttpAbstractions\src\Microsoft.AspNetCore.Authentication.Core\AuthenticationService.cs,SignInAsync,The length of the statement  "                    throw new InvalidOperationException($"No authenticationScheme was specified' and there was no DefaultSignInScheme found."); " is 123.
Long Statement,Microsoft.AspNetCore.Authentication,AuthenticationService,D:\research\architectureSmells\repos\aspnet_HttpAbstractions\src\Microsoft.AspNetCore.Authentication.Core\AuthenticationService.cs,SignOutAsync,The length of the statement  "                    throw new InvalidOperationException($"No authenticationScheme was specified' and there was no DefaultSignOutScheme found."); " is 124.
Long Statement,Microsoft.AspNetCore.Authentication,AuthenticationService,D:\research\architectureSmells\repos\aspnet_HttpAbstractions\src\Microsoft.AspNetCore.Authentication.Core\AuthenticationService.cs,CreateMissingSignInHandlerException,The length of the statement  "                $"No sign-in authentication handler is registered for the scheme '{scheme}'. The registered sign-in schemes are: {schemes}." + footer); " is 135.
Long Statement,Microsoft.AspNetCore.Authentication,AuthenticationService,D:\research\architectureSmells\repos\aspnet_HttpAbstractions\src\Microsoft.AspNetCore.Authentication.Core\AuthenticationService.cs,CreateMismatchedSignInHandlerException,The length of the statement  "            var mismatchError = $"The authentication handler registered for scheme '{scheme}' is '{handler.GetType().Name}' which cannot be used for SignInAsync. "; " is 152.
Long Statement,Microsoft.AspNetCore.Authentication,AuthenticationService,D:\research\architectureSmells\repos\aspnet_HttpAbstractions\src\Microsoft.AspNetCore.Authentication.Core\AuthenticationService.cs,CreateMissingSignOutHandlerException,The length of the statement  "                $"No sign-out authentication handler is registered for the scheme '{scheme}'. The registered sign-out schemes are: {schemes}." + footer); " is 137.
Long Statement,Microsoft.AspNetCore.Authentication,AuthenticationService,D:\research\architectureSmells\repos\aspnet_HttpAbstractions\src\Microsoft.AspNetCore.Authentication.Core\AuthenticationService.cs,CreateMismatchedSignOutHandlerException,The length of the statement  "            var mismatchError = $"The authentication handler registered for scheme '{scheme}' is '{handler.GetType().Name}' which cannot be used for {nameof(SignOutAsync)}. "; " is 163.
