Architecture smell,Project,Namespace,Cause
Cyclic Dependency,Insight.Database,Insight.Database,The tool detected the smell in this component because this component participates in a cyclic dependency. The participating components in the cycle are: Insight.Database' Insight.Database.CodeGenerator
Cyclic Dependency,Insight.Database,Insight.Database,The tool detected the smell in this component because this component participates in a cyclic dependency. The participating components in the cycle are: Insight.Database' Insight.Database.CodeGenerator' Insight.Database.Providers
Cyclic Dependency,Insight.Database,Insight.Database,The tool detected the smell in this component because this component participates in a cyclic dependency. The participating components in the cycle are: Insight.Database' Insight.Database.Structure' Insight.Database.CodeGenerator
Cyclic Dependency,Insight.Database,Insight.Database,The tool detected the smell in this component because this component participates in a cyclic dependency. The participating components in the cycle are: Insight.Database' Insight.Database.Structure
Cyclic Dependency,Insight.Database,Insight.Database.CodeGenerator,The tool detected the smell in this component because this component participates in a cyclic dependency. The participating components in the cycle are: Insight.Database.CodeGenerator' Insight.Database.Providers
Unstable Dependency,Insight.Database,Insight.Database,The tool detected the smell in this component because this component depends on other components that are less stable than itself. This component depends on following less stable component(s): Insight.Database.CodeGenerator' Insight.Database.Mapping
Unstable Dependency,Insight.Database,Insight.Database.CodeGenerator,The tool detected the smell in this component because this component depends on other components that are less stable than itself. This component depends on following less stable component(s): Insight.Database.Mapping
Unstable Dependency,Insight.Database,Insight.Database.Structure,The tool detected the smell in this component because this component depends on other components that are less stable than itself. This component depends on following less stable component(s): Insight.Database' Insight.Database.CodeGenerator
Unstable Dependency,Insight.Database,Insight.Database.Providers,The tool detected the smell in this component because this component depends on other components that are less stable than itself. This component depends on following less stable component(s): Insight.Database' Insight.Database.CodeGenerator
God Component,Insight.Database,Insight.Database,The tool detected the smell in this component because the component contains high number of classes. Number of classes in the component are: 48
Feature Concentration,Insight.Database,Insight.Database,The tool detected the smell in this component because the component realizes more than one architectural concern/feature. Independent sets of related classes within this component are: [CachedDbDataReader' DbDataReaderWrapper' PostProcessRecordReader]' [SqlConstructorAttribute]' [DBConnectionExtensions' OneToOne' Query' InsightBulkCopyOptions' InsightBulkCopy' InsightBulkCopyMappingCollection' Some' DbConnectionWrapper' Helpers' DynamicConnection' FastExpando' DBCommandExtensions' Parameters' RecordsetAttribute' ColumnMapping' DbSerializationRule' IDbSerializationRule' ToStringObjectSerializer' DbObjectSerializer' IDbObjectSerializer' JsonObjectSerializer' SerializationMode' ColumnAttribute' XmlObjectSerializer' DbConnectionWrapperProviderFactory' DBReaderExtensions' ColumnOverride' OptimisticCommand' OptimisticConcurrencyException' OptimisticConnection' DbCommandWrapper' Results' ExpandoExtensions]' [BindChildrenAttribute' BindChildrenFor]' [MergeOutputAttribute]' [InsightRowsCopiedEventArgs]' [ChildRecordsAttribute]' [ParentRecordIdAttribute]' [RecordIdAttribute]' [SqlAttribute]' [DbConnectionStringBuilderExtensions]' [RegexReplaceTransform' RegexReplaceMappingHandler]. LCC (Lack of Component Cohesion) = 0.25
Feature Concentration,Insight.Database,Insight.Database.Mapping,The tool detected the smell in this component because the component realizes more than one architectural concern/feature. Independent sets of related classes within this component are: [FieldMapping]' [DualMappingCollection' IColumnMapper' IDualMapper' IMapper' IMappingTransform' IParameterMapper' MappingCollection]. LCC (Lack of Component Cohesion) = 0.25
Scattered Functionality,Insight.Database,Insight.Database,The tool detected the smell in this component because a set of two or more components realizes the same high-level architectural concern. Following components realize the same concern: Insight.Database.Mapping' Insight.Database.CodeGenerator
Scattered Functionality,Insight.Database,Insight.Database.CodeGenerator,The tool detected the smell in this component because a set of two or more components realizes the same high-level architectural concern. Following components realize the same concern: Insight.Database.Providers' Insight.Database
