Implementation smell,Namespace,Class,File,Method,Description
Complex Method,Microsoft.Practices.Prism.PubSubEvents,PubSubEvent,C:\repos\modiCAS_prism\PrismLibrary\Prism.PubSubEvents\PubSubEvent.cs,Subscribe,Cyclomatic complexity of the method is 15
Long Statement,Microsoft.Practices.Prism.PubSubEvents,PubSubEvent,C:\repos\modiCAS_prism\PrismLibrary\Prism.PubSubEvents\PubSubEvent.cs,Unsubscribe,The length of the statement  "		IEventSubscription eventSubscription = Subscriptions.Cast<EventSubscription<TPayload>> ().FirstOrDefault (evt => evt.Action == subscriber); " is 139.
Long Statement,Microsoft.Practices.Prism.PubSubEvents,PubSubEvent,C:\repos\modiCAS_prism\PrismLibrary\Prism.PubSubEvents\PubSubEvent.cs,Contains,The length of the statement  "		eventSubscription = Subscriptions.Cast<EventSubscription<TPayload>> ().FirstOrDefault (evt => evt.Action == subscriber); " is 120.
