Design smell,Namespace,Class,File,Cause
Broken Modularization,MongoDB.Driver.GridFS,GridFSFindOptions<TFileId>,C:\repos\mongodb_mongo-csharp-driver\src\MongoDB.Driver.GridFS\GridFSFindOptions.cs,The tool detected the smell in this class because it contains only data members without any method implementation. Following fields and properties are declared in this class: BatchSize' Limit' MaxTime' NoCursorTimeout' Skip' Sort' _batchSize' _limit' _maxTime' _noCursorTimeout' _skip' _sort
Insufficient Modularization,MongoDB.Driver.GridFS,GridFSForwardOnlyUploadStream<TFileId>,C:\repos\mongodb_mongo-csharp-driver\src\MongoDB.Driver.GridFS\GridFSForwardOnlyUploadStream.cs,The tool detected the smell in this class because the class contains large number of methods. Total methods in the class: 34 methods
Broken Modularization,MongoDB.Driver.GridFS,GridFSUploadOptions,C:\repos\mongodb_mongo-csharp-driver\src\MongoDB.Driver.GridFS\GridFSUploadOptions.cs,The tool detected the smell in this class because it contains only data members without any method implementation. Following fields and properties are declared in this class: Aliases' BatchSize' ChunkSizeBytes' ContentType' Metadata' _aliases' _batchSize' _chunkSizeBytes' _contentType' _metadata
Insufficient Modularization,MongoDB.Driver.GridFS,IGridFSBucket,C:\repos\mongodb_mongo-csharp-driver\src\MongoDB.Driver.GridFS\IGridFSBucket.cs,The tool detected the smell in this class because the class contains large number of methods. Total methods in the class: 34 methods
Unfactored Hierarchy,MongoDB.Driver.GridFS,GridFSChunkException,C:\repos\mongodb_mongo-csharp-driver\src\MongoDB.Driver.GridFS\GridFSChunkException.cs,The tool detected the smell because a set of code clones has been found where at least one pair of classes belong to the same inheritance hierarchy. List of classes with start and end line numbers where clones has been found are:  GridFSChunkException (C:\repos\mongodb_mongo-csharp-driver\src\MongoDB.Driver.GridFS\GridFSChunkException.cs' [1' 25])' GridFSFileNotFoundException (C:\repos\mongodb_mongo-csharp-driver\src\MongoDB.Driver.GridFS\GridFSFileNotFoundException.cs' [1' 25])' GridFSMD5Exception (C:\repos\mongodb_mongo-csharp-driver\src\MongoDB.Driver.GridFS\GridFSMD5Exception.cs' [1' 25])
Rebellious Hierarchy,MongoDB.Driver.GridFS,GridFSDownloadStreamBase<TFileId>,C:\repos\mongodb_mongo-csharp-driver\src\MongoDB.Driver.GridFS\GridFSDownloadStreamBase.cs,The tool detected the smell in this class because method(s) of this class reject the methods provided by its supertypes. The method(s) that reject the suptertype's method are: Flush' FlushAsync' SetLength' Write' WriteAsync
Unfactored Hierarchy,MongoDB.Driver.GridFS,GridFSDownloadStream,C:\repos\mongodb_mongo-csharp-driver\src\MongoDB.Driver.GridFS\GridFSDownloadStreamCompat.cs,The tool detected the smell because a set of code clones has been found where at least one pair of classes belong to the same inheritance hierarchy. List of classes with start and end line numbers where clones has been found are:  GridFSDownloadStream (C:\repos\mongodb_mongo-csharp-driver\src\MongoDB.Driver.GridFS\GridFSDownloadStreamCompat.cs' [1' 23])' GridFSUploadStream (C:\repos\mongodb_mongo-csharp-driver\src\MongoDB.Driver.GridFS\GridFSUploadStreamCompat.cs' [1' 23])
Broken Hierarchy,MongoDB.Driver.GridFS,GridFSDownloadStream,C:\repos\mongodb_mongo-csharp-driver\src\MongoDB.Driver.GridFS\GridFSDownloadStreamCompat.cs,The tool detected a potential instance of the smell because this type does not implement or override any method from it's supertype(s): MongoDB.Driver.GridFS.DelegatingStream
Unfactored Hierarchy,MongoDB.Driver.GridFS,GridFSFileInfo<TFileId>,C:\repos\mongodb_mongo-csharp-driver\src\MongoDB.Driver.GridFS\GridFSFileInfo.cs,The tool detected the smell because a set of code clones has been found where at least one pair of classes belong to the same inheritance hierarchy. List of classes with start and end line numbers where clones has been found are:  GridFSFileInfo<TFileId> (C:\repos\mongodb_mongo-csharp-driver\src\MongoDB.Driver.GridFS\GridFSFileInfo.cs' [1' 29])' GridFSFileInfo (C:\repos\mongodb_mongo-csharp-driver\src\MongoDB.Driver.GridFS\GridFSFileInfoCompat.cs' [1' 29])
Unfactored Hierarchy,MongoDB.Driver.GridFS,GridFSFileInfo<TFileId>,C:\repos\mongodb_mongo-csharp-driver\src\MongoDB.Driver.GridFS\GridFSFileInfo.cs,The tool detected the smell because a set of code clones has been found where at least one pair of classes belong to the same inheritance hierarchy. List of classes with start and end line numbers where clones has been found are:  GridFSFileInfo<TFileId> (C:\repos\mongodb_mongo-csharp-driver\src\MongoDB.Driver.GridFS\GridFSFileInfo.cs' [42' 108])' GridFSFileInfo (C:\repos\mongodb_mongo-csharp-driver\src\MongoDB.Driver.GridFS\GridFSFileInfoCompat.cs' [40' 106])
Unfactored Hierarchy,MongoDB.Driver.GridFS,GridFSFileInfo<TFileId>,C:\repos\mongodb_mongo-csharp-driver\src\MongoDB.Driver.GridFS\GridFSFileInfo.cs,The tool detected the smell because a set of code clones has been found where at least one pair of classes belong to the same inheritance hierarchy. List of classes with start and end line numbers where clones has been found are:  GridFSFileInfo<TFileId> (C:\repos\mongodb_mongo-csharp-driver\src\MongoDB.Driver.GridFS\GridFSFileInfo.cs' [115' 160])' GridFSFileInfo (C:\repos\mongodb_mongo-csharp-driver\src\MongoDB.Driver.GridFS\GridFSFileInfoCompat.cs' [124' 169])
Rebellious Hierarchy,MongoDB.Driver.GridFS,GridFSForwardOnlyDownloadStream<TFileId>,C:\repos\mongodb_mongo-csharp-driver\src\MongoDB.Driver.GridFS\GridFSForwardOnlyDownloadStream.cs,The tool detected the smell in this class because method(s) of this class reject the methods provided by its supertypes. The method(s) that reject the suptertype's method are: Seek
Rebellious Hierarchy,MongoDB.Driver.GridFS,GridFSForwardOnlyUploadStream<TFileId>,C:\repos\mongodb_mongo-csharp-driver\src\MongoDB.Driver.GridFS\GridFSForwardOnlyUploadStream.cs,The tool detected the smell in this class because method(s) of this class reject the methods provided by its supertypes. The method(s) that reject the suptertype's method are: Flush' Read' ReadAsync' Seek' SetLength
Broken Hierarchy,MongoDB.Driver.GridFS,GridFSUploadStream,C:\repos\mongodb_mongo-csharp-driver\src\MongoDB.Driver.GridFS\GridFSUploadStreamCompat.cs,The tool detected a potential instance of the smell because this type does not implement or override any method from it's supertype(s): MongoDB.Driver.GridFS.DelegatingStream
Multipath Hierarchy,MongoDB.Driver.GridFS,IGridFSFileInfoSerializer,C:\repos\mongodb_mongo-csharp-driver\src\MongoDB.Driver.GridFS\IGridFSFileInfoSerializer.cs,The tool detected the smell in this class because the class inherits another class directly as well as indirectly. The redundant inherited supertype is: IBsonSerializer
Cyclic Hierarchy,MongoDB.Shared,IncrementalMD5,C:\repos\mongodb_mongo-csharp-driver\src\MongoDB.Shared\IncrementalMD5.cs,The tool detected the smell in this class because the class depends on one of its subclasses (creating cycle in the hierarchy). The class is dependent on the following subclass: IncrementalMD5NetStandard16
