Project,Namespace,Ca types,Ce types
NakedObjects.SystemTest,NakedObjects.SystemTest.ObjectFinderGuid,,NakedObjects.SystemTest.AbstractSystemTest<TContext>' NakedObjects.SystemTest.ObjectFinderCompoundKeys.PaymentContext' NakedObjects.SystemTest.ObjectFinderCompoundKeys.Employee
NakedObjects.SystemTest,NakedObjects.SystemTest.ObjectFinderSingleKey,,NakedObjects.SystemTest.AbstractSystemTest<TContext>
NakedObjects.SystemTest,NakedObjects.SystemTest.PolymorphicNavigator,,NakedObjects.SystemTest.PolymorphicAssociations.PolymorphicPayment' NakedObjects.SystemTest.PolymorphicAssociations.PolymorphicNavigationContext' NakedObjects.SystemTest.PolymorphicAssociations.FixtureLinksUsingTypeName' NakedObjects.SystemTest.PolymorphicAssociations.FixtureEntities' NakedObjects.SystemTest.Reflect.ReflectorTest' NakedObjects.SystemTest.Reflect.NullMenuFactory' NakedObjects.SystemTest.AbstractSystemTest<TContext>' NakedObjects.SystemTest.PolymorphicAssociations.CustomerAsPayee' NakedObjects.SystemTest.PolymorphicAssociations.SupplierAsPayee' NakedObjects.SystemTest.PolymorphicAssociations.InvoiceAsPayableItem' NakedObjects.SystemTest.PolymorphicAssociations.ExpenseClaimAsPayableItem' NakedObjects.SystemTest.PolymorphicAssociations.FixtureLinksUsingTypeCode
NakedObjects.SystemTest,NakedObjects.SystemTest.Menus.Service2,,NakedObjects.SystemTest.AbstractSystemTest<TContext>' TestObjectMenu.MenusDbContext
NakedObjects.SystemTest,NakedObjects.SystemTest.Menus,NakedObjects.SystemTest.Menus.Service.TestMainMenusUsingDelegation,NakedObjects.SystemTest.AbstractSystemTest<TContext>' SystemTest.ContributedActions.CADbContext' SystemTest.ContributedActions.Foo' SystemTest.ContributedActions.Foo2' SystemTest.ContributedActions.Bar' SystemTest.ContributedActions.ContributingService' TestObjectMenu.MenusDbContext' TestObjectMenu.Foo' TestObjectMenu.Foo2' TestObjectMenu.Contrib1' TestObjectMenu.Contrib2' TestObjectMenu.Contrib3' TestObjectMenu.Bar' TestObjectMenu.Bar2' TestObjectMenu.Bar3' TestObjectMenu.Bar4' TestObjectMenu.Bar5
NakedObjects.SystemTest,SystemTest.ContributedActions,NakedObjects.SystemTest.Menus.TestAccessingMenuActionsViaGetAction,
NakedObjects.SystemTest,NakedObjects.SystemTest.Menus.Service,,NakedObjects.SystemTest.AbstractSystemTest<TContext>' NakedObjects.SystemTest.Menus.QuxService' TestObjectMenu.MenusDbContext
NakedObjects.SystemTest,TestObjectMenu,NakedObjects.SystemTest.Menus.TestObjectMenu' NakedObjects.SystemTest.Menus.Service.TestMainMenusUsingDelegation' NakedObjects.SystemTest.Menus.Service2.TestMainMenusConventional' NakedObjects.SystemTest.Menus.TestServiceMenus,
NakedObjects.SystemTest,NakedObjects.SystemTest.Profile,,NakedObjects.SystemTest.AbstractSystemTest<TContext>
NakedObjects.SystemTest,NakedObjects.SystemTest.Reflect,NakedObjects.SystemTest.PolymorphicNavigator.TestPolymorphicNavigatorWithTypeCodeMapper' NakedObjects.SystemTest.PolymorphicNavigator.TestPolymorphicNavigator' NakedObjects.SystemTest.AbstractSystemTest<TContext>,
NakedObjects.SystemTest,NakedObjects.SystemTest.Util,,
NakedObjects.SystemTest,NakedObjects.SystemTest.Value,,
NakedObjects.SystemTest,NakedObjects.SystemTest.Method,,NakedObjects.SystemTest.AbstractSystemTest<TContext>
NakedObjects.SystemTest,NakedObjects.SystemTest.Enum,,NakedObjects.SystemTest.AbstractSystemTest<TContext>
NakedObjects.SystemTest,ParentChild,,NakedObjects.SystemTest.AbstractSystemTest<TContext>
NakedObjects.SystemTest,NakedObjects.SystemTest.ParentChild,,
NakedObjects.SystemTest,NakedObjects.SystemTest.Injection,,NakedObjects.SystemTest.AbstractSystemTest<TContext>
NakedObjects.SystemTest,NakedObjects.SystemTest.Persistence,,NakedObjects.SystemTest.AbstractSystemTest<TContext>
NakedObjects.SystemTest,NakedObjects.SystemTest.Repositories,,NakedObjects.SystemTest.AbstractSystemTest<TContext>
NakedObjects.SystemTest,NakedObjects.SystemTest.XATs,,NakedObjects.SystemTest.AbstractSystemTest<TContext>
