Type,NOF,NOM,NOP,NOPF,NOPM,LOC,WMC,NC,DIT,LCOM,Fan-Out,Fan-In
HttpApi,1,5,0,0,0,101,14,0,0,0.8,9,1
Options,30,5,16,0,0,332,65,0,0,0.91,3,1
Program,6,9,0,0,1,204,33,0,0,0,6,0
ErrorCode,0,0,0,0,0,22,0,0,0,0,0,1
HttpApiConstants,1,0,1,1,0,18,0,0,0,0,0,1
HttpApiVersion,2,1,0,2,1,25,1,0,0,1,0,1
HttpServiceConfigId,0,0,0,0,0,22,0,0,0,0,0,2
HttpServiceConfigIPListenParam,2,0,0,2,0,15,0,0,0,0,0,0
HttpServiceConfigIPListenQuery,2,0,0,2,0,15,0,0,0,0,0,0
HttpServiceConfigQueryType,0,0,0,0,0,18,0,0,0,0,0,3
HttpServiceConfigSslKey,1,0,0,1,0,11,0,0,0,0,0,2
HttpServiceConfigSslParam,10,0,0,10,0,50,0,0,0,0,0,1
HttpServiceConfigSslQuery,3,0,0,3,0,19,0,0,0,0,2,0
HttpServiceConfigSslSet,2,0,0,2,0,15,0,0,0,0,2,0
HttpServiceConfigUrlAclKey,1,1,0,1,1,20,1,0,0,1,0,3
HttpServiceConfigUrlAclParam,1,1,0,1,1,20,1,0,0,1,0,2
HttpServiceConfigUrlAclQuery,3,0,0,3,0,19,0,0,0,0,2,1
HttpServiceConfigUrlAclSet,2,0,0,2,0,15,0,0,0,0,2,1
NativeMethods,0,8,0,0,0,196,8,0,0,0,2,2
