Implementation smell,Namespace,Class,File,Method,Description
Long Statement,NStub.Core,Utility,C:\repos\SamiDidier_NClass\lib\NStub\NStub.Core\Utility.cs,ScrubPathOfIllegalCharacters,The length of the statement  "	if (path.Contains (@"*") || path.Contains (@"?") || path.Contains (@"<") || path.Contains (@">") || path.Contains (@"|") || path.Contains ("\"") || path.Contains (@"+") || path.Contains ("-")) { " is 194.
Complex Conditional,NStub.Core,Utility,C:\repos\SamiDidier_NClass\lib\NStub\NStub.Core\Utility.cs,ScrubPathOfIllegalCharacters,The conditional expression  "path.Contains (@"*") || path.Contains (@"?") || path.Contains (@"<") || path.Contains (@">") || path.Contains (@"|") || path.Contains ("\"") || path.Contains (@"+") || path.Contains ("-")"  is complex.
