Implementation smell,Namespace,Class,File,Method,Description
Long Method,NReflect.Runner,Program,C:\repos\SamiDidier_NClass\lib\NReflect_v0.9.4_src\NReflect.Runner\Program.cs,Main,The method has 115 lines of code.
Complex Method,NReflect.Runner,Program,C:\repos\SamiDidier_NClass\lib\NReflect_v0.9.4_src\NReflect.Runner\Program.cs,Main,Cyclomatic complexity of the method is 29
Long Statement,NReflect.Runner,Program,C:\repos\SamiDidier_NClass\lib\NReflect_v0.9.4_src\NReflect.Runner\Program.cs,Main,The length of the statement  "		Console.WriteLine ("Classes     : {0}/{1}"' statisticFilter.ReflectedClasses' statisticFilter.ReflectedClasses + statisticFilter.IgnoredClasses); " is 145.
Long Statement,NReflect.Runner,Program,C:\repos\SamiDidier_NClass\lib\NReflect_v0.9.4_src\NReflect.Runner\Program.cs,Main,The length of the statement  "		Console.WriteLine ("Interfaces  : {0}/{1}"' statisticFilter.ReflectedInterfaces' statisticFilter.ReflectedInterfaces + statisticFilter.IgnoredInterfaces); " is 154.
Long Statement,NReflect.Runner,Program,C:\repos\SamiDidier_NClass\lib\NReflect_v0.9.4_src\NReflect.Runner\Program.cs,Main,The length of the statement  "		Console.WriteLine ("Structures  : {0}/{1}"' statisticFilter.ReflectedStructures' statisticFilter.ReflectedStructures + statisticFilter.IgnoredStructures); " is 154.
Long Statement,NReflect.Runner,Program,C:\repos\SamiDidier_NClass\lib\NReflect_v0.9.4_src\NReflect.Runner\Program.cs,Main,The length of the statement  "		Console.WriteLine ("Delegates   : {0}/{1}"' statisticFilter.ReflectedDelegates' statisticFilter.ReflectedDelegates + statisticFilter.IgnoredDelegates); " is 151.
Long Statement,NReflect.Runner,Program,C:\repos\SamiDidier_NClass\lib\NReflect_v0.9.4_src\NReflect.Runner\Program.cs,Main,The length of the statement  "		Console.WriteLine ("Enums       : {0}/{1}"' statisticFilter.ReflectedEnums' statisticFilter.ReflectedEnums + statisticFilter.IgnoredEnums); " is 139.
Long Statement,NReflect.Runner,Program,C:\repos\SamiDidier_NClass\lib\NReflect_v0.9.4_src\NReflect.Runner\Program.cs,Main,The length of the statement  "		Console.WriteLine ("EnumValues  : {0}/{1}"' statisticFilter.ReflectedEnumValues' statisticFilter.ReflectedEnumValues + statisticFilter.IgnoredEnumValues); " is 154.
Long Statement,NReflect.Runner,Program,C:\repos\SamiDidier_NClass\lib\NReflect_v0.9.4_src\NReflect.Runner\Program.cs,Main,The length of the statement  "		Console.WriteLine ("Constructors: {0}/{1}"' statisticFilter.ReflectedConstructors' statisticFilter.ReflectedConstructors + statisticFilter.IgnoredConstructors); " is 160.
Long Statement,NReflect.Runner,Program,C:\repos\SamiDidier_NClass\lib\NReflect_v0.9.4_src\NReflect.Runner\Program.cs,Main,The length of the statement  "		Console.WriteLine ("Methods     : {0}/{1}"' statisticFilter.ReflectedMethods' statisticFilter.ReflectedMethods + statisticFilter.IgnoredMethods); " is 145.
Long Statement,NReflect.Runner,Program,C:\repos\SamiDidier_NClass\lib\NReflect_v0.9.4_src\NReflect.Runner\Program.cs,Main,The length of the statement  "		Console.WriteLine ("Fields      : {0}/{1}"' statisticFilter.ReflectedFields' statisticFilter.ReflectedFields + statisticFilter.IgnoredFields); " is 142.
Long Statement,NReflect.Runner,Program,C:\repos\SamiDidier_NClass\lib\NReflect_v0.9.4_src\NReflect.Runner\Program.cs,Main,The length of the statement  "		Console.WriteLine ("Properties  : {0}/{1}"' statisticFilter.ReflectedProperties' statisticFilter.ReflectedProperties + statisticFilter.IgnoredProperties); " is 154.
Long Statement,NReflect.Runner,Program,C:\repos\SamiDidier_NClass\lib\NReflect_v0.9.4_src\NReflect.Runner\Program.cs,Main,The length of the statement  "		Console.WriteLine ("Events      : {0}/{1}"' statisticFilter.ReflectedEvents' statisticFilter.ReflectedEvents + statisticFilter.IgnoredEvents); " is 142.
Long Statement,NReflect.Runner,Program,C:\repos\SamiDidier_NClass\lib\NReflect_v0.9.4_src\NReflect.Runner\Program.cs,Main,The length of the statement  "		Console.WriteLine ("Operators   : {0}/{1}"' statisticFilter.ReflectedOperators' statisticFilter.ReflectedOperators + statisticFilter.IgnoredOperators); " is 151.
Long Statement,NReflect.Runner,Program,C:\repos\SamiDidier_NClass\lib\NReflect_v0.9.4_src\NReflect.Runner\Program.cs,Main,The length of the statement  "		Console.WriteLine ("Attributes  : {0}/{1}"' statisticFilter.ReflectedAttributes' statisticFilter.ReflectedAttributes + statisticFilter.IgnoredAttributes); " is 154.
Long Statement,NReflect.Runner,Program,C:\repos\SamiDidier_NClass\lib\NReflect_v0.9.4_src\NReflect.Runner\Program.cs,Main,The length of the statement  "		Console.WriteLine ("Modules     : {0}/{1}"' statisticFilter.ReflectedModules' statisticFilter.ReflectedModules + statisticFilter.IgnoredModules); " is 145.
