Type,NOF,NOM,NOP,NOPF,NOPM,LOC,WMC,NC,DIT,LCOM,Fan-Out,Fan-In
AutomationPropertyChangedEventArgs,3,1,3,0,1,27,1,0,1,0,1,2
AutomationFocusChangedEventArgs,2,1,2,0,1,20,1,0,1,0,0,1
StructureChangeType,0,0,0,0,0,10,0,0,0,-1,0,2
StructureChangedEventArgs,2,2,1,0,2,22,3,0,1,0,1,2
ExpandCollapsePattern,3,4,2,2,2,68,6,0,1,0.5,4,0
GridPattern,4,3,2,3,1,63,4,1,1,0.67,5,1
GridItemPattern,7,2,2,6,0,66,2,1,1,1,3,1
InvokePattern,3,3,0,2,1,28,4,0,1,0.67,4,0
LegacyIAccessiblePattern,12,6,2,11,4,147,10,0,1,0.33,4,0
ObjectModelPattern,2,3,0,1,1,27,4,0,1,0.67,3,0
SpreadsheetPattern,2,3,0,1,1,27,4,0,1,0.67,3,0
SpreadsheetItemPattern,5,2,2,4,0,52,2,0,1,1,3,0
StylesPattern,9,2,2,8,0,78,2,0,1,1,3,0
SynchronizedInputPattern,5,4,0,4,2,43,6,0,1,0.5,5,0
TextChildPattern,2,2,2,1,0,44,2,0,1,1,3,0
MultipleViewPattern,4,4,2,3,2,73,6,0,1,0.5,4,0
TextPattern,36,6,2,35,4,129,10,1,1,0.33,7,2
TextPattern2,11,4,0,10,2,60,8,0,2,0.5,6,0
TreeWalker,4,15,1,3,13,160,22,0,0,0.53,5,2
RangeValuePattern,8,3,2,7,1,85,4,0,1,0.67,4,0
ValuePattern,4,3,2,3,1,61,4,0,1,0.67,4,0
ScrollPattern,9,6,2,8,4,125,10,0,1,0.33,5,0
ScrollItemPattern,2,3,0,1,1,27,4,0,1,0.67,3,0
SelectionPattern,6,2,2,5,0,54,2,0,1,1,4,0
SelectionItemPattern,7,5,2,6,3,90,8,0,1,0.4,5,0
TablePattern,5,2,2,4,0,69,4,0,2,1,4,0
TableItemPattern,4,2,2,3,0,78,4,0,2,1,4,0
TogglePattern,3,3,2,2,1,55,4,0,1,0.67,4,0
TransformPattern,5,5,2,4,3,93,8,1,1,0.4,4,1
TransformPattern2,6,4,2,5,2,93,8,0,2,0.5,6,0
ItemContainerPattern,2,3,0,1,1,27,4,0,1,0.67,4,0
VirtualizedItemPattern,2,3,0,1,1,27,4,0,1,0.67,3,0
WindowPattern,10,5,2,9,3,113,8,0,1,0.4,6,0
EventListener,3,3,3,0,3,37,3,4,0,0,1,1
FocusEventListener,1,2,0,0,1,17,2,0,1,0,2,1
BasicEventListener,1,2,0,0,1,21,3,0,1,0,4,1
PropertyEventListener,1,2,0,0,1,18,2,0,1,0,5,1
StructureEventListener,1,2,0,0,1,16,2,0,1,0,4,1
ClientEventList,1,3,0,0,3,31,3,0,0,0,3,1
PropertyTypeInfo,3,1,3,0,0,27,1,0,0,0,1,3
PatternTypeInfo,2,1,2,0,1,20,1,0,0,0,1,2
Schema,18,19,0,0,0,215,26,0,0,1,27,2
AutomationIdentifierGuids,306,0,0,306,0,311,0,0,0,-1,0,0
UiaCoreIds,4,2,0,0,0,22,2,0,0,0,0,9
UiaCoreProviderApi,0,15,0,0,0,64,16,0,0,-1,1,1
Utility,0,15,0,0,0,178,56,0,0,-1,10,32
AutomationInteropProvider,3,5,1,3,5,53,8,0,0,1,9,0
NavigateDirection,0,0,0,0,0,10,0,0,0,-1,0,1
ProviderOptions,0,0,0,0,0,10,0,0,0,-1,0,0
IDockProvider,0,1,1,0,0,10,1,0,0,-1,1,0
IExpandCollapseProvider,0,2,1,0,0,11,2,0,0,-1,1,0
IGridItemProvider,0,0,5,0,0,21,0,1,0,-1,0,0
IGridProvider,0,1,2,0,0,13,1,1,0,-1,0,0
IInvokeProvider,0,1,0,0,0,7,1,0,0,-1,0,0
IMultipleViewProvider,0,3,1,0,0,12,3,0,0,-1,0,0
IRangeValueProvider,0,1,6,0,0,26,1,0,0,-1,0,0
IRawElementProviderAdviseEvents,0,2,0,0,0,8,2,0,0,-1,0,0
IRawElementProviderFragment,0,4,2,0,0,16,4,1,0,-1,3,0
IRawElementProviderFragmentRoot,0,2,0,0,0,8,2,0,1,-1,0,1
IRawElementProviderHwndOverride,0,1,0,0,0,7,1,0,0,-1,0,0
IScrollItemProvider,0,1,0,0,0,7,1,0,0,-1,0,0
IScrollProvider,0,2,6,0,0,28,2,0,0,-1,1,0
ISelectionItemProvider,0,3,2,0,0,16,3,0,0,-1,0,0
ISelectionProvider,0,1,2,0,0,15,1,0,0,-1,0,0
ITableItemProvider,0,2,0,0,0,8,2,0,1,-1,0,0
ITableProvider,0,2,1,0,0,11,2,0,1,-1,1,0
ITextProvider,0,4,2,0,0,16,4,1,0,-1,2,0
ITextRangeProvider,0,18,0,0,0,25,18,0,0,-1,2,3
IToggleProvider,0,1,1,0,0,10,1,0,0,-1,1,0
ITransformProvider,0,3,3,0,0,21,3,1,0,-1,0,0
IValueProvider,0,1,2,0,0,14,1,0,0,-1,0,0
IWindowProvider,0,3,6,0,0,32,3,0,0,-1,2,0
IItemContainerProvider,0,1,0,0,0,7,1,0,0,-1,0,0
ILegacyIAccessibleProvider,0,5,9,0,0,39,5,0,0,-1,0,0
ISynchronizedInputProvider,0,2,0,0,0,8,2,0,0,-1,1,0
IVirtualizedItemProvider,0,1,0,0,0,7,1,0,0,-1,0,0
IObjectModelProvider,0,1,0,0,0,7,1,0,0,-1,0,0
IAnnotationProvider,0,0,5,0,0,21,0,0,0,-1,1,0
IStylesProvider,0,0,7,0,0,27,0,0,0,-1,1,0
ISpreadsheetProvider,0,1,0,0,0,7,1,0,0,-1,0,0
ISpreadsheetItemProvider,0,2,1,0,0,11,2,0,0,-1,0,0
ITransformProvider2,0,5,7,0,0,36,5,0,1,-1,1,0
ITextProvider2,0,6,2,0,0,18,6,0,1,-1,2,0
ITextChildProvider,0,0,2,0,0,12,0,0,0,-1,1,0
IDragProvider,0,1,3,0,0,17,1,0,0,-1,0,0
IDropTargetProvider,0,0,2,0,0,12,0,0,0,-1,0,0
Key,0,0,0,0,0,831,0,0,0,-1,0,3
KeyInterop,192,2,0,0,2,1300,1023,0,0,0,1,0
Point,2,10,2,0,8,85,11,0,0,0.5,0,5
Rect,5,31,16,0,27,390,52,0,0,0.29,0,8
Size,3,6,4,0,5,98,10,0,0,0.83,0,0
TextPatternRange,2,21,2,0,18,306,48,0,0,0.14,9,3
AnimationStyle,0,0,0,0,0,13,0,0,0,-1,0,1
BulletStyle,0,0,0,0,0,12,0,0,0,-1,0,1
CapStyle,0,0,0,0,0,13,0,0,0,-1,0,1
FlowDirections,0,0,0,0,0,10,0,0,0,-1,0,1
HorizontalTextAlignment,0,0,0,0,0,9,0,0,0,-1,0,1
OutlineStyles,0,0,0,0,0,11,0,0,0,-1,0,1
TextDecorationLineStyle,0,0,0,0,0,24,0,0,0,-1,0,1
TextPatternRangeEndpoint,0,0,0,0,0,7,0,0,0,-1,0,2
TextUnit,0,0,0,0,0,12,0,0,0,-1,0,2
