Implementation smell,Namespace,Class,File,Method,Description
Long Statement,TestClientRegistration,Program,D:\research\architectureSmells\repos\apetrovskiy_STUPS\TMX\Examples\TestClientRegistration\Program.cs,Main,The length of the statement  "            var command = new RegisterSystemUnderTestCommand(new RegisterTmxSystemUnderTestCommand { Seconds = 3' CustomClientString = "testConsole"' ServerUrl = "http://localhost:12340" }); " is 178.
Magic Number,TestClientRegistration,Program,D:\research\architectureSmells\repos\apetrovskiy_STUPS\TMX\Examples\TestClientRegistration\Program.cs,Main,The following statement contains a magic number: var command = new RegisterSystemUnderTestCommand(new RegisterTmxSystemUnderTestCommand { Seconds = 3' CustomClientString = "testConsole"' ServerUrl = "http://localhost:12340" });
