Architecture smell,Project,Namespace,Cause
Cyclic Dependency,DotNetCasClient,DotNetCasClient,The tool detected the smell in this component because this component participates in a cyclic dependency. The participating components in the cycle are: DotNetCasClient' DotNetCasClient.Utils
Cyclic Dependency,DotNetCasClient,DotNetCasClient,The tool detected the smell in this component because this component participates in a cyclic dependency. The participating components in the cycle are: DotNetCasClient' DotNetCasClient.State
Cyclic Dependency,DotNetCasClient,DotNetCasClient,The tool detected the smell in this component because this component participates in a cyclic dependency. The participating components in the cycle are: DotNetCasClient' DotNetCasClient.State' DotNetCasClient.Utils
Unstable Dependency,DotNetCasClient,DotNetCasClient,The tool detected the smell in this component because this component depends on other components that are less stable than itself. This component depends on following less stable component(s): DotNetCasClient.Validation.TicketValidator' DotNetCasClient.State
Unstable Dependency,DotNetCasClient,DotNetCasClient.Security,The tool detected the smell in this component because this component depends on other components that are less stable than itself. This component depends on following less stable component(s): DotNetCasClient
Unstable Dependency,DotNetCasClient,DotNetCasClient.Utils,The tool detected the smell in this component because this component depends on other components that are less stable than itself. This component depends on following less stable component(s): DotNetCasClient
Unstable Dependency,DotNetCasClient,DotNetCasClient.Validation.Schema.Saml11.Assertion,The tool detected the smell in this component because this component depends on other components that are less stable than itself. This component depends on following less stable component(s): DotNetCasClient.Validation.Schema.Saml11.Assertion.SubjectStatement
Unstable Dependency,DotNetCasClient,DotNetCasClient.Validation.Schema.Saml20.Assertion,The tool detected the smell in this component because this component depends on other components that are less stable than itself. This component depends on following less stable component(s): DotNetCasClient.Validation.Schema.Saml20.Assertion.Statement' DotNetCasClient.Validation.Schema.Xenc
Unstable Dependency,DotNetCasClient,DotNetCasClient.Validation.Schema.Saml20,The tool detected the smell in this component because this component depends on other components that are less stable than itself. This component depends on following less stable component(s): DotNetCasClient.Validation.Schema.Saml20.Assertion
Ambiguous Interface,DotNetCasClient,DotNetCasClient.Utils,The tool detected the smell in this component because the component provides only a single' general entry-point via the following class: EnhancedUriBuilder
Feature Concentration,DotNetCasClient,DotNetCasClient.Security,The tool detected the smell in this component because the component realizes more than one architectural concern/feature. Independent sets of related classes within this component are: [Assertion' CasPrincipal' IAssertion' ICasPrincipal' AssertionRoleProvider]' [ReadOnlyXmlRoleProvider]. LCC (Lack of Component Cohesion) = 0.33
Feature Concentration,DotNetCasClient,DotNetCasClient.Utils,The tool detected the smell in this component because the component realizes more than one architectural concern/feature. Independent sets of related classes within this component are: [AssertionUtil]' [CommonUtils' UrlUtil' EnhancedUriBuilder' RequestEvaluator]' [HttpUtil]. LCC (Lack of Component Cohesion) = 0.5
Feature Concentration,DotNetCasClient,DotNetCasClient.Validation.Schema.Saml11.Assertion,The tool detected the smell in this component because the component realizes more than one architectural concern/feature. Independent sets of related classes within this component are: [ActionType]' [AdviceType' AssertionType' ConditionsType' EvidenceType' AudienceRestrictionConditionType' ConditionAbstractType' DoNotCacheConditionType]' [AuthorityBindingType]' [DecisionType]' [NameIdentifierType' SubjectType]' [SubjectConfirmationType]' [SubjectLocalityType]. LCC (Lack of Component Cohesion) = 0.5
Feature Concentration,DotNetCasClient,DotNetCasClient.Validation.Schema.Saml20.Assertion,The tool detected the smell in this component because the component realizes more than one architectural concern/feature. Independent sets of related classes within this component are: [ActionType]' [AdviceType' AssertionType' NameIdType' SubjectType' BaseIdAbstractType' SubjectConfirmationType' SubjectConfirmationDataType]' [AuthnContextType]' [EncryptedElementType]' [SubjectLocalityType]. LCC (Lack of Component Cohesion) = 0.45
Feature Concentration,DotNetCasClient,DotNetCasClient.Validation.Schema.Saml20,The tool detected the smell in this component because the component realizes more than one architectural concern/feature. Independent sets of related classes within this component are: [AuthnContextComparisonType]' [DecisionType]' [EvidenceType]' [KeyInfoConfirmationDataType]' [NameIdPolicyType]' [RelayStateType]' [ResponseType]. LCC (Lack of Component Cohesion) = 1
Feature Concentration,DotNetCasClient,DotNetCasClient.Validation.Schema.Saml20.Protocol,The tool detected the smell in this component because the component realizes more than one architectural concern/feature. Independent sets of related classes within this component are: [IdpEntryType' IdpListType' ScopingType]' [RequestedAuthnContextType]' [StatusCodeType' StatusType' StatusDetailType]' [TerminateType]. LCC (Lack of Component Cohesion) = 0.5
Feature Concentration,DotNetCasClient,DotNetCasClient.Validation.Schema.Saml20.Protocol.Request,The tool detected the smell in this component because the component realizes more than one architectural concern/feature. Independent sets of related classes within this component are: [ArtifactResolveType' RequestAbstractType' AssertionIdRequestType' AuthnRequestType' LogoutRequestType' ManageNameIdRequestType' NameIdMappingRequestType]' [RequestType]. LCC (Lack of Component Cohesion) = 0.25
Feature Concentration,DotNetCasClient,DotNetCasClient.Validation.Schema.XmlDsig,The tool detected the smell in this component because the component realizes more than one architectural concern/feature. Independent sets of related classes within this component are: [CanonicalizationMethodType' SignedInfoType' DigestMethodType' ReferenceType' TransformType' KeyInfoType' SignatureType' SignatureValueType' ManifestType' ObjectType' RetrievalMethodType' SignatureMethodType' TransformsType]' [DsaKeyValueType' KeyValueType]' [PgpDataType]' [RsaKeyValueType]' [SignaturePropertiesType' SignaturePropertyType]' [SpkiDataType]' [X509DataType' X509IssuerSerialType]. LCC (Lack of Component Cohesion) = 0.32
Scattered Functionality,DotNetCasClient,DotNetCasClient,The tool detected the smell in this component because a set of two or more components realizes the same high-level architectural concern. Following components realize the same concern: DotNetCasClient.Logging' DotNetCasClient.State' DotNetCasClient.Validation.TicketValidator
Scattered Functionality,DotNetCasClient,DotNetCasClient,The tool detected the smell in this component because a set of two or more components realizes the same high-level architectural concern. Following components realize the same concern: DotNetCasClient.Logging' DotNetCasClient.State
