Implementation smell,Namespace,Class,File,Method,Description
Magic Number,Labo.Cms.Modules.Users,RootModuleRegistration,C:\repos\QuickOrBeDead_Labo.Cms\Labo.Cms.Modules.Users\UsersModuleRegistration.cs,RegisterRoutes,The following statement contains a magic number: context.RegisterRoute ("Login"' "Login"' new RouteValueDictionary {  	{  		"action"'  		"Login"  	}'  	{  		"controller"'  		"Users"  	}  }' null' 1000' SessionStateBehavior.Default' typeof(UsersController)' new MvcRouteHandler ());  
Magic Number,Labo.Cms.Modules.Users,RootModuleRegistration,C:\repos\QuickOrBeDead_Labo.Cms\Labo.Cms.Modules.Users\UsersModuleRegistration.cs,RegisterRoutes,The following statement contains a magic number: context.RegisterRoute ("Logout"' "Logout"' new RouteValueDictionary {  	{  		"action"'  		"Logout"  	}'  	{  		"controller"'  		"Users"  	}  }' null' 1000' SessionStateBehavior.Default' typeof(UsersController)' new MvcRouteHandler ());  
