Implementation smell,Namespace,Class,File,Method,Description
Complex Method,Microsoft.WindowsAzure.MobileServices,WnsTemplateRegistration,F:\newReposMay17\Azure_azure-mobile-services\sdk\Managed\src\Microsoft.WindowsAzure.MobileServices.WindowsPhone81\..\Microsoft.WindowsAzure.MobileServices.WindowsStore\Push\WnsTemplateRegistration.cs,WnsTemplateRegistration,Cyclomatic complexity of the method is 9
Long Parameter List,Microsoft.WindowsAzure.MobileServices,WnsTemplateRegistration,F:\newReposMay17\Azure_azure-mobile-services\sdk\Managed\src\Microsoft.WindowsAzure.MobileServices.WindowsPhone81\..\Microsoft.WindowsAzure.MobileServices.WindowsStore\Push\WnsTemplateRegistration.cs,WnsTemplateRegistration,The method has 5 parameters.
Long Statement,Microsoft.WindowsAzure.MobileServices,VisitorHelper,F:\newReposMay17\Azure_azure-mobile-services\sdk\Managed\src\Microsoft.WindowsAzure.MobileServices.WindowsPhone81\..\Microsoft.WindowsAzure.MobileServices.WindowsStore\ExpressionUtility\VisitorHelper.cs,VisitMember,The length of the statement  "	return this.memberVisitor != null ? this.memberVisitor (expression' e => base.VisitMember (e)) : base.VisitMember (expression); " is 127.
Long Statement,Microsoft.WindowsAzure.MobileServices,SingleSignOnExtensions,F:\newReposMay17\Azure_azure-mobile-services\sdk\Managed\src\Microsoft.WindowsAzure.MobileServices.WindowsPhone81\..\Microsoft.WindowsAzure.MobileServices.WindowsStore\Extensions\SingleSignOnExtensions.cs,LoginAsync,The length of the statement  "	MobileServiceSingleSignOnAuthentication auth = new MobileServiceSingleSignOnAuthentication (client' provider' parameters); " is 122.
Long Statement,Microsoft.WindowsAzure.MobileServices,WnsTemplateRegistration,F:\newReposMay17\Azure_azure-mobile-services\sdk\Managed\src\Microsoft.WindowsAzure.MobileServices.WindowsPhone81\..\Microsoft.WindowsAzure.MobileServices.WindowsStore\Push\WnsTemplateRegistration.cs,DetectBodyType,The length of the statement  "		throw new ArgumentException ("The bodyTemplate is not in accepted XML format. The first node of the bodyTemplate should be Badge/Tile/Toast' except for the wns/raw template' which needs to be an valid XML."); " is 208.
Long Statement,Microsoft.WindowsAzure.MobileServices,AuthenticationBroker,F:\newReposMay17\Azure_azure-mobile-services\sdk\Managed\src\Microsoft.WindowsAzure.MobileServices.WindowsPhone81\Authentication\AuthenticationBroker.cs,AuthenticationComplete,The length of the statement  "			message = string.Format (CultureInfo.InvariantCulture' "Authentication failed with HTTP response code {0}."' result.ResponseErrorDetail); " is 137.
