Implementation smell,Namespace,Class,File,Method,Description
Magic Number,Microsoft.AspNetCore.Hosting.TestSites,StartupShutdown,D:\research\architectureSmells\repos\aspnet_Hosting\test\TestAssets\Microsoft.AspNetCore.Hosting.TestSites\StartupShutdown.cs,Configure,The following statement contains a magic number: lifetime.ApplicationStopping.Register(() =>              {                  Console.WriteLine("Stopping firing");                  System.Threading.Thread.Sleep(200);                  Console.WriteLine("Stopping end");              });
Magic Number,Microsoft.AspNetCore.Hosting.TestSites,StartupShutdown,D:\research\architectureSmells\repos\aspnet_Hosting\test\TestAssets\Microsoft.AspNetCore.Hosting.TestSites\StartupShutdown.cs,Configure,The following statement contains a magic number: lifetime.ApplicationStopped.Register(() =>              {                  Console.WriteLine("Stopped firing");                  System.Threading.Thread.Sleep(200);                  Console.WriteLine("Stopped end");              });
