Implementation smell,Namespace,Class,File,Method,Description
Long Identifier,Microsoft.Build.Logging.StructuredLogger,XmlFileLogger,C:\repos\Microsoft_msbuild\Samples\XmlFileLogger\XmlFileLogger.cs,ProcessParameters,The length of the parameter invalidParamSpecificationMessage is 32.
Long Statement,Microsoft.Build.Logging.StructuredLogger,Build,C:\repos\Microsoft_msbuild\Samples\XmlFileLogger\ObjectModel\Build.cs,AddTask,The length of the statement  "            target.AddChildTask(new Task(taskStartedEventArgs.TaskName' taskStartedEventArgs' GetTaskAssembly((taskStartedEventArgs.TaskName)))); " is 133.
Long Statement,Microsoft.Build.Logging.StructuredLogger,Build,C:\repos\Microsoft_msbuild\Samples\XmlFileLogger\ObjectModel\Build.cs,AddProject,The length of the statement  "            if (projectStartedEventArgs.ParentProjectBuildEventContext != null && projectStartedEventArgs.ParentProjectBuildEventContext.ProjectContextId >= 0) " is 147.
Long Statement,Microsoft.Build.Logging.StructuredLogger,Build,C:\repos\Microsoft_msbuild\Samples\XmlFileLogger\ObjectModel\Build.cs,AddProject,The length of the statement  "            var project = GetOrAddProject(projectStartedEventArgs.BuildEventContext.ProjectContextId' projectStartedEventArgs' parent); " is 123.
Long Statement,Microsoft.Build.Logging.StructuredLogger,XmlFileLogger,C:\repos\Microsoft_msbuild\Samples\XmlFileLogger\XmlFileLogger.cs,HandleMessageRaised,The length of the statement  "            const string taskAssemblyPattern = "Using \"(?<task>.+)\" task from (assembly|the task factory) \"(?<assembly>.+)\"\\."; " is 120.
Long Statement,Microsoft.Build.Logging.StructuredLogger,XmlFileLogger,C:\repos\Microsoft_msbuild\Samples\XmlFileLogger\XmlFileLogger.cs,ProcessParameters,The length of the statement  "            const string invalidParamSpecificationMessage = @"Need processEvent log file.  Specify using the following pattern: '/logger:XmlFileLogger'XmlFileLogger.dll;buildlog.xml"; " is 171.
Magic Number,Microsoft.Build.Logging.StructuredLogger,ItemGroupParser,C:\repos\Microsoft_msbuild\Samples\XmlFileLogger\ItemGroupParser.cs,ParseItemList,The following statement contains a magic number: foreach (var line in lines)              {                  switch (GetNumberOfLeadingSpaces(line))                  {                      case 4:                          if (line.EndsWith("="' StringComparison.Ordinal))                          {                              name = line.Substring(4' line.Length - 5);                          }                          break;                      case 8:                          currentItem = new Item(line.Substring(8));                          items.Add(currentItem);                          break;                      case 16:                          if (currentItem != null)                          {                              var nameValue = ParseNameValue(line.Substring(16));                              currentItem.AddMetadata(nameValue.Key' nameValue.Value);                          }                          break;                  }              }
Magic Number,Microsoft.Build.Logging.StructuredLogger,ItemGroupParser,C:\repos\Microsoft_msbuild\Samples\XmlFileLogger\ItemGroupParser.cs,ParseItemList,The following statement contains a magic number: foreach (var line in lines)              {                  switch (GetNumberOfLeadingSpaces(line))                  {                      case 4:                          if (line.EndsWith("="' StringComparison.Ordinal))                          {                              name = line.Substring(4' line.Length - 5);                          }                          break;                      case 8:                          currentItem = new Item(line.Substring(8));                          items.Add(currentItem);                          break;                      case 16:                          if (currentItem != null)                          {                              var nameValue = ParseNameValue(line.Substring(16));                              currentItem.AddMetadata(nameValue.Key' nameValue.Value);                          }                          break;                  }              }
Magic Number,Microsoft.Build.Logging.StructuredLogger,ItemGroupParser,C:\repos\Microsoft_msbuild\Samples\XmlFileLogger\ItemGroupParser.cs,ParseItemList,The following statement contains a magic number: foreach (var line in lines)              {                  switch (GetNumberOfLeadingSpaces(line))                  {                      case 4:                          if (line.EndsWith("="' StringComparison.Ordinal))                          {                              name = line.Substring(4' line.Length - 5);                          }                          break;                      case 8:                          currentItem = new Item(line.Substring(8));                          items.Add(currentItem);                          break;                      case 16:                          if (currentItem != null)                          {                              var nameValue = ParseNameValue(line.Substring(16));                              currentItem.AddMetadata(nameValue.Key' nameValue.Value);                          }                          break;                  }              }
Magic Number,Microsoft.Build.Logging.StructuredLogger,ItemGroupParser,C:\repos\Microsoft_msbuild\Samples\XmlFileLogger\ItemGroupParser.cs,ParseItemList,The following statement contains a magic number: foreach (var line in lines)              {                  switch (GetNumberOfLeadingSpaces(line))                  {                      case 4:                          if (line.EndsWith("="' StringComparison.Ordinal))                          {                              name = line.Substring(4' line.Length - 5);                          }                          break;                      case 8:                          currentItem = new Item(line.Substring(8));                          items.Add(currentItem);                          break;                      case 16:                          if (currentItem != null)                          {                              var nameValue = ParseNameValue(line.Substring(16));                              currentItem.AddMetadata(nameValue.Key' nameValue.Value);                          }                          break;                  }              }
Magic Number,Microsoft.Build.Logging.StructuredLogger,ItemGroupParser,C:\repos\Microsoft_msbuild\Samples\XmlFileLogger\ItemGroupParser.cs,ParseItemList,The following statement contains a magic number: foreach (var line in lines)              {                  switch (GetNumberOfLeadingSpaces(line))                  {                      case 4:                          if (line.EndsWith("="' StringComparison.Ordinal))                          {                              name = line.Substring(4' line.Length - 5);                          }                          break;                      case 8:                          currentItem = new Item(line.Substring(8));                          items.Add(currentItem);                          break;                      case 16:                          if (currentItem != null)                          {                              var nameValue = ParseNameValue(line.Substring(16));                              currentItem.AddMetadata(nameValue.Key' nameValue.Value);                          }                          break;                  }              }
Magic Number,Microsoft.Build.Logging.StructuredLogger,ItemGroupParser,C:\repos\Microsoft_msbuild\Samples\XmlFileLogger\ItemGroupParser.cs,ParseItemList,The following statement contains a magic number: foreach (var line in lines)              {                  switch (GetNumberOfLeadingSpaces(line))                  {                      case 4:                          if (line.EndsWith("="' StringComparison.Ordinal))                          {                              name = line.Substring(4' line.Length - 5);                          }                          break;                      case 8:                          currentItem = new Item(line.Substring(8));                          items.Add(currentItem);                          break;                      case 16:                          if (currentItem != null)                          {                              var nameValue = ParseNameValue(line.Substring(16));                              currentItem.AddMetadata(nameValue.Key' nameValue.Value);                          }                          break;                  }              }
Magic Number,Microsoft.Build.Logging.StructuredLogger,ItemGroupParser,C:\repos\Microsoft_msbuild\Samples\XmlFileLogger\ItemGroupParser.cs,ParseItemList,The following statement contains a magic number: foreach (var line in lines)              {                  switch (GetNumberOfLeadingSpaces(line))                  {                      case 4:                          if (line.EndsWith("="' StringComparison.Ordinal))                          {                              name = line.Substring(4' line.Length - 5);                          }                          break;                      case 8:                          currentItem = new Item(line.Substring(8));                          items.Add(currentItem);                          break;                      case 16:                          if (currentItem != null)                          {                              var nameValue = ParseNameValue(line.Substring(16));                              currentItem.AddMetadata(nameValue.Key' nameValue.Value);                          }                          break;                  }              }
Missing Default,Microsoft.Build.Logging.StructuredLogger,ItemGroupParser,C:\repos\Microsoft_msbuild\Samples\XmlFileLogger\ItemGroupParser.cs,ParseItemList,The following switch statement is missing a default case: switch (GetNumberOfLeadingSpaces(line))                  {                      case 4:                          if (line.EndsWith("="' StringComparison.Ordinal))                          {                              name = line.Substring(4' line.Length - 5);                          }                          break;                      case 8:                          currentItem = new Item(line.Substring(8));                          items.Add(currentItem);                          break;                      case 16:                          if (currentItem != null)                          {                              var nameValue = ParseNameValue(line.Substring(16));                              currentItem.AddMetadata(nameValue.Key' nameValue.Value);                          }                          break;                  }
