Implementation smell,Namespace,Class,File,Method,Description
Long Statement,AutoBox.Specification,ArgumentSpecs,C:\repos\mehfuzh_AutoBox\Specification\ArgumentSpecs.cs,ShouldReturnCachedItemForSimilarArgWhenVariesIsSpecified,The length of the statement  "	Container.Setup<ProductRepository> (x => x.Create (Arg.Varies<string> ()' Arg.Varies<int> ())).Caches (TimeSpan.FromSeconds (10)); " is 130.
Long Statement,AutoBox.Specification,ArgumentSpecs,C:\repos\mehfuzh_AutoBox\Specification\ArgumentSpecs.cs,ShoudlInvalidateForDifferentArgWhenVariesIsSpecified,The length of the statement  "	Container.Setup<ProductRepository> (x => x.Create (Arg.Varies<string> ()' Arg.Varies<int> ())).Caches (TimeSpan.FromSeconds (10)); " is 130.
Long Statement,AutoBox.Specification,AutoBoxSpecs,C:\repos\mehfuzh_AutoBox\Specification\AutoBoxSpecs.cs,ShouldThrowProperExceptionWhenTargetTypeForInterfaceNotFound,The length of the statement  "	string expectedMessage = string.Format ("Failed to resolve the corresponding type for {0}"' typeof(IOrphanService).Name); " is 121.
Long Statement,AutoBox.Specification,AutoBoxSpecs,C:\repos\mehfuzh_AutoBox\Specification\AutoBoxSpecs.cs,ShouldThrowProperExceptionWhenTargetTypeForInterfaceNotFound,The length of the statement  "	string actual = Assert.Throws<ActivationException> (() => ServiceLocator.Current.GetInstance<IOrphanService> ()).Message; " is 121.
Long Statement,AutoBox.Specification,ConditionalCacheSpecs,C:\repos\mehfuzh_AutoBox\Specification\ConditionalCacheSpecs.cs,ShouldInvalidateTargetWhenArgVariesIsSpecifiedInSouce,The length of the statement  "	Container.Setup<ProductRepository> (x => x.Create (Arg.Varies<string> ()' Arg.Varies<int> ())).Invalidates (x => x.GetAll ()); " is 126.
Long Statement,AutoBox.Specification,ConditionalCacheSpecs,C:\repos\mehfuzh_AutoBox\Specification\ConditionalCacheSpecs.cs,ShouldInvalidateTargetWhenArgVariesIsSpecifiedInSouceAndTarget,The length of the statement  "	Container.Setup<DummyRepository> (x => x.Create (Arg.Varies<Product> ())).Invalidates (x => x.GetProduct (Arg.Varies<string> ())); " is 130.
Magic Number,AutoBox.Specification,ArgumentSpecs,C:\repos\mehfuzh_AutoBox\Specification\ArgumentSpecs.cs,ShouldNotCacheWhenArgInInvoationDoesNotMatchSetup,The following statement contains a magic number: Container.Setup<ProductRepository> (x => x.Create (Arg.Varies<string> ()' 1)).Caches (TimeSpan.FromSeconds (10));  
Magic Number,AutoBox.Specification,ArgumentSpecs,C:\repos\mehfuzh_AutoBox\Specification\ArgumentSpecs.cs,ShouldNotCacheWhenArgInInvoationDoesNotMatchSetup,The following statement contains a magic number: repository.Create (product' 2).Id.ShouldNotEqual (expected);  
Magic Number,AutoBox.Specification,ArgumentSpecs,C:\repos\mehfuzh_AutoBox\Specification\ArgumentSpecs.cs,ShouldReturnCachedItemForSimilarArgWhenVariesIsSpecified,The following statement contains a magic number: Container.Setup<ProductRepository> (x => x.Create (Arg.Varies<string> ()' Arg.Varies<int> ())).Caches (TimeSpan.FromSeconds (10));  
Magic Number,AutoBox.Specification,ArgumentSpecs,C:\repos\mehfuzh_AutoBox\Specification\ArgumentSpecs.cs,ShoudlInvalidateForDifferentArgWhenVariesIsSpecified,The following statement contains a magic number: Container.Setup<ProductRepository> (x => x.Create (Arg.Varies<string> ()' Arg.Varies<int> ())).Caches (TimeSpan.FromSeconds (10));  
Magic Number,AutoBox.Specification,ArgumentSpecs,C:\repos\mehfuzh_AutoBox\Specification\ArgumentSpecs.cs,ShouldCacheRegarlessOfArgumentMatchWhenVaryByArgsIsSpecified,The following statement contains a magic number: Container.Setup<ProductRepository> (x => x.Create (string.Empty' 0)).Caches (TimeSpan.FromSeconds (10)).VaryByArgs ();  
Magic Number,AutoBox.Specification,AutoBoxSpecs,C:\repos\mehfuzh_AutoBox\Specification\AutoBoxSpecs.cs,ShouldAssertMultipleRegistrationForGetAllInstances,The following statement contains a magic number: strapper.Count ().ShouldEqual (2);  
Magic Number,AutoBox.Specification,CachingSpecs,C:\repos\mehfuzh_AutoBox\Specification\CachingSpecs.cs,BeforeEach,The following statement contains a magic number: Container.Setup<ProductRepository> (x => x.Create (title' quantity)).Caches (TimeSpan.FromSeconds (2));  
Magic Number,AutoBox.Specification,CachingSpecs,C:\repos\mehfuzh_AutoBox\Specification\CachingSpecs.cs,ShouldInvalidateWhenCachDurationExpires,The following statement contains a magic number: Thread.Sleep (TimeSpan.FromSeconds (3));  
Magic Number,AutoBox.Specification,ConditionalCacheSpecs,C:\repos\mehfuzh_AutoBox\Specification\ConditionalCacheSpecs.cs,ShouldInvalidateCacheWhenArgumentsAreDifferent,The following statement contains a magic number: Container.Setup<ProductRepository> (x => x.Create (product' 1)).Caches (TimeSpan.FromSeconds (5));  
