Architecture smell,Project,Namespace,Cause
Unstable Dependency,S7.Net,S7.Net.Types,The tool detected the smell in this component because this component depends on other components that are less stable than itself. This component depends on following less stable component(s): S7.Net
Feature Concentration,S7.Net,S7.Net,The tool detected the smell in this component because the component realizes more than one architectural concern/feature. Independent sets of related classes within this component are: [Conversion]' [CpuType' Plc' ErrorCode' DataType' VarType]. LCC (Lack of Component Cohesion) = 0.33
Feature Concentration,S7.Net,S7.Net.Types,The tool detected the smell in this component because the component realizes more than one architectural concern/feature. Independent sets of related classes within this component are: [Boolean]' [Byte]' [ByteArray' Counter' DInt' Double' DWord' Int' Struct' Timer' Word' Class]' [DataItem]' [String]. LCC (Lack of Component Cohesion) = 0.36
