Implementation smell,Namespace,Class,File,Method,Description
Magic Number,WpfApplication1,Window1,C:\repos\dnGrep_dnGrep\Dependencies\SplitButton\Demo\Window1.xaml.cs,Connect,The following statement contains a magic number: switch (connectionId)              {              case 1:              this.modeSelector = ((System.Windows.Controls.ComboBox)(target));              return;              case 2:              this.placementSelector = ((System.Windows.Controls.ComboBox)(target));              return;              case 3:              this.test = ((Wpf.Controls.SplitButton)(target));                            #line 77 "..\..\Window1.xaml"              this.test.Click += new System.Windows.RoutedEventHandler(this.SplitButton_Click);                            #line default              #line hidden              return;              case 4:                            #line 95 "..\..\Window1.xaml"              ((Wpf.Controls.SplitButton)(target)).Click += new System.Windows.RoutedEventHandler(this.SplitButton_Click);                            #line default              #line hidden              return;              case 5:                            #line 113 "..\..\Window1.xaml"              ((Wpf.Controls.SplitButton)(target)).Click += new System.Windows.RoutedEventHandler(this.SplitButton_Click);                            #line default              #line hidden              return;              case 6:                            #line 131 "..\..\Window1.xaml"              ((Wpf.Controls.SplitButton)(target)).Click += new System.Windows.RoutedEventHandler(this.SplitButton_Click);                            #line default              #line hidden              return;              case 7:                            #line 149 "..\..\Window1.xaml"              ((Wpf.Controls.SplitButton)(target)).Click += new System.Windows.RoutedEventHandler(this.SplitButton_Click);                            #line default              #line hidden              return;              case 8:                            #line 167 "..\..\Window1.xaml"              ((Wpf.Controls.SplitButton)(target)).Click += new System.Windows.RoutedEventHandler(this.SplitButton_Click);                            #line default              #line hidden              return;              case 9:                            #line 185 "..\..\Window1.xaml"              ((Wpf.Controls.SplitButton)(target)).Click += new System.Windows.RoutedEventHandler(this.SplitButton_Click);                            #line default              #line hidden              return;              case 10:                            #line 216 "..\..\Window1.xaml"              ((Wpf.Controls.SplitButton)(target)).Click += new System.Windows.RoutedEventHandler(this.SplitButton_Click);                            #line default              #line hidden              return;              case 11:                            #line 240 "..\..\Window1.xaml"              ((System.Windows.Controls.Button)(target)).Click += new System.Windows.RoutedEventHandler(this.Button_Click);                            #line default              #line hidden              return;              }
Magic Number,WpfApplication1,Window1,C:\repos\dnGrep_dnGrep\Dependencies\SplitButton\Demo\Window1.xaml.cs,Connect,The following statement contains a magic number: switch (connectionId)              {              case 1:              this.modeSelector = ((System.Windows.Controls.ComboBox)(target));              return;              case 2:              this.placementSelector = ((System.Windows.Controls.ComboBox)(target));              return;              case 3:              this.test = ((Wpf.Controls.SplitButton)(target));                            #line 77 "..\..\Window1.xaml"              this.test.Click += new System.Windows.RoutedEventHandler(this.SplitButton_Click);                            #line default              #line hidden              return;              case 4:                            #line 95 "..\..\Window1.xaml"              ((Wpf.Controls.SplitButton)(target)).Click += new System.Windows.RoutedEventHandler(this.SplitButton_Click);                            #line default              #line hidden              return;              case 5:                            #line 113 "..\..\Window1.xaml"              ((Wpf.Controls.SplitButton)(target)).Click += new System.Windows.RoutedEventHandler(this.SplitButton_Click);                            #line default              #line hidden              return;              case 6:                            #line 131 "..\..\Window1.xaml"              ((Wpf.Controls.SplitButton)(target)).Click += new System.Windows.RoutedEventHandler(this.SplitButton_Click);                            #line default              #line hidden              return;              case 7:                            #line 149 "..\..\Window1.xaml"              ((Wpf.Controls.SplitButton)(target)).Click += new System.Windows.RoutedEventHandler(this.SplitButton_Click);                            #line default              #line hidden              return;              case 8:                            #line 167 "..\..\Window1.xaml"              ((Wpf.Controls.SplitButton)(target)).Click += new System.Windows.RoutedEventHandler(this.SplitButton_Click);                            #line default              #line hidden              return;              case 9:                            #line 185 "..\..\Window1.xaml"              ((Wpf.Controls.SplitButton)(target)).Click += new System.Windows.RoutedEventHandler(this.SplitButton_Click);                            #line default              #line hidden              return;              case 10:                            #line 216 "..\..\Window1.xaml"              ((Wpf.Controls.SplitButton)(target)).Click += new System.Windows.RoutedEventHandler(this.SplitButton_Click);                            #line default              #line hidden              return;              case 11:                            #line 240 "..\..\Window1.xaml"              ((System.Windows.Controls.Button)(target)).Click += new System.Windows.RoutedEventHandler(this.Button_Click);                            #line default              #line hidden              return;              }
Magic Number,WpfApplication1,Window1,C:\repos\dnGrep_dnGrep\Dependencies\SplitButton\Demo\Window1.xaml.cs,Connect,The following statement contains a magic number: switch (connectionId)              {              case 1:              this.modeSelector = ((System.Windows.Controls.ComboBox)(target));              return;              case 2:              this.placementSelector = ((System.Windows.Controls.ComboBox)(target));              return;              case 3:              this.test = ((Wpf.Controls.SplitButton)(target));                            #line 77 "..\..\Window1.xaml"              this.test.Click += new System.Windows.RoutedEventHandler(this.SplitButton_Click);                            #line default              #line hidden              return;              case 4:                            #line 95 "..\..\Window1.xaml"              ((Wpf.Controls.SplitButton)(target)).Click += new System.Windows.RoutedEventHandler(this.SplitButton_Click);                            #line default              #line hidden              return;              case 5:                            #line 113 "..\..\Window1.xaml"              ((Wpf.Controls.SplitButton)(target)).Click += new System.Windows.RoutedEventHandler(this.SplitButton_Click);                            #line default              #line hidden              return;              case 6:                            #line 131 "..\..\Window1.xaml"              ((Wpf.Controls.SplitButton)(target)).Click += new System.Windows.RoutedEventHandler(this.SplitButton_Click);                            #line default              #line hidden              return;              case 7:                            #line 149 "..\..\Window1.xaml"              ((Wpf.Controls.SplitButton)(target)).Click += new System.Windows.RoutedEventHandler(this.SplitButton_Click);                            #line default              #line hidden              return;              case 8:                            #line 167 "..\..\Window1.xaml"              ((Wpf.Controls.SplitButton)(target)).Click += new System.Windows.RoutedEventHandler(this.SplitButton_Click);                            #line default              #line hidden              return;              case 9:                            #line 185 "..\..\Window1.xaml"              ((Wpf.Controls.SplitButton)(target)).Click += new System.Windows.RoutedEventHandler(this.SplitButton_Click);                            #line default              #line hidden              return;              case 10:                            #line 216 "..\..\Window1.xaml"              ((Wpf.Controls.SplitButton)(target)).Click += new System.Windows.RoutedEventHandler(this.SplitButton_Click);                            #line default              #line hidden              return;              case 11:                            #line 240 "..\..\Window1.xaml"              ((System.Windows.Controls.Button)(target)).Click += new System.Windows.RoutedEventHandler(this.Button_Click);                            #line default              #line hidden              return;              }
Magic Number,WpfApplication1,Window1,C:\repos\dnGrep_dnGrep\Dependencies\SplitButton\Demo\Window1.xaml.cs,Connect,The following statement contains a magic number: switch (connectionId)              {              case 1:              this.modeSelector = ((System.Windows.Controls.ComboBox)(target));              return;              case 2:              this.placementSelector = ((System.Windows.Controls.ComboBox)(target));              return;              case 3:              this.test = ((Wpf.Controls.SplitButton)(target));                            #line 77 "..\..\Window1.xaml"              this.test.Click += new System.Windows.RoutedEventHandler(this.SplitButton_Click);                            #line default              #line hidden              return;              case 4:                            #line 95 "..\..\Window1.xaml"              ((Wpf.Controls.SplitButton)(target)).Click += new System.Windows.RoutedEventHandler(this.SplitButton_Click);                            #line default              #line hidden              return;              case 5:                            #line 113 "..\..\Window1.xaml"              ((Wpf.Controls.SplitButton)(target)).Click += new System.Windows.RoutedEventHandler(this.SplitButton_Click);                            #line default              #line hidden              return;              case 6:                            #line 131 "..\..\Window1.xaml"              ((Wpf.Controls.SplitButton)(target)).Click += new System.Windows.RoutedEventHandler(this.SplitButton_Click);                            #line default              #line hidden              return;              case 7:                            #line 149 "..\..\Window1.xaml"              ((Wpf.Controls.SplitButton)(target)).Click += new System.Windows.RoutedEventHandler(this.SplitButton_Click);                            #line default              #line hidden              return;              case 8:                            #line 167 "..\..\Window1.xaml"              ((Wpf.Controls.SplitButton)(target)).Click += new System.Windows.RoutedEventHandler(this.SplitButton_Click);                            #line default              #line hidden              return;              case 9:                            #line 185 "..\..\Window1.xaml"              ((Wpf.Controls.SplitButton)(target)).Click += new System.Windows.RoutedEventHandler(this.SplitButton_Click);                            #line default              #line hidden              return;              case 10:                            #line 216 "..\..\Window1.xaml"              ((Wpf.Controls.SplitButton)(target)).Click += new System.Windows.RoutedEventHandler(this.SplitButton_Click);                            #line default              #line hidden              return;              case 11:                            #line 240 "..\..\Window1.xaml"              ((System.Windows.Controls.Button)(target)).Click += new System.Windows.RoutedEventHandler(this.Button_Click);                            #line default              #line hidden              return;              }
Magic Number,WpfApplication1,Window1,C:\repos\dnGrep_dnGrep\Dependencies\SplitButton\Demo\Window1.xaml.cs,Connect,The following statement contains a magic number: switch (connectionId)              {              case 1:              this.modeSelector = ((System.Windows.Controls.ComboBox)(target));              return;              case 2:              this.placementSelector = ((System.Windows.Controls.ComboBox)(target));              return;              case 3:              this.test = ((Wpf.Controls.SplitButton)(target));                            #line 77 "..\..\Window1.xaml"              this.test.Click += new System.Windows.RoutedEventHandler(this.SplitButton_Click);                            #line default              #line hidden              return;              case 4:                            #line 95 "..\..\Window1.xaml"              ((Wpf.Controls.SplitButton)(target)).Click += new System.Windows.RoutedEventHandler(this.SplitButton_Click);                            #line default              #line hidden              return;              case 5:                            #line 113 "..\..\Window1.xaml"              ((Wpf.Controls.SplitButton)(target)).Click += new System.Windows.RoutedEventHandler(this.SplitButton_Click);                            #line default              #line hidden              return;              case 6:                            #line 131 "..\..\Window1.xaml"              ((Wpf.Controls.SplitButton)(target)).Click += new System.Windows.RoutedEventHandler(this.SplitButton_Click);                            #line default              #line hidden              return;              case 7:                            #line 149 "..\..\Window1.xaml"              ((Wpf.Controls.SplitButton)(target)).Click += new System.Windows.RoutedEventHandler(this.SplitButton_Click);                            #line default              #line hidden              return;              case 8:                            #line 167 "..\..\Window1.xaml"              ((Wpf.Controls.SplitButton)(target)).Click += new System.Windows.RoutedEventHandler(this.SplitButton_Click);                            #line default              #line hidden              return;              case 9:                            #line 185 "..\..\Window1.xaml"              ((Wpf.Controls.SplitButton)(target)).Click += new System.Windows.RoutedEventHandler(this.SplitButton_Click);                            #line default              #line hidden              return;              case 10:                            #line 216 "..\..\Window1.xaml"              ((Wpf.Controls.SplitButton)(target)).Click += new System.Windows.RoutedEventHandler(this.SplitButton_Click);                            #line default              #line hidden              return;              case 11:                            #line 240 "..\..\Window1.xaml"              ((System.Windows.Controls.Button)(target)).Click += new System.Windows.RoutedEventHandler(this.Button_Click);                            #line default              #line hidden              return;              }
Magic Number,WpfApplication1,Window1,C:\repos\dnGrep_dnGrep\Dependencies\SplitButton\Demo\Window1.xaml.cs,Connect,The following statement contains a magic number: switch (connectionId)              {              case 1:              this.modeSelector = ((System.Windows.Controls.ComboBox)(target));              return;              case 2:              this.placementSelector = ((System.Windows.Controls.ComboBox)(target));              return;              case 3:              this.test = ((Wpf.Controls.SplitButton)(target));                            #line 77 "..\..\Window1.xaml"              this.test.Click += new System.Windows.RoutedEventHandler(this.SplitButton_Click);                            #line default              #line hidden              return;              case 4:                            #line 95 "..\..\Window1.xaml"              ((Wpf.Controls.SplitButton)(target)).Click += new System.Windows.RoutedEventHandler(this.SplitButton_Click);                            #line default              #line hidden              return;              case 5:                            #line 113 "..\..\Window1.xaml"              ((Wpf.Controls.SplitButton)(target)).Click += new System.Windows.RoutedEventHandler(this.SplitButton_Click);                            #line default              #line hidden              return;              case 6:                            #line 131 "..\..\Window1.xaml"              ((Wpf.Controls.SplitButton)(target)).Click += new System.Windows.RoutedEventHandler(this.SplitButton_Click);                            #line default              #line hidden              return;              case 7:                            #line 149 "..\..\Window1.xaml"              ((Wpf.Controls.SplitButton)(target)).Click += new System.Windows.RoutedEventHandler(this.SplitButton_Click);                            #line default              #line hidden              return;              case 8:                            #line 167 "..\..\Window1.xaml"              ((Wpf.Controls.SplitButton)(target)).Click += new System.Windows.RoutedEventHandler(this.SplitButton_Click);                            #line default              #line hidden              return;              case 9:                            #line 185 "..\..\Window1.xaml"              ((Wpf.Controls.SplitButton)(target)).Click += new System.Windows.RoutedEventHandler(this.SplitButton_Click);                            #line default              #line hidden              return;              case 10:                            #line 216 "..\..\Window1.xaml"              ((Wpf.Controls.SplitButton)(target)).Click += new System.Windows.RoutedEventHandler(this.SplitButton_Click);                            #line default              #line hidden              return;              case 11:                            #line 240 "..\..\Window1.xaml"              ((System.Windows.Controls.Button)(target)).Click += new System.Windows.RoutedEventHandler(this.Button_Click);                            #line default              #line hidden              return;              }
Magic Number,WpfApplication1,Window1,C:\repos\dnGrep_dnGrep\Dependencies\SplitButton\Demo\Window1.xaml.cs,Connect,The following statement contains a magic number: switch (connectionId)              {              case 1:              this.modeSelector = ((System.Windows.Controls.ComboBox)(target));              return;              case 2:              this.placementSelector = ((System.Windows.Controls.ComboBox)(target));              return;              case 3:              this.test = ((Wpf.Controls.SplitButton)(target));                            #line 77 "..\..\Window1.xaml"              this.test.Click += new System.Windows.RoutedEventHandler(this.SplitButton_Click);                            #line default              #line hidden              return;              case 4:                            #line 95 "..\..\Window1.xaml"              ((Wpf.Controls.SplitButton)(target)).Click += new System.Windows.RoutedEventHandler(this.SplitButton_Click);                            #line default              #line hidden              return;              case 5:                            #line 113 "..\..\Window1.xaml"              ((Wpf.Controls.SplitButton)(target)).Click += new System.Windows.RoutedEventHandler(this.SplitButton_Click);                            #line default              #line hidden              return;              case 6:                            #line 131 "..\..\Window1.xaml"              ((Wpf.Controls.SplitButton)(target)).Click += new System.Windows.RoutedEventHandler(this.SplitButton_Click);                            #line default              #line hidden              return;              case 7:                            #line 149 "..\..\Window1.xaml"              ((Wpf.Controls.SplitButton)(target)).Click += new System.Windows.RoutedEventHandler(this.SplitButton_Click);                            #line default              #line hidden              return;              case 8:                            #line 167 "..\..\Window1.xaml"              ((Wpf.Controls.SplitButton)(target)).Click += new System.Windows.RoutedEventHandler(this.SplitButton_Click);                            #line default              #line hidden              return;              case 9:                            #line 185 "..\..\Window1.xaml"              ((Wpf.Controls.SplitButton)(target)).Click += new System.Windows.RoutedEventHandler(this.SplitButton_Click);                            #line default              #line hidden              return;              case 10:                            #line 216 "..\..\Window1.xaml"              ((Wpf.Controls.SplitButton)(target)).Click += new System.Windows.RoutedEventHandler(this.SplitButton_Click);                            #line default              #line hidden              return;              case 11:                            #line 240 "..\..\Window1.xaml"              ((System.Windows.Controls.Button)(target)).Click += new System.Windows.RoutedEventHandler(this.Button_Click);                            #line default              #line hidden              return;              }
Magic Number,WpfApplication1,Window1,C:\repos\dnGrep_dnGrep\Dependencies\SplitButton\Demo\Window1.xaml.cs,Connect,The following statement contains a magic number: switch (connectionId)              {              case 1:              this.modeSelector = ((System.Windows.Controls.ComboBox)(target));              return;              case 2:              this.placementSelector = ((System.Windows.Controls.ComboBox)(target));              return;              case 3:              this.test = ((Wpf.Controls.SplitButton)(target));                            #line 77 "..\..\Window1.xaml"              this.test.Click += new System.Windows.RoutedEventHandler(this.SplitButton_Click);                            #line default              #line hidden              return;              case 4:                            #line 95 "..\..\Window1.xaml"              ((Wpf.Controls.SplitButton)(target)).Click += new System.Windows.RoutedEventHandler(this.SplitButton_Click);                            #line default              #line hidden              return;              case 5:                            #line 113 "..\..\Window1.xaml"              ((Wpf.Controls.SplitButton)(target)).Click += new System.Windows.RoutedEventHandler(this.SplitButton_Click);                            #line default              #line hidden              return;              case 6:                            #line 131 "..\..\Window1.xaml"              ((Wpf.Controls.SplitButton)(target)).Click += new System.Windows.RoutedEventHandler(this.SplitButton_Click);                            #line default              #line hidden              return;              case 7:                            #line 149 "..\..\Window1.xaml"              ((Wpf.Controls.SplitButton)(target)).Click += new System.Windows.RoutedEventHandler(this.SplitButton_Click);                            #line default              #line hidden              return;              case 8:                            #line 167 "..\..\Window1.xaml"              ((Wpf.Controls.SplitButton)(target)).Click += new System.Windows.RoutedEventHandler(this.SplitButton_Click);                            #line default              #line hidden              return;              case 9:                            #line 185 "..\..\Window1.xaml"              ((Wpf.Controls.SplitButton)(target)).Click += new System.Windows.RoutedEventHandler(this.SplitButton_Click);                            #line default              #line hidden              return;              case 10:                            #line 216 "..\..\Window1.xaml"              ((Wpf.Controls.SplitButton)(target)).Click += new System.Windows.RoutedEventHandler(this.SplitButton_Click);                            #line default              #line hidden              return;              case 11:                            #line 240 "..\..\Window1.xaml"              ((System.Windows.Controls.Button)(target)).Click += new System.Windows.RoutedEventHandler(this.Button_Click);                            #line default              #line hidden              return;              }
Magic Number,WpfApplication1,Window1,C:\repos\dnGrep_dnGrep\Dependencies\SplitButton\Demo\Window1.xaml.cs,Connect,The following statement contains a magic number: switch (connectionId)              {              case 1:              this.modeSelector = ((System.Windows.Controls.ComboBox)(target));              return;              case 2:              this.placementSelector = ((System.Windows.Controls.ComboBox)(target));              return;              case 3:              this.test = ((Wpf.Controls.SplitButton)(target));                            #line 77 "..\..\Window1.xaml"              this.test.Click += new System.Windows.RoutedEventHandler(this.SplitButton_Click);                            #line default              #line hidden              return;              case 4:                            #line 95 "..\..\Window1.xaml"              ((Wpf.Controls.SplitButton)(target)).Click += new System.Windows.RoutedEventHandler(this.SplitButton_Click);                            #line default              #line hidden              return;              case 5:                            #line 113 "..\..\Window1.xaml"              ((Wpf.Controls.SplitButton)(target)).Click += new System.Windows.RoutedEventHandler(this.SplitButton_Click);                            #line default              #line hidden              return;              case 6:                            #line 131 "..\..\Window1.xaml"              ((Wpf.Controls.SplitButton)(target)).Click += new System.Windows.RoutedEventHandler(this.SplitButton_Click);                            #line default              #line hidden              return;              case 7:                            #line 149 "..\..\Window1.xaml"              ((Wpf.Controls.SplitButton)(target)).Click += new System.Windows.RoutedEventHandler(this.SplitButton_Click);                            #line default              #line hidden              return;              case 8:                            #line 167 "..\..\Window1.xaml"              ((Wpf.Controls.SplitButton)(target)).Click += new System.Windows.RoutedEventHandler(this.SplitButton_Click);                            #line default              #line hidden              return;              case 9:                            #line 185 "..\..\Window1.xaml"              ((Wpf.Controls.SplitButton)(target)).Click += new System.Windows.RoutedEventHandler(this.SplitButton_Click);                            #line default              #line hidden              return;              case 10:                            #line 216 "..\..\Window1.xaml"              ((Wpf.Controls.SplitButton)(target)).Click += new System.Windows.RoutedEventHandler(this.SplitButton_Click);                            #line default              #line hidden              return;              case 11:                            #line 240 "..\..\Window1.xaml"              ((System.Windows.Controls.Button)(target)).Click += new System.Windows.RoutedEventHandler(this.Button_Click);                            #line default              #line hidden              return;              }
Magic Number,WpfApplication1,Window1,C:\repos\dnGrep_dnGrep\Dependencies\SplitButton\Demo\Window1.xaml.cs,Connect,The following statement contains a magic number: switch (connectionId)              {              case 1:              this.modeSelector = ((System.Windows.Controls.ComboBox)(target));              return;              case 2:              this.placementSelector = ((System.Windows.Controls.ComboBox)(target));              return;              case 3:              this.test = ((Wpf.Controls.SplitButton)(target));                            #line 77 "..\..\Window1.xaml"              this.test.Click += new System.Windows.RoutedEventHandler(this.SplitButton_Click);                            #line default              #line hidden              return;              case 4:                            #line 95 "..\..\Window1.xaml"              ((Wpf.Controls.SplitButton)(target)).Click += new System.Windows.RoutedEventHandler(this.SplitButton_Click);                            #line default              #line hidden              return;              case 5:                            #line 113 "..\..\Window1.xaml"              ((Wpf.Controls.SplitButton)(target)).Click += new System.Windows.RoutedEventHandler(this.SplitButton_Click);                            #line default              #line hidden              return;              case 6:                            #line 131 "..\..\Window1.xaml"              ((Wpf.Controls.SplitButton)(target)).Click += new System.Windows.RoutedEventHandler(this.SplitButton_Click);                            #line default              #line hidden              return;              case 7:                            #line 149 "..\..\Window1.xaml"              ((Wpf.Controls.SplitButton)(target)).Click += new System.Windows.RoutedEventHandler(this.SplitButton_Click);                            #line default              #line hidden              return;              case 8:                            #line 167 "..\..\Window1.xaml"              ((Wpf.Controls.SplitButton)(target)).Click += new System.Windows.RoutedEventHandler(this.SplitButton_Click);                            #line default              #line hidden              return;              case 9:                            #line 185 "..\..\Window1.xaml"              ((Wpf.Controls.SplitButton)(target)).Click += new System.Windows.RoutedEventHandler(this.SplitButton_Click);                            #line default              #line hidden              return;              case 10:                            #line 216 "..\..\Window1.xaml"              ((Wpf.Controls.SplitButton)(target)).Click += new System.Windows.RoutedEventHandler(this.SplitButton_Click);                            #line default              #line hidden              return;              case 11:                            #line 240 "..\..\Window1.xaml"              ((System.Windows.Controls.Button)(target)).Click += new System.Windows.RoutedEventHandler(this.Button_Click);                            #line default              #line hidden              return;              }
