Implementation smell,Namespace,Class,File,Method,Description
Long Parameter List,Legion_Tactical_Launcher,IniFile,C:\repos\cuken_Legion-Tactical-Launcher\INI.cs,GetPrivateProfileString,The method has 6 parameters.
Long Statement,Legion_Tactical_Launcher,ftp,C:\repos\cuken_Legion-Tactical-Launcher\FTP.cs,download,The length of the statement  "		/* Log in to the FTP Server with the User Name and Password Provided */ftpRequest.Credentials = new NetworkCredential (user' pass); " is 131.
Long Statement,Legion_Tactical_Launcher,ftp,C:\repos\cuken_Legion-Tactical-Launcher\FTP.cs,download,The length of the statement  "		/* Open a File Stream to Write the Downloaded File */FileStream localFileStream = new FileStream (localFile' FileMode.Create); " is 126.
Long Statement,Legion_Tactical_Launcher,ftp,C:\repos\cuken_Legion-Tactical-Launcher\FTP.cs,upload,The length of the statement  "		/* Log in to the FTP Server with the User Name and Password Provided */ftpRequest.Credentials = new NetworkCredential (user' pass); " is 131.
Long Statement,Legion_Tactical_Launcher,ftp,C:\repos\cuken_Legion-Tactical-Launcher\FTP.cs,upload,The length of the statement  "		/* Open a File Stream to Read the File for Upload */FileStream localFileStream = new FileStream (localFile' FileMode.Create); " is 125.
Long Statement,Legion_Tactical_Launcher,ftp,C:\repos\cuken_Legion-Tactical-Launcher\FTP.cs,delete,The length of the statement  "		/* Log in to the FTP Server with the User Name and Password Provided */ftpRequest.Credentials = new NetworkCredential (user' pass); " is 131.
Long Statement,Legion_Tactical_Launcher,ftp,C:\repos\cuken_Legion-Tactical-Launcher\FTP.cs,rename,The length of the statement  "		/* Log in to the FTP Server with the User Name and Password Provided */ftpRequest.Credentials = new NetworkCredential (user' pass); " is 131.
Long Statement,Legion_Tactical_Launcher,ftp,C:\repos\cuken_Legion-Tactical-Launcher\FTP.cs,createDirectory,The length of the statement  "		/* Log in to the FTP Server with the User Name and Password Provided */ftpRequest.Credentials = new NetworkCredential (user' pass); " is 131.
Long Statement,Legion_Tactical_Launcher,ftp,C:\repos\cuken_Legion-Tactical-Launcher\FTP.cs,getFileCreatedDateTime,The length of the statement  "		/* Log in to the FTP Server with the User Name and Password Provided */ftpRequest.Credentials = new NetworkCredential (user' pass); " is 131.
Long Statement,Legion_Tactical_Launcher,ftp,C:\repos\cuken_Legion-Tactical-Launcher\FTP.cs,getFileSize,The length of the statement  "		/* Log in to the FTP Server with the User Name and Password Provided */ftpRequest.Credentials = new NetworkCredential (user' pass); " is 131.
Long Statement,Legion_Tactical_Launcher,ftp,C:\repos\cuken_Legion-Tactical-Launcher\FTP.cs,directoryListSimple,The length of the statement  "		/* Log in to the FTP Server with the User Name and Password Provided */ftpRequest.Credentials = new NetworkCredential (user' pass); " is 131.
Long Statement,Legion_Tactical_Launcher,ftp,C:\repos\cuken_Legion-Tactical-Launcher\FTP.cs,directoryListSimple,The length of the statement  "		/* Return the Directory Listing as a string Array by Parsing 'directoryRaw' with the Delimiter you Append (I use | in This Example) */try { " is 139.
Long Statement,Legion_Tactical_Launcher,ftp,C:\repos\cuken_Legion-Tactical-Launcher\FTP.cs,directoryListDetailed,The length of the statement  "		/* Log in to the FTP Server with the User Name and Password Provided */ftpRequest.Credentials = new NetworkCredential (user' pass); " is 131.
Long Statement,Legion_Tactical_Launcher,ftp,C:\repos\cuken_Legion-Tactical-Launcher\FTP.cs,directoryListDetailed,The length of the statement  "		/* Return the Directory Listing as a string Array by Parsing 'directoryRaw' with the Delimiter you Append (I use | in This Example) */try { " is 139.
Long Statement,Legion_Tactical_Launcher,MainWindow,C:\repos\cuken_Legion-Tactical-Launcher\Helpers.cs,getAddonSubDirs,The length of the statement  "		Boolean addonDirExists = Directory.GetDirectories (dir' "addons"' SearchOption.TopDirectoryOnly).Length > 0 ? true : false; " is 123.
