Implementation smell,Namespace,Class,File,Method,Description
Long Statement,Livet.Dialogs,FolderBrowserFolderSelectionDialog,C:\repos\ugaya40_Livet\.NET4.0\Livet.Extensions(.NET4.0)\Dialogs\FolderBrowserFolderSelectionDialog.cs,ShowDialogCore,The length of the statement  "			switch ( this._folderBrowserDialog.ShowDialog( new WindowsFormsWin32Window( new WindowInteropHelper( hostWindow ).EnsureHandle() ) ) ) " is 134.
Long Statement,Livet.Dialogs,FolderSelectionDialogFactory,C:\repos\ugaya40_Livet\.NET4.0\Livet.Extensions(.NET4.0)\Dialogs\FolderSelectionDialogFactory.cs,CreateDialog,The length of the statement  "						throw new PlatformNotSupportedException( Resources.FolderSelectionDialogFactory_CommonItemDialogIsSupportedFromWindowsNT6 ); " is 124.
Long Statement,Livet.Dialogs,FolderSelectionDialogFactory,C:\repos\ugaya40_Livet\.NET4.0\Livet.Extensions(.NET4.0)\Dialogs\FolderSelectionDialogFactory.cs,CreateDialog,The length of the statement  "						String.Format( CultureInfo.CurrentCulture' Resources.UnsupportedEnumValue' typeof( FolderSelectionDialogPreference )' preference' ( int )preference )' " is 150.
