Implementation smell,Namespace,Class,File,Method,Description
Long Parameter List,Whisper,WpfNotifyIcon,C:\repos\ko-hayashi_Whisper\Whisper\WpfNotifyIcon.cs,Attach,The method has 5 parameters.
Long Statement,Whisper,TwitterUtil,C:\repos\ko-hayashi_Whisper\Whisper\TwitterUtil.cs,RequestGetDirectMessageNew,The length of the statement  "		TwitterResponse<TwitterDirectMessage> response = TwitterDirectMessage.Send (_tokens' showUserResponse.ResponseObject.Id' text' option); " is 135.
Empty Catch Block,Whisper,MainWindow,C:\repos\ko-hayashi_Whisper\Whisper\MainWindow.xaml.cs,OnMouseLeftButtonDown,The method has an empty catch block.
Magic Number,Whisper,MainWindowViewModel,C:\repos\ko-hayashi_Whisper\Whisper\MainWindowViewModel.cs,StartTimer,The following statement contains a magic number: _dispatcherTimer.Interval = new TimeSpan (0' 0' 60);  
Magic Number,Whisper,MainWindow,C:\repos\ko-hayashi_Whisper\Whisper\MainWindow.xaml.cs,Window_Loaded,The following statement contains a magic number: ViewModel.DirectMessages.CollectionChanged += (sender2' e2) =>  {  	if (e2.Action == System.Collections.Specialized.NotifyCollectionChangedAction.Add) {  		foreach (Twitterizer.TwitterDirectMessage item in e2.NewItems) {  			_notifyIcon.ShowBalloonTip (1000' "新着メッセージ"' DateTime.Now.ToString ()' ToolTipIcon.Info);  		}  	}  };  
Magic Number,Whisper,MainWindow,C:\repos\ko-hayashi_Whisper\Whisper\MainWindow.xaml.cs,Window_Loaded,The following statement contains a magic number: if (e2.Action == System.Collections.Specialized.NotifyCollectionChangedAction.Add) {  	foreach (Twitterizer.TwitterDirectMessage item in e2.NewItems) {  		_notifyIcon.ShowBalloonTip (1000' "新着メッセージ"' DateTime.Now.ToString ()' ToolTipIcon.Info);  	}  }  
Magic Number,Whisper,MainWindow,C:\repos\ko-hayashi_Whisper\Whisper\MainWindow.xaml.cs,Window_Loaded,The following statement contains a magic number: foreach (Twitterizer.TwitterDirectMessage item in e2.NewItems) {  	_notifyIcon.ShowBalloonTip (1000' "新着メッセージ"' DateTime.Now.ToString ()' ToolTipIcon.Info);  }  
Magic Number,Whisper,MainWindow,C:\repos\ko-hayashi_Whisper\Whisper\MainWindow.xaml.cs,Window_Loaded,The following statement contains a magic number: _notifyIcon.ShowBalloonTip (1000' "新着メッセージ"' DateTime.Now.ToString ()' ToolTipIcon.Info);  
Magic Number,Whisper,MainWindow,C:\repos\ko-hayashi_Whisper\Whisper\MainWindow.xaml.cs,listBox1_MouseEnter,The following statement contains a magic number: ViewModel.Opacity = 0.8;  
Magic Number,Whisper,MainWindow,C:\repos\ko-hayashi_Whisper\Whisper\MainWindow.xaml.cs,listBox1_MouseLeave,The following statement contains a magic number: ViewModel.Opacity = 0.2;  
