Implementation smell,Namespace,Class,File,Method,Description
Complex Method,Gst,Utils,C:\repos\ismaildurmaz_gstreamer-sharp\src\gstreamer-sharp\Utils.cs,GetName,Cyclomatic complexity of the method is 14
Long Parameter List,Gst,GIOChannel,C:\repos\ismaildurmaz_gstreamer-sharp\src\gstreamer-sharp\GIOChannel.cs,g_io_channel_read_line,The method has 5 parameters.
Long Parameter List,Gst,GstVersion,C:\repos\ismaildurmaz_gstreamer-sharp\src\gstreamer-sharp\GstVersion.cs,GstVersion,The method has 5 parameters.
Long Parameter List,Gst,Win32,C:\repos\ismaildurmaz_gstreamer-sharp\src\gstreamer-sharp\Win32.cs,CreateConsoleScreenBuffer,The method has 5 parameters.
Long Statement,Gst,GstCaps,C:\repos\ismaildurmaz_gstreamer-sharp\src\gstreamer-sharp\GstCaps.cs,FromVideoXRaw,The length of the statement  "	var str = string.Format ("video/x-raw'format={0}'width={1}'height={2}'framerate={3}/1"' format' width' height' framerate); " is 122.
Long Statement,Gst,GstElement,C:\repos\ismaildurmaz_gstreamer-sharp\src\gstreamer-sharp\GstElement.cs,RequestPad,The length of the statement  "	return Utils.HandleObject<GstPad> (gst_element_request_pad (Handle' Utils.GetHandle (padTemplate)' name' Utils.GetHandle (caps))); " is 130.
Long Statement,Gst,GstElement,C:\repos\ismaildurmaz_gstreamer-sharp\src\gstreamer-sharp\GstElement.cs,GetCompatiblePad,The length of the statement  "	return Utils.HandleObject<GstPad> (gst_element_get_compatible_pad (Handle' Utils.GetHandle (gstPad)' Utils.GetHandle (gstCaps))); " is 129.
Magic Number,Gst,Utils,C:\repos\ismaildurmaz_gstreamer-sharp\src\gstreamer-sharp\Utils.cs,ColorToLong,The following statement contains a magic number: return value.A << 24 | value.R << 16 | value.G << 8 | value.B;  
Magic Number,Gst,Utils,C:\repos\ismaildurmaz_gstreamer-sharp\src\gstreamer-sharp\Utils.cs,ColorToLong,The following statement contains a magic number: return value.A << 24 | value.R << 16 | value.G << 8 | value.B;  
Magic Number,Gst,Utils,C:\repos\ismaildurmaz_gstreamer-sharp\src\gstreamer-sharp\Utils.cs,ColorToLong,The following statement contains a magic number: return value.A << 24 | value.R << 16 | value.G << 8 | value.B;  
Magic Number,Gst,Utils,C:\repos\ismaildurmaz_gstreamer-sharp\src\gstreamer-sharp\Utils.cs,ConvertMillisecondsToNanoseconds,The following statement contains a magic number: return milliseconds * 1000000;  
Magic Number,Gst,Utils,C:\repos\ismaildurmaz_gstreamer-sharp\src\gstreamer-sharp\Utils.cs,ConvertMicrosecondsToNanoseconds,The following statement contains a magic number: return microseconds * 0.001;  
Magic Number,Gst,Utils,C:\repos\ismaildurmaz_gstreamer-sharp\src\gstreamer-sharp\Utils.cs,ConvertMillisecondsToMicroseconds,The following statement contains a magic number: return milliseconds * 1000;  
Magic Number,Gst,Utils,C:\repos\ismaildurmaz_gstreamer-sharp\src\gstreamer-sharp\Utils.cs,ConvertNanosecondsToMilliseconds,The following statement contains a magic number: return nanoseconds * 0.000001;  
Magic Number,Gst,Utils,C:\repos\ismaildurmaz_gstreamer-sharp\src\gstreamer-sharp\Utils.cs,ConvertMicrosecondsToMilliseconds,The following statement contains a magic number: return microseconds * 1000;  
Magic Number,Gst,Utils,C:\repos\ismaildurmaz_gstreamer-sharp\src\gstreamer-sharp\Utils.cs,ConvertNanosecondsToMicroseconds,The following statement contains a magic number: return nanoseconds * 1000;  
