Implementation smell,Namespace,Class,File,Method,Description
Long Identifier,CopaceticSoftware.Common.Infrastructure,TimeLimitCommandThrottler,C:\repos\ppittle_CopaceticSoftware.Common\CopaceticSoftware.Common\Infrastructure\TimeLimitCommandThrottler.cs,TimeLimitCommandThrottler,The length of the parameter throttlingIntervalInMilliseconds is 32.
Long Statement,CopaceticSoftware.Common.Extensions,PathExt,C:\repos\ppittle_CopaceticSoftware.Common\CopaceticSoftware.Common\Extensions\PathExt.cs,MakePathAbsolute,The length of the statement  "		throw new ArgumentException (string.Format ("Failed to resolve DirectoryName from [{0}]"' absolutePath)' "absolutePath"); " is 121.
Long Statement,CopaceticSoftware.Common.Infrastructure,Ensure,C:\repos\ppittle_CopaceticSoftware.Common\CopaceticSoftware.Common\Infrastructure\Ensure.cs,ArgumentIsValidEmailAddress,The length of the statement  "	const string pattern = @"^(?!\.)(""([^""\r\\]|\\[""\r\\])*""|" + @"([-a-z0-9!#$%&'*+/=?^_`{|}~]|(?<!\.)\.)*)(?<!\.)" + @"@[a-z0-9][\w\.-]*[a-z0-9]\.[a-z][a-z\.]*[a-z]$"; " is 169.
Long Statement,CopaceticSoftware.Common.Infrastructure,TimeLimitCommandThrottler,C:\repos\ppittle_CopaceticSoftware.Common\CopaceticSoftware.Common\Infrastructure\TimeLimitCommandThrottler.cs,CanHaveAToken,The length of the statement  "			throw new InvalidEnumArgumentException (string.Format (Strings.UnknownEnumValueExceptionMessage' typeof(TimeLimitCommandThrottler).Name' typeof(CommandThrottlerLimitingBehavior).Name' Enum.GetName (typeof(CommandThrottlerLimitingBehavior)' LimitingBehavior))); " is 260.
Long Statement,CopaceticSoftware.Common.Patterns,PipelineStepExtensions,C:\repos\ppittle_CopaceticSoftware.Common\CopaceticSoftware.Common\Patterns\PipelineManager.cs,RunPipeline,The length of the statement  "				var logMessage = halt ? "Step [{0}] failed.  Pipeline will not continue." : "Step [{0}] failed.  Pipeline will continue."; " is 122.
