Implementation smell,Namespace,Class,File,Method,Description
Long Statement,Repository.EntityFramework,DbContextRepositoryService,C:\repos\dalotodo_repository\Repository.EntityFramework\EntityFramework\DbContextRepositoryService.cs,RunInDisabledChangeTrackingMode,The length of the statement  "		// See also: http://blog.oneunicorn.com/2012/03/12/secrets-of-detectchanges-part-3-switching-off-automatic-detectchanges/ " is 121.
Long Statement,Repository.EntityFramework,DbContextRepositoryTransactionManager,C:\repos\dalotodo_repository\Repository.EntityFramework\EntityFramework\DbContextRepositoryTransactionManager.cs,ValidateBeforeCommit,The length of the statement  "		throw new AggregateException ("There are validation errors in the backing contexts. See inner exceptions for details"' contextsWithErrors.SelectMany (db => db.Errors.Select (e => new InvalidOperationException (String.Join ("\n"' e.ValidationErrors))))); " is 253.
