Implementation smell,Namespace,Class,File,Method,Description
Long Parameter List,Coinbase.Net.Types,TransferInfo,C:\repos\sefbkn_Coinbase.NET\Coinbase.NET\Types\TransferInfo.cs,TransferInfo,The method has 9 parameters.
Long Statement,Coinbase.Net.Authentication,AuthenticatorBase,C:\repos\sefbkn_Coinbase.NET\Coinbase.NET\Authentication\AuthenticatorBase.cs,Authorize,The length of the statement  "	var stringBuilder = new StringBuilder (url).Append (String.IsNullOrWhiteSpace (uri.Query) ? "?" : "&").Append (FieldName).Append ("=").Append (token); " is 150.
Long Statement,Coinbase.Net.Types,ExchangeBitcoinResponse,C:\repos\sefbkn_Coinbase.NET\Coinbase.NET\Types\ExchangeBitcoinResponse.cs,FromJObject,The length of the statement  "	var transferInfo = new TransferInfo (tjo.Value<string> ("_type")' tjo.Value<string> ("code")' tjo.Value<DateTime?> ("created_at")' tjo ["fees"].Select (token => (JProperty)token).Select (jProperty => new CoinbaseFee (jProperty.Name' new PriceUnit (jProperty.Value ["cents"].Value<decimal> () * .01m' jProperty.Value ["currency_iso"].Value<string> ())))' tjo.Value<string> ("status")' tjo.Value<DateTime?> ("payout_date")' PriceUnit.FromJToken (tjo ["btc"])' PriceUnit.FromJToken (tjo ["subtotal"])' PriceUnit.FromJToken (tjo ["total"])); " is 537.
