Implementation smell,Namespace,Class,File,Method,Description
Long Statement,EmbedWpfInEto,MyNativeControl,C:\research\architectureSmells\repos\picoe_Eto\samples\Wpf\EmbedWpfInEto\MyNativeControl.xaml.cs,InitializeComponent,The length of the statement  "            System.Uri resourceLocater = new System.Uri("/EmbedWpfInEto;V2.5.0.0;component/mynativecontrol.xaml"' System.UriKind.Relative); " is 127.
Magic Number,EmbedWpfInEto,MainForm,C:\research\architectureSmells\repos\picoe_Eto\samples\Wpf\EmbedWpfInEto\MainForm.cs,MainForm,The following statement contains a magic number: Content = new TableLayout  			{  				Padding = new Padding(10)'  				Spacing = new Size(5' 5)'  				Rows =  				{  					nativeControl'  					null'  					new TableLayout(new TableRow(null' new Button { Text = "An Eto.Forms button" }))'  				}  			};
Magic Number,EmbedWpfInEto,MainForm,C:\research\architectureSmells\repos\picoe_Eto\samples\Wpf\EmbedWpfInEto\MainForm.cs,MainForm,The following statement contains a magic number: Content = new TableLayout  			{  				Padding = new Padding(10)'  				Spacing = new Size(5' 5)'  				Rows =  				{  					nativeControl'  					null'  					new TableLayout(new TableRow(null' new Button { Text = "An Eto.Forms button" }))'  				}  			};
Magic Number,EmbedWpfInEto,MainForm,C:\research\architectureSmells\repos\picoe_Eto\samples\Wpf\EmbedWpfInEto\MainForm.cs,MainForm,The following statement contains a magic number: Content = new TableLayout  			{  				Padding = new Padding(10)'  				Spacing = new Size(5' 5)'  				Rows =  				{  					nativeControl'  					null'  					new TableLayout(new TableRow(null' new Button { Text = "An Eto.Forms button" }))'  				}  			};
